k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5625333655012217, -0.0987652096082075, -0.0056629995779544, 0.6963695860181313, 0.14836837724344, -0.0837789903368286, -0.0985519643736741, 0.0525375541891417, 0.0965393958761853, -0.0196854846614547, -0.0297842198314033, -0.0419578852249265, 0.2735949378246539, -0.1818034707847289, -0.0375644755943238, -0.0089669932665603, 0.0052204460814968, 0.1285241551416834, -0.0216149182815511, -0.0887893515630658, 0.0059628610502888, -0.0254764695919806]| 13.3236818313598633|      2.00000000|[29, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[1.4235065855740405, -0.2261730594958042, 0.0721766147452246, 1.982341579856079, 0.3015940705464141, -0.5018851435409447, -0.3198502602811458, -0.1072322587894442, -0.6880569115322103, 0.057784966699246, 0.5449477066538151, 0.0102273856197314, 0.4889823045752303, -0.3130008561301468, 0.2929119308097739, -0.1403320034900706, 0.3434963673630457, -0.0350020747555959, -0.1355840820682069, -0.0689456582409453, -0.0616023467516983, -0.1035209228981679]| 12.1455154418945312|      4.00000000|[57, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       3|[1.4235065855740405, -0.2261730594958042, 0.0721766147452246, 1.982341579856079, 0.3015940705464141, -0.5018851435409447, -0.3198502602811458, -0.1072322587894442, -0.6880569115322103, 0.057784966699246, 0.5449477066538151, 0.0102273856197314, 0.4889823045752303, -0.3130008561301468, 0.2929119308097739, -0.1403320034900706, 0.3434963673630457, -0.0350020747555959, -0.1355840820682069, -0.0689456582409453, -0.0616023467516983, -0.1035209228981679]| 12.1455154418945312|      2.00000000|[85, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       4|[1.4235065855740405, -0.2261730594958042, 0.0721766147452246, 1.982341579856079, 0.3015940705464141, -0.5018851435409447, -0.3198502602811458, -0.1072322587894442, -0.6880569115322103, 0.057784966699246, 0.5449477066538151, 0.0102273856197314, 0.4889823045752303, -0.3130008561301468, 0.2929119308097739, -0.1403320034900706, 0.3434963673630457, -0.0350020747555959, -0.1355840820682069, -0.0689456582409453, -0.0616023467516983, -0.1035209228981679]| 12.1455154418945312|      1.00000000|[113, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       5|[1.4235065855740405, -0.2261730594958042, 0.0721766147452246, 1.982341579856079, 0.3015940705464141, -0.5018851435409447, -0.3198502602811458, -0.1072322587894442, -0.6880569115322103, 0.057784966699246, 0.5449477066538151, 0.0102273856197314, 0.4889823045752303, -0.3130008561301468, 0.2929119308097739, -0.1403320034900706, 0.3434963673630457, -0.0350020747555959, -0.1355840820682069, -0.0689456582409453, -0.0616023467516983, -0.1035209228981679]| 12.1455154418945312|      0.50000000|[141, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       6|[1.4235065855740405, -0.2261730594958042, 0.0721766147452246, 1.982341579856079, 0.3015940705464141, -0.5018851435409447, -0.3198502602811458, -0.1072322587894442, -0.6880569115322103, 0.057784966699246, 0.5449477066538151, 0.0102273856197314, 0.4889823045752303, -0.3130008561301468, 0.2929119308097739, -0.1403320034900706, 0.3434963673630457, -0.0350020747555959, -0.1355840820682069, -0.0689456582409453, -0.0616023467516983, -0.1035209228981679]| 12.1455154418945312|      0.25000000|[169, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       7|[1.4235065855740405, -0.2261730594958042, 0.0721766147452246, 1.982341579856079, 0.3015940705464141, -0.5018851435409447, -0.3198502602811458, -0.1072322587894442, -0.6880569115322103, 0.057784966699246, 0.5449477066538151, 0.0102273856197314, 0.4889823045752303, -0.3130008561301468, 0.2929119308097739, -0.1403320034900706, 0.3434963673630457, -0.0350020747555959, -0.1355840820682069, -0.0689456582409453, -0.0616023467516983, -0.1035209228981679]| 12.1455154418945312|      0.12500000|[197, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       8|[1.4235065855740405, -0.2261730594958042, 0.0721766147452246, 1.982341579856079, 0.3015940705464141, -0.5018851435409447, -0.3198502602811458, -0.1072322587894442, -0.6880569115322103, 0.057784966699246, 0.5449477066538151, 0.0102273856197314, 0.4889823045752303, -0.3130008561301468, 0.2929119308097739, -0.1403320034900706, 0.3434963673630457, -0.0350020747555959, -0.1355840820682069, -0.0689456582409453, -0.0616023467516983, -0.1035209228981679]| 12.1455154418945312|      0.06250000|[225, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       9|[1.4507636404652473, -0.2417214851210196, 0.0680070439148776, 2.022640271851192, 0.2963290071806662, -0.5058501191915052, -0.3132257338480767, -0.113106393904562, -0.6933536472463055, 0.0719677445497998, 0.551475652567561, 0.0194040441144372, 0.4971365114932219, -0.3062995842774931, 0.2843993400940732, -0.1606190209337751, 0.3476714373933347, -0.0337000864134704, -0.1367034463353116, -0.0741938570103482, -0.0737658550019848, -0.1002017735077051]| 12.1442909240722656|      0.12500000|[253, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      10|[1.4507636404652473, -0.2417214851210196, 0.0680070439148776, 2.022640271851192, 0.2963290071806662, -0.5058501191915052, -0.3132257338480767, -0.113106393904562, -0.6933536472463055, 0.0719677445497998, 0.551475652567561, 0.0194040441144372, 0.4971365114932219, -0.3062995842774931, 0.2843993400940732, -0.1606190209337751, 0.3476714373933347, -0.0337000864134704, -0.1367034463353116, -0.0741938570103482, -0.0737658550019848, -0.1002017735077051]| 12.1442909240722656|      0.06250000|[281, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      11|[1.4507636404652473, -0.2417214851210196, 0.0680070439148776, 2.022640271851192, 0.2963290071806662, -0.5058501191915052, -0.3132257338480767, -0.113106393904562, -0.6933536472463055, 0.0719677445497998, 0.551475652567561, 0.0194040441144372, 0.4971365114932219, -0.3062995842774931, 0.2843993400940732, -0.1606190209337751, 0.3476714373933347, -0.0337000864134704, -0.1367034463353116, -0.0741938570103482, -0.0737658550019848, -0.1002017735077051]| 12.1442909240722656|      0.03125000|[309, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
