k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.638261590368677, -0.8805773438893467, -0.3538180659636649, 0.3383811557424825, -0.466679315625249, -0.181329320866014, -0.3064600241235665]|63149.5123660393801401|      2.00000000|[38, 2, 1, 4]                                                              |  | used quadratic model with 40 points | iterate success | actual_k=1
       2|[10.638261590368677, -0.8805773438893467, -0.3538180659636649, 0.3383811557424825, -0.466679315625249, -0.181329320866014, -0.3064600241235665]|63149.5123660393801401|      1.00000000|[76, 4, 2, 8]                                                              |  | used quadratic model with 40 points | iterate failure | actual_k=1
       3|[10.540308920861722, -1.1551485660646623, -0.2849444371604774, -0.456727562134324, -0.9844694372075412, -0.2729675167156437, -0.3460870294938501]|47071.0787628395701176|      2.00000000|[114, 6, 3, 12]                                                            |  | used quadratic model with 40 points | iterate success | actual_k=1
       4|[10.540308920861722, -1.1551485660646623, -0.2849444371604774, -0.456727562134324, -0.9844694372075412, -0.2729675167156437, -0.3460870294938501]|47071.0787628395701176|      1.00000000|[151, 9, 4, 16]                                                            |  | used quadratic model with 40 points | iterate failure | actual_k=1
       5|[10.540308920861722, -1.1551485660646623, -0.2849444371604774, -0.456727562134324, -0.9844694372075412, -0.2729675167156437, -0.3460870294938501]|47071.0787628395701176|      0.50000000|[188, 12, 5, 20]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=1
       6|[10.540308920861722, -1.1551485660646623, -0.2849444371604774, -0.456727562134324, -0.9844694372075412, -0.2729675167156437, -0.3460870294938501]|47071.0787628395701176|      0.25000000|[226, 14, 6, 24]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=1
       7|[10.551819920451504, -1.1487681595185435, -0.309248357080173, -0.5826552817746757, -1.0006594782211113, -0.2878818858963382, -0.1330289144937657]|30726.9266017987720261|      0.50000000|[263, 17, 7, 28]                                                           |  | used quadratic model with 40 points | iterate success | actual_k=1
       8|[10.551819920451504, -1.1487681595185435, -0.309248357080173, -0.5826552817746757, -1.0006594782211113, -0.2878818858963382, -0.1330289144937657]|30726.9266017987720261|      0.25000000|[301, 19, 8, 32]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=1
       9|[10.551819920451504, -1.1487681595185435, -0.309248357080173, -0.5826552817746757, -1.0006594782211113, -0.2878818858963382, -0.1330289144937657]|30726.9266017987720261|      0.12500000|[338, 22, 9, 36]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=1
      10|[10.551819920451504, -1.1487681595185435, -0.309248357080173, -0.5826552817746757, -1.0006594782211113, -0.2878818858963382, -0.1330289144937657]|30726.9266017987720261|      0.06250000|[375, 25, 10, 40]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=1
      11|[10.55129305788963, -1.1506112884589066, -0.3070400238473842, -0.596559968356881, -0.9987690523763805, -0.2863776956448433, -0.0722134399108392]|16122.4574182592277793|      0.12500000|[413, 27, 11, 44]                                                          |  | used quadratic model with 40 points | iterate success | actual_k=1
      12|[10.55129305788963, -1.1506112884589066, -0.3070400238473842, -0.596559968356881, -0.9987690523763805, -0.2863776956448433, -0.0722134399108392]|16122.4574182592277793|      0.06250000|[451, 29, 12, 48]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=1
      13|[10.55129305788963, -1.1506112884589066, -0.3070400238473842, -0.596559968356881, -0.9987690523763805, -0.2863776956448433, -0.0722134399108392]|16122.4574182592277793|      0.03125000|[488, 32, 13, 52]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=1
      14|[10.551171405603506, -1.1501955376167503, -0.3077239581174788, -0.5999861030048321, -0.9992216400570624, -0.2859283718940571, -0.0411689241342145]|5886.5868735601861772|      0.06250000|[525, 35, 14, 56]                                                          |  | used quadratic model with 40 points | iterate success | actual_k=1
      15|[10.551171405603506, -1.1501955376167503, -0.3077239581174788, -0.5999861030048321, -0.9992216400570624, -0.2859283718940571, -0.0411689241342145]|5886.5868735601861772|      0.03125000|[563, 37, 15, 60]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=1
      16|[10.551171405603506, -1.1501955376167503, -0.3077239581174788, -0.5999861030048321, -0.9992216400570624, -0.2859283718940571, -0.0411689241342145]|5886.5868735601861772|      0.01562500|[600, 40, 16, 64]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=1
      17|[10.551171405603506, -1.1501955376167503, -0.3077239581174788, -0.5999861030048321, -0.9992216400570624, -0.2859283718940571, -0.0411689241342145]|5886.5868735601861772|      0.00781250|[637, 43, 17, 68]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=1
      18|[10.551171405603506, -1.1501955376167503, -0.3077239581174788, -0.5999861030048321, -0.9992216400570624, -0.2859283718940571, -0.0411689241342145]|5886.5868735601861772|      0.00390625|[675, 45, 18, 72]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=1
