k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.372587172607863, -0.8307207980059179, -0.4256231788155665, 0.6401738903034828, -0.4271280773925255, -0.2261397183746664, -0.0515033351751522]|171116.9753536301723216|      2.00000000|[8, 0, 1, 2]                                                               |  | used linear model with 8 points | iterate success | actual_k=1
       2|[10.748701416611153, 0.172565382076568, -1.3861129809866148, 1.304927085885589, -1.1595215851311331, -0.3026265214579089, -1.0237517416940671]|64391.0676110451095155|      4.00000000|[15, 1, 2, 4]                                                              |  | used linear model with 8 points | iterate success | actual_k=1
       3|[12.564895605996675, 0.5585730575056644, -3.4378435814015633, 0.0040070240970789, 0.2610275857196018, 0.4706611536079732, 0.9848576035733696]|55576.3026887164669461|      8.00000000|[22, 2, 3, 6]                                                              |  | used linear model with 8 points | iterate success | actual_k=1
       4|[10.193195236916871, -3.5073973930881017, -7.637177891209846, 3.8202950938176707, -2.825557130392596, 0.7664592735993516, 1.1579374696828642]|36073.9736423550421023|     16.00000000|[30, 2, 4, 8]                                                              |  | used linear model with 8 points | iterate success | actual_k=1
       5|[10.193195236916871, -3.5073973930881017, -7.637177891209846, 3.8202950938176707, -2.825557130392596, 0.7664592735993516, 1.1579374696828642]|36073.9736423550421023|      8.00000000|[37, 3, 5, 10]                                                             |  | used linear model with 8 points | iterate failure | actual_k=1
       6|[10.193195236916871, -3.5073973930881017, -7.637177891209846, 3.8202950938176707, -2.825557130392596, 0.7664592735993516, 1.1579374696828642]|36073.9736423550421023|      4.00000000|[44, 4, 6, 12]                                                             |  | used linear model with 8 points | iterate failure | actual_k=1
       7|[10.193195236916871, -3.5073973930881017, -7.637177891209846, 3.8202950938176707, -2.825557130392596, 0.7664592735993516, 1.1579374696828642]|36073.9736423550421023|      2.00000000|[51, 5, 7, 14]                                                             |  | used linear model with 8 points | iterate failure | actual_k=1
       8|[10.193195236916871, -3.5073973930881017, -7.637177891209846, 3.8202950938176707, -2.825557130392596, 0.7664592735993516, 1.1579374696828642]|36073.9736423550421023|      1.00000000|[58, 6, 8, 16]                                                             |  | used linear model with 8 points | iterate failure | actual_k=1
       9|[10.073341010415442, -3.3235286248314133, -7.504005066053859, 4.111007356902268, -2.372200926721176, 0.5224829388599931, 0.3933968756909534]|10865.6123131497897703|      2.00000000|[65, 7, 9, 18]                                                             |  | used linear model with 8 points | iterate success | actual_k=1
      10|[10.073341010415442, -3.3235286248314133, -7.504005066053859, 4.111007356902268, -2.372200926721176, 0.5224829388599931, 0.3933968756909534]|10865.6123131497897703|      1.00000000|[73, 7, 10, 20]                                                            |  | used linear model with 8 points | iterate failure | actual_k=1
      11|[10.073341010415442, -3.3235286248314133, -7.504005066053859, 4.111007356902268, -2.372200926721176, 0.5224829388599931, 0.3933968756909534]|10865.6123131497897703|      0.50000000|[81, 7, 11, 22]                                                            |  | used linear model with 8 points | iterate failure | actual_k=1
      12|[10.073341010415442, -3.3235286248314133, -7.504005066053859, 4.111007356902268, -2.372200926721176, 0.5224829388599931, 0.3933968756909534]|10865.6123131497897703|      0.25000000|[89, 7, 12, 24]                                                            |  | used linear model with 8 points | iterate failure | actual_k=1
      13|[9.98034942644168, -3.21246964744205, -7.573162869180384, 4.0726195401175325, -2.3827756231646036, 0.6168263590309953, 0.2313797855243253]|8046.7140995593872503|      0.50000000|[96, 8, 13, 26]                                                            |  | used linear model with 8 points | iterate success | actual_k=1
      14|[9.98034942644168, -3.21246964744205, -7.573162869180384, 4.0726195401175325, -2.3827756231646036, 0.6168263590309953, 0.2313797855243253]|8046.7140995593872503|      0.25000000|[104, 8, 14, 28]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      15|[9.98034942644168, -3.21246964744205, -7.573162869180384, 4.0726195401175325, -2.3827756231646036, 0.6168263590309953, 0.2313797855243253]|8046.7140995593872503|      0.12500000|[111, 9, 15, 30]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      16|[9.951728405397333, -3.1817741109958004, -7.53398616519482, 4.038835571638203, -2.454140969611142, 0.657816880537025, 0.297819344587435]|6892.0668432305392344|      0.25000000|[119, 9, 16, 32]                                                           |  | used linear model with 8 points | iterate success | actual_k=1
