k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6047031169957234, 0.0592594898483744, 0.1402082895533107, 0.7807862401355135, 0.0033430401047698, -0.000318595469406, -0.0005583824875345, 0.0040913025078597, -0.0008774882044066, 0.0044433598889094, -0.0163058545312533, 0.0188023401306872, 0.0113684395782558, -0.0134123938124351, 0.0033118989571336, 0.0116004746001019, -0.001374018467313, -0.0077976911875152, -0.0159906520128618, 0.0032850979219523, -0.0090687773129048, -0.0016077186020215]| 13.1523332595825195|      2.00000000|[111, 16, 0, 2]                                                            |  | trying linear partial model with 57 points | iterate success | actual_k=8
       2|[1.693139471348807, 0.2460063607342211, 0.4586045936555948, 2.373680382914885, 0.0536007610143159, -0.0244214700870518, 0.0192920104914857, -0.1431137334123574, -0.1163564190707153, -0.0433512006181353, 0.0486334706441882, -0.1369124239113158, 0.0294183543670809, -0.0709507333979702, -0.1180941567671954, -0.0745572841847947, -0.0715595607793421, -0.1836811504953308, -0.0069591493941642, 0.0788718140760838, 0.0618336991383097, -0.0043942980258579]| 12.2600545883178711|      4.00000000|[220, 32, 0, 4]                                                            |  | trying linear partial model with 57 points | iterate success | actual_k=8
       3|[1.693139471348807, 0.2460063607342211, 0.4586045936555948, 2.373680382914885, 0.0536007610143159, -0.0244214700870518, 0.0192920104914857, -0.1431137334123574, -0.1163564190707153, -0.0433512006181353, 0.0486334706441882, -0.1369124239113158, 0.0294183543670809, -0.0709507333979702, -0.1180941567671954, -0.0745572841847947, -0.0715595607793421, -0.1836811504953308, -0.0069591493941642, 0.0788718140760838, 0.0618336991383097, -0.0043942980258579]| 12.2600545883178711|      2.00000000|[329, 48, 0, 6]                                                            |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       4|[1.693139471348807, 0.2460063607342211, 0.4586045936555948, 2.373680382914885, 0.0536007610143159, -0.0244214700870518, 0.0192920104914857, -0.1431137334123574, -0.1163564190707153, -0.0433512006181353, 0.0486334706441882, -0.1369124239113158, 0.0294183543670809, -0.0709507333979702, -0.1180941567671954, -0.0745572841847947, -0.0715595607793421, -0.1836811504953308, -0.0069591493941642, 0.0788718140760838, 0.0618336991383097, -0.0043942980258579]| 12.2600545883178711|      1.00000000|[439, 64, 0, 8]                                                            |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       5|[1.693139471348807, 0.2460063607342211, 0.4586045936555948, 2.373680382914885, 0.0536007610143159, -0.0244214700870518, 0.0192920104914857, -0.1431137334123574, -0.1163564190707153, -0.0433512006181353, 0.0486334706441882, -0.1369124239113158, 0.0294183543670809, -0.0709507333979702, -0.1180941567671954, -0.0745572841847947, -0.0715595607793421, -0.1836811504953308, -0.0069591493941642, 0.0788718140760838, 0.0618336991383097, -0.0043942980258579]| 12.2600545883178711|      0.50000000|[548, 80, 0, 10]                                                           |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       6|[1.4062643493585745, 0.1746813795674357, 0.3788404455267861, 1.9845333032584869, 0.0513281960437299, -0.0408160873258428, 0.0154133894657783, -0.1397946303722988, -0.0829514192759805, -0.0520922924190462, 0.0214198089215789, -0.1637251552364052, 0.0189702218200986, -0.0840174363242182, -0.1214602700346797, -0.0781642954941648, -0.0452822664868939, -0.1699966552303094, 0.0175677145277096, 0.0799599204406945, 0.0707448168713608, -0.0056841024531088]| 12.1444149017333984|      1.00000000|[657, 96, 0, 12]                                                           |  | trying linear partial model with 57 points | iterate success | actual_k=8
       7|[1.4062643493585745, 0.1746813795674357, 0.3788404455267861, 1.9845333032584869, 0.0513281960437299, -0.0408160873258428, 0.0154133894657783, -0.1397946303722988, -0.0829514192759805, -0.0520922924190462, 0.0214198089215789, -0.1637251552364052, 0.0189702218200986, -0.0840174363242182, -0.1214602700346797, -0.0781642954941648, -0.0452822664868939, -0.1699966552303094, 0.0175677145277096, 0.0799599204406945, 0.0707448168713608, -0.0056841024531088]| 12.1444149017333984|      0.50000000|[767, 112, 0, 14]                                                          |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       8|[1.4062643493585745, 0.1746813795674357, 0.3788404455267861, 1.9845333032584869, 0.0513281960437299, -0.0408160873258428, 0.0154133894657783, -0.1397946303722988, -0.0829514192759805, -0.0520922924190462, 0.0214198089215789, -0.1637251552364052, 0.0189702218200986, -0.0840174363242182, -0.1214602700346797, -0.0781642954941648, -0.0452822664868939, -0.1699966552303094, 0.0175677145277096, 0.0799599204406945, 0.0707448168713608, -0.0056841024531088]| 12.1444149017333984|      0.25000000|[876, 128, 0, 16]                                                          |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       9|[1.4062643493585745, 0.1746813795674357, 0.3788404455267861, 1.9845333032584869, 0.0513281960437299, -0.0408160873258428, 0.0154133894657783, -0.1397946303722988, -0.0829514192759805, -0.0520922924190462, 0.0214198089215789, -0.1637251552364052, 0.0189702218200986, -0.0840174363242182, -0.1214602700346797, -0.0781642954941648, -0.0452822664868939, -0.1699966552303094, 0.0175677145277096, 0.0799599204406945, 0.0707448168713608, -0.0056841024531088]| 12.1444149017333984|      0.12500000|[985, 144, 0, 18]                                                          |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      10|[1.4062643493585745, 0.1746813795674357, 0.3788404455267861, 1.9845333032584869, 0.0513281960437299, -0.0408160873258428, 0.0154133894657783, -0.1397946303722988, -0.0829514192759805, -0.0520922924190462, 0.0214198089215789, -0.1637251552364052, 0.0189702218200986, -0.0840174363242182, -0.1214602700346797, -0.0781642954941648, -0.0452822664868939, -0.1699966552303094, 0.0175677145277096, 0.0799599204406945, 0.0707448168713608, -0.0056841024531088]| 12.1444149017333984|      0.06250000|[1095, 160, 0, 20]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      11|[1.4062643493585745, 0.1746813795674357, 0.3788404455267861, 1.9845333032584869, 0.0513281960437299, -0.0408160873258428, 0.0154133894657783, -0.1397946303722988, -0.0829514192759805, -0.0520922924190462, 0.0214198089215789, -0.1637251552364052, 0.0189702218200986, -0.0840174363242182, -0.1214602700346797, -0.0781642954941648, -0.0452822664868939, -0.1699966552303094, 0.0175677145277096, 0.0799599204406945, 0.0707448168713608, -0.0056841024531088]| 12.1444149017333984|      0.03125000|[1204, 176, 0, 22]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      12|[1.4062643493585745, 0.1746813795674357, 0.3788404455267861, 1.9845333032584869, 0.0513281960437299, -0.0408160873258428, 0.0154133894657783, -0.1397946303722988, -0.0829514192759805, -0.0520922924190462, 0.0214198089215789, -0.1637251552364052, 0.0189702218200986, -0.0840174363242182, -0.1214602700346797, -0.0781642954941648, -0.0452822664868939, -0.1699966552303094, 0.0175677145277096, 0.0799599204406945, 0.0707448168713608, -0.0056841024531088]| 12.1444149017333984|      0.01562500|[1314, 192, 0, 24]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      13|[1.4062643493585745, 0.1746813795674357, 0.3788404455267861, 1.9845333032584869, 0.0513281960437299, -0.0408160873258428, 0.0154133894657783, -0.1397946303722988, -0.0829514192759805, -0.0520922924190462, 0.0214198089215789, -0.1637251552364052, 0.0189702218200986, -0.0840174363242182, -0.1214602700346797, -0.0781642954941648, -0.0452822664868939, -0.1699966552303094, 0.0175677145277096, 0.0799599204406945, 0.0707448168713608, -0.0056841024531088]| 12.1444149017333984|      0.00781250|[1424, 208, 0, 26]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      14|[1.4062643493585745, 0.1746813795674357, 0.3788404455267861, 1.9845333032584869, 0.0513281960437299, -0.0408160873258428, 0.0154133894657783, -0.1397946303722988, -0.0829514192759805, -0.0520922924190462, 0.0214198089215789, -0.1637251552364052, 0.0189702218200986, -0.0840174363242182, -0.1214602700346797, -0.0781642954941648, -0.0452822664868939, -0.1699966552303094, 0.0175677145277096, 0.0799599204406945, 0.0707448168713608, -0.0056841024531088]| 12.1444149017333984|      0.00390625|[1534, 224, 0, 28]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      15|[1.40260757600895, 0.1738881947151454, 0.3788871836067219, 1.9835519203410061, 0.0515309240516358, -0.0407506450889488, 0.0154253043417397, -0.1396349879425695, -0.0828811456963829, -0.0521882240249627, 0.02115312030746, -0.1635884923007738, 0.0188696727871536, -0.0841842491222154, -0.1213841371273777, -0.0781928766431286, -0.0452519009237406, -0.1700812492746817, 0.0174643128704456, 0.079821616196034, 0.070595886138423, -0.0057971535438015]| 12.1444063186645508|      0.00781250|[1644, 240, 0, 30]                                                         |  | trying linear partial model with 57 points | iterate success | actual_k=8
      16|[1.40260757600895, 0.1738881947151454, 0.3788871836067219, 1.9835519203410061, 0.0515309240516358, -0.0407506450889488, 0.0154253043417397, -0.1396349879425695, -0.0828811456963829, -0.0521882240249627, 0.02115312030746, -0.1635884923007738, 0.0188696727871536, -0.0841842491222154, -0.1213841371273777, -0.0781928766431286, -0.0452519009237406, -0.1700812492746817, 0.0174643128704456, 0.079821616196034, 0.070595886138423, -0.0057971535438015]| 12.1444063186645508|      0.00390625|[1753, 256, 0, 32]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      17|[1.4003823768093024, 0.1725657479219551, 0.3796403154614573, 1.9863339809380822, 0.0515280740382456, -0.0406411118459905, 0.0153076882955558, -0.1395719567868537, -0.082846494570667, -0.0522991836968187, 0.021145133940203, -0.163712402981876, 0.0188350704605032, -0.0839988497709113, -0.1216231593685922, -0.0782612642295088, -0.0453780693498823, -0.1699385747144126, 0.0175659845765006, 0.0796132109597261, 0.070526750367007, -0.0057772052421678]| 12.1443986892700195|      0.00781250|[1862, 272, 0, 34]                                                         |  | trying linear partial model with 57 points | iterate success | actual_k=8
      18|[1.4003823768093024, 0.1725657479219551, 0.3796403154614573, 1.9863339809380822, 0.0515280740382456, -0.0406411118459905, 0.0153076882955558, -0.1395719567868537, -0.082846494570667, -0.0522991836968187, 0.021145133940203, -0.163712402981876, 0.0188350704605032, -0.0839988497709113, -0.1216231593685922, -0.0782612642295088, -0.0453780693498823, -0.1699385747144126, 0.0175659845765006, 0.0796132109597261, 0.070526750367007, -0.0057772052421678]| 12.1443986892700195|      0.00390625|[1972, 288, 0, 36]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      19|[1.4003823768093024, 0.1725657479219551, 0.3796403154614573, 1.9863339809380822, 0.0515280740382456, -0.0406411118459905, 0.0153076882955558, -0.1395719567868537, -0.082846494570667, -0.0522991836968187, 0.021145133940203, -0.163712402981876, 0.0188350704605032, -0.0839988497709113, -0.1216231593685922, -0.0782612642295088, -0.0453780693498823, -0.1699385747144126, 0.0175659845765006, 0.0796132109597261, 0.070526750367007, -0.0057772052421678]| 12.1443986892700195|      0.00195312|[2082, 304, 0, 38]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      20|[1.3988060613958495, 0.1719322571938731, 0.3799868165153776, 1.987125136675427, 0.0515606085915204, -0.040663600625366, 0.0153557358833402, -0.1395300029253765, -0.0826773375436459, -0.0521218991858266, 0.02124705447339, -0.1638412070803093, 0.0189110634146024, -0.0841810108143018, -0.1217142162808086, -0.0782734389079018, -0.0453062580632352, -0.1698440468285566, 0.0176478317728473, 0.0795392649197424, 0.0706042381374741, -0.0058787438818023]| 12.1443948745727539|      0.00390625|[2193, 320, 0, 40]                                                         |  | trying linear partial model with 57 points | iterate success | actual_k=8
      21|[1.3955036585641787, 0.170760245628004, 0.3806018007914993, 1.9886197548627411, 0.051843862253651, -0.0408109633897576, 0.0151252577208934, -0.139556925952186, -0.0825141545551674, -0.0521212064580125, 0.0213257654107619, -0.163832096658083, 0.0191248965456641, -0.084161382741963, -0.1218032730942112, -0.0781161327439531, -0.0451183365586233, -0.169769614512183, 0.017687753708214, 0.0793153732029699, 0.0705544700870417, -0.0058103021272522]| 12.1443872451782227|      0.00781250|[2303, 336, 0, 42]                                                         |  | trying linear partial model with 57 points | iterate success | actual_k=8
      22|[1.3955036585641787, 0.170760245628004, 0.3806018007914993, 1.9886197548627411, 0.051843862253651, -0.0408109633897576, 0.0151252577208934, -0.139556925952186, -0.0825141545551674, -0.0521212064580125, 0.0213257654107619, -0.163832096658083, 0.0191248965456641, -0.084161382741963, -0.1218032730942112, -0.0781161327439531, -0.0451183365586233, -0.169769614512183, 0.017687753708214, 0.0793153732029699, 0.0705544700870417, -0.0058103021272522]| 12.1443872451782227|      0.00390625|[2413, 352, 0, 44]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
