k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[8, 2, 1, 4]                                                               |  | used linear model with 10 points | iterate failure | actual_k=1
       2|[0.0958800189410847, -0.0393070135626808, -0.1817642147349605, 0.0420179278474526, 0.3946258610752722, 0.0665119253218361, 0.1493091081715568, 0.1053374185293619, -0.1044780200281227]|145944.3364772809727583|      1.00000000|[16, 4, 2, 8]                                                              |  | used linear model with 10 points | iterate success | actual_k=1
       3|[0.0958800189410847, -0.0393070135626808, -0.1817642147349605, 0.0420179278474526, 0.3946258610752722, 0.0665119253218361, 0.1493091081715568, 0.1053374185293619, -0.1044780200281227]|145944.3364772809727583|      0.50000000|[24, 6, 3, 12]                                                             |  | used linear model with 10 points | iterate failure | actual_k=1
       4|[0.2866826347373348, -0.2190002650092975, -0.267230247501144, 0.056432619470963, 0.6000735928679425, -0.1513249573679853, -0.0448711415273317, 0.0361199402812047, 0.0995655156977894]|53391.8561254231462954|      1.00000000|[31, 9, 4, 16]                                                             |  | used linear model with 10 points | iterate success | actual_k=1
       5|[0.2866826347373348, -0.2190002650092975, -0.267230247501144, 0.056432619470963, 0.6000735928679425, -0.1513249573679853, -0.0448711415273317, 0.0361199402812047, 0.0995655156977894]|53391.8561254231462954|      0.50000000|[39, 11, 5, 20]                                                            |  | used linear model with 10 points | iterate failure | actual_k=1
       6|[0.2866826347373348, -0.2190002650092975, -0.267230247501144, 0.056432619470963, 0.6000735928679425, -0.1513249573679853, -0.0448711415273317, 0.0361199402812047, 0.0995655156977894]|53391.8561254231462954|      0.25000000|[46, 14, 6, 24]                                                            |  | used linear model with 10 points | iterate failure | actual_k=1
       7|[0.4592604481503438, -0.1286486457395192, -0.1408408299432369, 0.0720792829690091, 0.6174317302661422, -0.1120316256419787, -0.1092178486808799, 0.012408359568637, 0.1418310055235057]|36636.8728451803835924|      0.50000000|[54, 16, 7, 28]                                                            |  | used linear model with 10 points | iterate success | actual_k=1
       8|[0.4592604481503438, -0.1286486457395192, -0.1408408299432369, 0.0720792829690091, 0.6174317302661422, -0.1120316256419787, -0.1092178486808799, 0.012408359568637, 0.1418310055235057]|36636.8728451803835924|      0.25000000|[62, 18, 8, 32]                                                            |  | used linear model with 10 points | iterate failure | actual_k=1
       9|[0.4736697949718967, -0.0871846987890343, -0.1223711993572286, 0.0648278076273194, 0.8460757032279337, -0.0457793622574058, -0.1518131916408175, -0.012764133111105, 0.1744493174652846]|3527.0067296416391400|      0.50000000|[70, 20, 9, 36]                                                            |  | used linear model with 10 points | iterate success | actual_k=1
      10|[0.4736697949718967, -0.0871846987890343, -0.1223711993572286, 0.0648278076273194, 0.8460757032279337, -0.0457793622574058, -0.1518131916408175, -0.012764133111105, 0.1744493174652846]|3527.0067296416391400|      0.25000000|[78, 22, 10, 40]                                                           |  | used linear model with 10 points | iterate failure | actual_k=1
      11|[0.4736697949718967, -0.0871846987890343, -0.1223711993572286, 0.0648278076273194, 0.8460757032279337, -0.0457793622574058, -0.1518131916408175, -0.012764133111105, 0.1744493174652846]|3527.0067296416391400|      0.12500000|[85, 25, 11, 44]                                                           |  | used linear model with 10 points | iterate failure | actual_k=1
      12|[0.4499519037590232, -0.0249106315475915, -0.1495780734567207, -0.0148013783892658, 0.8193914264861732, 0.0039894074082701, -0.1490245067032128, -0.0283179396260859, 0.1486674982579365]|1242.1173269965290729|      0.25000000|[93, 27, 12, 48]                                                           |  | used linear model with 10 points | iterate success | actual_k=1
      13|[0.4499519037590232, -0.0249106315475915, -0.1495780734567207, -0.0148013783892658, 0.8193914264861732, 0.0039894074082701, -0.1490245067032128, -0.0283179396260859, 0.1486674982579365]|1242.1173269965290729|      0.12500000|[101, 29, 13, 52]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
      14|[0.4499519037590232, -0.0249106315475915, -0.1495780734567207, -0.0148013783892658, 0.8193914264861732, 0.0039894074082701, -0.1490245067032128, -0.0283179396260859, 0.1486674982579365]|1242.1173269965290729|      0.06250000|[109, 31, 14, 56]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
      15|[0.4499519037590232, -0.0249106315475915, -0.1495780734567207, -0.0148013783892658, 0.8193914264861732, 0.0039894074082701, -0.1490245067032128, -0.0283179396260859, 0.1486674982579365]|1242.1173269965290729|      0.03125000|[117, 33, 15, 60]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
      16|[0.4525610639849147, -0.0213156717305603, -0.1337798842088972, -0.00055354105302, 0.8349342212102292, 0.0159359724530287, -0.1474655647211882, -0.017736190798087, 0.1463127579337335]|966.0653509865816204|      0.06250000|[125, 35, 16, 64]                                                          |  | used linear model with 10 points | iterate success | actual_k=1
      17|[0.5074995242182342, -0.0231681604787467, -0.1414030732418012, -0.0030602611713251, 0.8558803604937602, 0.0141582092681616, -0.1311653947787658, -0.0100651540267734, 0.1389816135672876]|595.8866845524916016|      0.12500000|[133, 37, 17, 68]                                                          |  | used linear model with 10 points | iterate success | actual_k=1
      18|[0.5074995242182342, -0.0231681604787467, -0.1414030732418012, -0.0030602611713251, 0.8558803604937602, 0.0141582092681616, -0.1311653947787658, -0.0100651540267734, 0.1389816135672876]|595.8866845524916016|      0.06250000|[141, 39, 18, 72]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
      19|[0.5248231498489712, -0.0608454710384197, -0.1488584811153224, -0.0246334017149496, 0.8868826722723254, 0.0130287071595247, -0.1483039553524928, -0.0246075673502417, 0.1530509991289176]|361.7385277127650625|      0.12500000|[148, 42, 19, 76]                                                          |  | used linear model with 10 points | iterate success | actual_k=1
      20|[0.5248231498489712, -0.0608454710384197, -0.1488584811153224, -0.0246334017149496, 0.8868826722723254, 0.0130287071595247, -0.1483039553524928, -0.0246075673502417, 0.1530509991289176]|361.7385277127650625|      0.06250000|[156, 44, 20, 80]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
      21|[0.5248231498489712, -0.0608454710384197, -0.1488584811153224, -0.0246334017149496, 0.8868826722723254, 0.0130287071595247, -0.1483039553524928, -0.0246075673502417, 0.1530509991289176]|361.7385277127650625|      0.03125000|[164, 46, 21, 84]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
      22|[0.5248231498489712, -0.0608454710384197, -0.1488584811153224, -0.0246334017149496, 0.8868826722723254, 0.0130287071595247, -0.1483039553524928, -0.0246075673502417, 0.1530509991289176]|361.7385277127650625|      0.01562500|[172, 48, 22, 88]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
      23|[0.5260291301368024, -0.0579284683195904, -0.1483375169117972, -0.0157522493700275, 0.8965849789339119, 0.0065803816511945, -0.1482143945201713, -0.0202752994057605, 0.1523169433365411]|210.3790721523716059|      0.03125000|[180, 50, 23, 92]                                                          |  | used linear model with 10 points | iterate success | actual_k=1
