k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0]                                                              |83210000.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.837395170877876, 10.084386621183167, 9.01692392577611]                       |33321013.4231017492711544|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[10.390961947899614, 10.0681350047734, 7.0951279666946485]                      |4184450.7804719693958759|      4.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[10.390961947899614, 10.0681350047734, 7.0951279666946485]                      |4184450.7804719693958759|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[10.003477963243995, 10.364542171453555, 5.155540651522669]                     |1409675.9343925153370947|      4.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[10.003477963243995, 10.364542171453555, 5.155540651522669]                     |1409675.9343925153370947|      2.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[10.301593202112137, 8.893306593485002, 3.8339532807922545]                     |860173.3796535058645532|      4.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[12.728770245846663, 6.135521818890892, 2.251728664821111]                      |279163.0727546035195701|      8.00000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[12.728770245846663, 6.135521818890892, 2.251728664821111]                      |279163.0727546035195701|      4.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[11.114044298978886, 2.5408235596376465, 1.5655766835271323]                    |29589.0500461330957478|      8.00000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      10|[11.114044298978886, 2.5408235596376465, 1.5655766835271323]                    |29589.0500461330957478|      4.00000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[9.007294614874695, -0.6853919447440933, 2.639419915946913]                     |2387.8952278936726543|      8.00000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[9.007294614874695, -0.6853919447440933, 2.639419915946913]                     |2387.8952278936726543|      4.00000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[9.007294614874695, -0.6853919447440933, 2.639419915946913]                     |2387.8952278936726543|      2.00000000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[9.007294614874695, -0.6853919447440933, 2.639419915946913]                     |2387.8952278936726543|      1.00000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[9.007294614874695, -0.6853919447440933, 2.639419915946913]                     |2387.8952278936726543|      0.50000000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
