k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0504818736314482, 0.0349317551514683, 0.128930598848348, -0.1699635064380123, 0.6181293306675567, -0.0424573631285651, 0.5886188240829191, 0.2525508560297368, 0.3957020444919824]|67418.8558180198015179|      2.00000000|[13, 1, 1, 2]                                                              |  | used linear model with 14 points | iterate success | actual_k=1
       2|[-0.0504818736314482, 0.0349317551514683, 0.128930598848348, -0.1699635064380123, 0.6181293306675567, -0.0424573631285651, 0.5886188240829191, 0.2525508560297368, 0.3957020444919824]|67418.8558180198015179|      1.00000000|[26, 2, 2, 4]                                                              |  | used linear model with 14 points | iterate failure | actual_k=1
       3|[-0.0504818736314482, 0.0349317551514683, 0.128930598848348, -0.1699635064380123, 0.6181293306675567, -0.0424573631285651, 0.5886188240829191, 0.2525508560297368, 0.3957020444919824]|67418.8558180198015179|      0.50000000|[40, 2, 3, 6]                                                              |  | used linear model with 14 points | iterate failure | actual_k=1
       4|[-0.0504818736314482, 0.0349317551514683, 0.128930598848348, -0.1699635064380123, 0.6181293306675567, -0.0424573631285651, 0.5886188240829191, 0.2525508560297368, 0.3957020444919824]|67418.8558180198015179|      0.25000000|[54, 2, 4, 8]                                                              |  | used linear model with 14 points | iterate failure | actual_k=1
       5|[-0.0209269405306248, 0.0731885082265036, 0.1283506446353941, 0.0113243654416375, 0.745904744622172, -0.0616524361984775, 0.5930620680529541, 0.3219254203463537, 0.4716607049823432]|6212.5828730551183980|      0.50000000|[67, 3, 5, 10]                                                             |  | used linear model with 14 points | iterate success | actual_k=1
       6|[-0.0209269405306248, 0.0731885082265036, 0.1283506446353941, 0.0113243654416375, 0.745904744622172, -0.0616524361984775, 0.5930620680529541, 0.3219254203463537, 0.4716607049823432]|6212.5828730551183980|      0.25000000|[81, 3, 6, 12]                                                             |  | used linear model with 14 points | iterate failure | actual_k=1
       7|[-0.0209269405306248, 0.0731885082265036, 0.1283506446353941, 0.0113243654416375, 0.745904744622172, -0.0616524361984775, 0.5930620680529541, 0.3219254203463537, 0.4716607049823432]|6212.5828730551183980|      0.12500000|[94, 4, 7, 14]                                                             |  | used linear model with 14 points | iterate failure | actual_k=1
       8|[0.0289861291837867, 0.1237040093580453, 0.0884681310582585, -0.0075983666994409, 0.8238752618301142, -0.0411361347562277, 0.6276241407595882, 0.3284460184845464, 0.5015907849655038]|1477.5143378144073267|      0.25000000|[107, 5, 8, 16]                                                            |  | used linear model with 14 points | iterate success | actual_k=1
       9|[0.0289861291837867, 0.1237040093580453, 0.0884681310582585, -0.0075983666994409, 0.8238752618301142, -0.0411361347562277, 0.6276241407595882, 0.3284460184845464, 0.5015907849655038]|1477.5143378144073267|      0.12500000|[120, 6, 9, 18]                                                            |  | used linear model with 14 points | iterate failure | actual_k=1
      10|[0.0289861291837867, 0.1237040093580453, 0.0884681310582585, -0.0075983666994409, 0.8238752618301142, -0.0411361347562277, 0.6276241407595882, 0.3284460184845464, 0.5015907849655038]|1477.5143378144073267|      0.06250000|[134, 6, 10, 20]                                                           |  | used linear model with 14 points | iterate failure | actual_k=1
      11|[0.0289861291837867, 0.1237040093580453, 0.0884681310582585, -0.0075983666994409, 0.8238752618301142, -0.0411361347562277, 0.6276241407595882, 0.3284460184845464, 0.5015907849655038]|1477.5143378144073267|      0.03125000|[148, 6, 11, 22]                                                           |  | used linear model with 14 points | iterate failure | actual_k=1
      12|[0.0211229692849153, 0.1174344234599314, 0.093355179100602, -0.0174073423974548, 0.8312300385617253, -0.0200448638368442, 0.6298827316996103, 0.3397317052795341, 0.5127228942455533]|1073.7764396664401829|      0.06250000|[161, 7, 12, 24]                                                           |  | used linear model with 14 points | iterate success | actual_k=1
