k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1814256291345079, 10.414740459932297, 1.891669833508062]                     |  0.7194573283195496|      2.00000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[1.6957375655090796, 9.77447035066573, 0.7528487121163288]                      |  0.0396459847688675|      4.00000000|[16, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | iterate success | actual_k=1
       3|[1.6957375655090796, 9.77447035066573, 0.7528487121163288]                      |  0.0396459847688675|      2.00000000|[25, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.6957375655090796, 9.77447035066573, 0.7528487121163288]                      |  0.0396459847688675|      1.00000000|[34, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.6957375655090796, 9.77447035066573, 0.7528487121163288]                      |  0.0396459847688675|      0.50000000|[43, 14, 0, 14]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[1.6957375655090796, 9.77447035066573, 0.7528487121163288]                      |  0.0396459847688675|      0.25000000|[52, 17, 0, 17]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1.6957375655090796, 9.77447035066573, 0.7528487121163288]                      |  0.0396459847688675|      0.12500000|[61, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[1.6957375655090796, 9.77447035066573, 0.7528487121163288]                      |  0.0396459847688675|      0.06250000|[70, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[1.6368998603754787, 9.754415773884775, 0.7593439722918882]                     |  0.0333589278594242|      0.12500000|[76, 25, 1, 26]                                                            |  | trying quadratic partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
      10|[1.6368998603754787, 9.754415773884775, 0.7593439722918882]                     |  0.0333589278594242|      0.06250000|[87, 28, 2, 30]                                                            |  | trying quadratic partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
