k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.01, 0.02]                                                               |14794.7901547973069682|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, 0.01, 0.02]                                                               |14794.7901547973069682|      0.50000000|[4, 0, 1, 2]                                                               |  | used linear model with 4 points | iterate failure | actual_k=0
       2|[0.1, 0.01, 0.02]                                                               |14794.7901547973069682|      0.25000000|[8, 0, 2, 4]                                                               |  | used linear model with 4 points | iterate failure | actual_k=0
       3|[0.1, 0.01, 0.02]                                                               |14794.7901547973069682|      0.12500000|[12, 0, 3, 6]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       4|[0.1, 0.01, 0.02]                                                               |14794.7901547973069682|      0.06250000|[16, 0, 4, 8]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       5|[0.1, 0.01, 0.02]                                                               |14794.7901547973069682|      0.03125000|[20, 0, 5, 10]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       6|[0.1, 0.01, 0.02]                                                               |14794.7901547973069682|      0.01562500|[24, 0, 6, 12]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       7|[0.1, 0.01, 0.02]                                                               |14794.7901547973069682|      0.00781250|[28, 0, 7, 14]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       8|[0.0999228777904991, 0.0035617404846137, 0.0155752940405786]                    |566.0979997930949139|      0.01562500|[32, 0, 8, 16]                                                             |  | used linear model with 4 points | iterate success | actual_k=0
       9|[0.0999228777904991, 0.0035617404846137, 0.0155752940405786]                    |566.0979997930949139|      0.00781250|[36, 0, 9, 18]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
      10|[0.0999228777904991, 0.0035617404846137, 0.0155752940405786]                    |566.0979997930949139|      0.00390625|[40, 0, 10, 20]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      11|[0.0999228777904991, 0.0035617404846137, 0.0155752940405786]                    |566.0979997930949139|      0.00195312|[44, 0, 11, 22]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      12|[0.0999228777904991, 0.0035617404846137, 0.0155752940405786]                    |566.0979997930949139|      0.00097656|[48, 0, 12, 24]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      13|[0.0999228777904991, 0.0035617404846137, 0.0155752940405786]                    |566.0979997930949139|      0.00048828|[52, 0, 13, 26]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      14|[0.0999228777904991, 0.0035617404846137, 0.0155752940405786]                    |566.0979997930949139|      0.00024414|[56, 0, 14, 28]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      15|[0.0999228777904991, 0.0035617404846137, 0.0155752940405786]                    |566.0979997930949139|      0.00012207|[60, 0, 15, 30]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
