k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.829599258961878, -0.5104532017856174, 0.5507968085065541, -0.4936591290357237, -0.3292352071690728, 0.2904524596535341, 0.2739799965698135]|68237.0703125000000000|      2.00000000|[24, 8, 0, 2]                                                              |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
       2|[9.829599258961878, -0.5104532017856174, 0.5507968085065541, -0.4936591290357237, -0.3292352071690728, 0.2904524596535341, 0.2739799965698135]|68237.0703125000000000|      1.00000000|[70, 24, 0, 6]                                                             |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 25 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 36 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[9.49484310114217, -0.1728465105115794, 0.4600803313931246, 0.319353450232352, -0.3889849194399149, 0.5082293842019613, 0.5058081367050511]|51360.9453125000000000|      2.00000000|[93, 32, 0, 8]                                                             |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
       4|[9.49484310114217, -0.1728465105115794, 0.4600803313931246, 0.319353450232352, -0.3889849194399149, 0.5082293842019613, 0.5058081367050511]|51360.9453125000000000|      1.00000000|[140, 48, 1, 13]                                                           |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 24 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 37 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[9.49484310114217, -0.1728465105115794, 0.4600803313931246, 0.319353450232352, -0.3889849194399149, 0.5082293842019613, 0.5058081367050511]|51360.9453125000000000|      0.50000000|[185, 64, 1, 17]                                                           |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 25 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 36 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[9.468075617268498, -0.2972620658876706, 0.315118965828141, 0.5859030667669287, -0.4251263791714066, 0.4469822059844735, 0.1360996652640938]|31137.7011718750000000|      1.00000000|[209, 72, 1, 19]                                                           |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
       7|[9.468075617268498, -0.2972620658876706, 0.315118965828141, 0.5859030667669287, -0.4251263791714066, 0.4469822059844735, 0.1360996652640938]|31137.7011718750000000|      0.50000000|[254, 88, 1, 23]                                                           |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 25 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 35 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[9.468075617268498, -0.2972620658876706, 0.315118965828141, 0.5859030667669287, -0.4251263791714066, 0.4469822059844735, 0.1360996652640938]|31137.7011718750000000|      0.25000000|[296, 104, 1, 27]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 23 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[9.57168024243287, -0.3585587598364665, 0.3475244432274759, 0.6194441884013513, -0.45475036723659, 0.638777539073025, 0.045708046813658]|5800.4682617187500000|      0.50000000|[329, 116, 1, 30]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 23 points | iterate success | actual_k=4
      10|[9.57168024243287, -0.3585587598364665, 0.3475244432274759, 0.6194441884013513, -0.45475036723659, 0.638777539073025, 0.045708046813658]|5800.4682617187500000|      0.25000000|[374, 132, 1, 34]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 24 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 34 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      11|[9.57168024243287, -0.3585587598364665, 0.3475244432274759, 0.6194441884013513, -0.45475036723659, 0.638777539073025, 0.045708046813658]|5800.4682617187500000|      0.12500000|[418, 148, 1, 38]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 23 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      12|[9.57168024243287, -0.3585587598364665, 0.3475244432274759, 0.6194441884013513, -0.45475036723659, 0.638777539073025, 0.045708046813658]|5800.4682617187500000|      0.06250000|[460, 164, 1, 42]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 23 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      13|[9.57168024243287, -0.3585587598364665, 0.3475244432274759, 0.6194441884013513, -0.45475036723659, 0.638777539073025, 0.045708046813658]|5800.4682617187500000|      0.03125000|[504, 180, 1, 46]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 23 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 34 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      14|[9.57168024243287, -0.3585587598364665, 0.3475244432274759, 0.6194441884013513, -0.45475036723659, 0.638777539073025, 0.045708046813658]|5800.4682617187500000|      0.01562500|[547, 196, 1, 50]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 23 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 34 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      15|[9.57168024243287, -0.3585587598364665, 0.3475244432274759, 0.6194441884013513, -0.45475036723659, 0.638777539073025, 0.045708046813658]|5800.4682617187500000|      0.00781250|[592, 212, 1, 54]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 23 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 35 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      16|[9.571760722031136, -0.3594315088062561, 0.3476009178602673, 0.6201381311289025, -0.4549775273138254, 0.6386700661885945, 0.0379804060663254]|4251.3999023437500000|      0.01562500|[614, 220, 1, 56]                                                          |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
      17|[9.571760722031136, -0.3594315088062561, 0.3476009178602673, 0.6201381311289025, -0.4549775273138254, 0.6386700661885945, 0.0379804060663254]|4251.3999023437500000|      0.00781250|[658, 236, 1, 60]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 24 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 35 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      18|[9.571760722031136, -0.3594315088062561, 0.3476009178602673, 0.6201381311289025, -0.4549775273138254, 0.6386700661885945, 0.0379804060663254]|4251.3999023437500000|      0.00390625|[701, 252, 1, 64]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 24 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 34 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      19|[9.571760722031136, -0.3594315088062561, 0.3476009178602673, 0.6201381311289025, -0.4549775273138254, 0.6386700661885945, 0.0379804060663254]|4251.3999023437500000|      0.00195312|[747, 268, 1, 68]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 24 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 35 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      20|[9.571902278164787, -0.3580970743442575, 0.3475229627849481, 0.6196120645967639, -0.4548426664438384, 0.6397883600581816, 0.0373004412361559]|4227.9946289062500000|      0.00390625|[770, 276, 1, 70]                                                          |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
