k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0412406293146277, -0.0329412913451026, 0.0315515999374113, 0.2379096591208745, 0.8843841910460788, -0.0067977844502172, -0.0480691439144344, -0.313274168453087, 0.2387145114866936]|58487.7638489039745764|      2.00000000|[53, 3, 1, 5]                                                              |  | used quadratic model with 56 points | iterate success | actual_k=1
       2|[0.0412406293146277, -0.0329412913451026, 0.0315515999374113, 0.2379096591208745, 0.8843841910460788, -0.0067977844502172, -0.0480691439144344, -0.313274168453087, 0.2387145114866936]|58487.7638489039745764|      1.00000000|[105, 7, 2, 10]                                                            |  | used quadratic model with 56 points | iterate failure | actual_k=1
       3|[0.0412406293146277, -0.0329412913451026, 0.0315515999374113, 0.2379096591208745, 0.8843841910460788, -0.0067977844502172, -0.0480691439144344, -0.313274168453087, 0.2387145114866936]|58487.7638489039745764|      0.50000000|[158, 10, 3, 15]                                                           |  | used quadratic model with 56 points | iterate failure | actual_k=1
       4|[0.1804024933216454, -0.0539218269504634, 0.075711132041239, -0.1196284874159217, 1.1167521715903783, 0.1009398120835115, 0.0331135734484455, -0.1941507847286801, 0.3571498102355635]|9409.8787028162641946|      1.00000000|[211, 13, 4, 20]                                                           |  | used quadratic model with 56 points | iterate success | actual_k=1
       5|[0.1804024933216454, -0.0539218269504634, 0.075711132041239, -0.1196284874159217, 1.1167521715903783, 0.1009398120835115, 0.0331135734484455, -0.1941507847286801, 0.3571498102355635]|9409.8787028162641946|      0.50000000|[264, 16, 5, 25]                                                           |  | used quadratic model with 56 points | iterate failure | actual_k=1
       6|[0.1804024933216454, -0.0539218269504634, 0.075711132041239, -0.1196284874159217, 1.1167521715903783, 0.1009398120835115, 0.0331135734484455, -0.1941507847286801, 0.3571498102355635]|9409.8787028162641946|      0.25000000|[316, 20, 6, 30]                                                           |  | used quadratic model with 56 points | iterate failure | actual_k=1
       7|[0.2235230737844379, -0.057062092431121, 0.026619823702625, 0.0607837412576295, 1.2098388622123377, -0.0240728946361562, 0.0217371804160783, -0.2260240710351072, 0.3418662258004962]|3803.9131316023972431|      0.50000000|[369, 23, 7, 35]                                                           |  | used quadratic model with 56 points | iterate success | actual_k=1
       8|[0.2235230737844379, -0.057062092431121, 0.026619823702625, 0.0607837412576295, 1.2098388622123377, -0.0240728946361562, 0.0217371804160783, -0.2260240710351072, 0.3418662258004962]|3803.9131316023972431|      0.25000000|[422, 26, 8, 40]                                                           |  | used quadratic model with 56 points | iterate failure | actual_k=1
       9|[0.2235230737844379, -0.057062092431121, 0.026619823702625, 0.0607837412576295, 1.2098388622123377, -0.0240728946361562, 0.0217371804160783, -0.2260240710351072, 0.3418662258004962]|3803.9131316023972431|      0.12500000|[475, 29, 9, 45]                                                           |  | used quadratic model with 56 points | iterate failure | actual_k=1
      10|[0.2400844923473121, -0.0691753357604627, 0.0403492843311198, 0.0035191123410692, 1.1312548441016654, 0.04995101886306, 0.019623671551917, -0.2236916573997969, 0.333418847989263]|382.8268560138503744|      0.25000000|[528, 32, 10, 50]                                                          |  | used quadratic model with 56 points | iterate success | actual_k=1
      11|[0.2400844923473121, -0.0691753357604627, 0.0403492843311198, 0.0035191123410692, 1.1312548441016654, 0.04995101886306, 0.019623671551917, -0.2236916573997969, 0.333418847989263]|382.8268560138503744|      0.12500000|[580, 36, 11, 55]                                                          |  | used quadratic model with 56 points | iterate failure | actual_k=1
      12|[0.2400844923473121, -0.0691753357604627, 0.0403492843311198, 0.0035191123410692, 1.1312548441016654, 0.04995101886306, 0.019623671551917, -0.2236916573997969, 0.333418847989263]|382.8268560138503744|      0.06250000|[633, 39, 12, 60]                                                          |  | used quadratic model with 56 points | iterate failure | actual_k=1
      13|[0.2400844923473121, -0.0691753357604627, 0.0403492843311198, 0.0035191123410692, 1.1312548441016654, 0.04995101886306, 0.019623671551917, -0.2236916573997969, 0.333418847989263]|382.8268560138503744|      0.03125000|[686, 42, 13, 65]                                                          |  | used quadratic model with 56 points | iterate failure | actual_k=1
      14|[0.2341118510657269, -0.0735428481106918, 0.04989916012079, 0.0104232025044535, 1.125568747444152, 0.0248215508117193, 0.0211416784839963, -0.2208017004211636, 0.3438337530432566]|234.9348180165579549|      0.06250000|[739, 45, 14, 70]                                                          |  | used quadratic model with 56 points | iterate success | actual_k=1
      15|[0.2341118510657269, -0.0735428481106918, 0.04989916012079, 0.0104232025044535, 1.125568747444152, 0.0248215508117193, 0.0211416784839963, -0.2208017004211636, 0.3438337530432566]|234.9348180165579549|      0.03125000|[792, 48, 15, 75]                                                          |  | used quadratic model with 56 points | iterate failure | actual_k=1
      16|[0.2202765252903225, -0.0761609229636393, 0.0532105340719191, -0.0088420063636474, 1.1071133515743543, 0.0184532464638987, 0.0217135164539437, -0.2244264867501917, 0.3450809350687141]|195.2829909591606281|      0.06250000|[844, 52, 16, 80]                                                          |  | used quadratic model with 56 points | iterate success | actual_k=1
      17|[0.2202765252903225, -0.0761609229636393, 0.0532105340719191, -0.0088420063636474, 1.1071133515743543, 0.0184532464638987, 0.0217135164539437, -0.2244264867501917, 0.3450809350687141]|195.2829909591606281|      0.03125000|[896, 56, 17, 85]                                                          |  | used quadratic model with 56 points | iterate failure | actual_k=1
      18|[0.2202765252903225, -0.0761609229636393, 0.0532105340719191, -0.0088420063636474, 1.1071133515743543, 0.0184532464638987, 0.0217135164539437, -0.2244264867501917, 0.3450809350687141]|195.2829909591606281|      0.01562500|[948, 60, 18, 90]                                                          |  | used quadratic model with 56 points | iterate failure | actual_k=1
