k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0647253182346135, -0.2539226888017423]                                       | 16.1771270841209009|      2.00000000|[3, 0, 1, 2]                                                               |  | used linear model with 3 points | iterate success | actual_k=0
       2|[0.0737220185042406, -0.0644342710481315]                                       |  1.0013024558532975|      4.00000000|[6, 0, 2, 4]                                                               |  | used linear model with 3 points | iterate success | actual_k=0
       3|[0.0737220185042406, -0.0644342710481315]                                       |  1.0013024558532975|      2.00000000|[9, 0, 3, 6]                                                               |  | used linear model with 3 points | iterate failure | actual_k=0
       4|[0.0737220185042406, -0.0644342710481315]                                       |  1.0013024558532975|      1.00000000|[12, 0, 4, 8]                                                              |  | used linear model with 3 points | iterate failure | actual_k=0
       5|[0.0737220185042406, -0.0644342710481315]                                       |  1.0013024558532975|      0.50000000|[15, 0, 5, 10]                                                             |  | used linear model with 3 points | iterate failure | actual_k=0
       6|[0.0737220185042406, -0.0644342710481315]                                       |  1.0013024558532975|      0.25000000|[18, 0, 6, 12]                                                             |  | used linear model with 3 points | iterate failure | actual_k=0
       7|[0.0737220185042406, -0.0644342710481315]                                       |  1.0013024558532975|      0.12500000|[21, 0, 6, 13]                                                             |  | used linear model with 3 points | actual_k=0
       8|[0.0737220185042406, -0.0644342710481315]                                       |  1.0013024558532975|      0.06250000|[23, 0, 6, 14]                                                             |  | used linear model with 3 points | actual_k=0
       9|[0.0257630815944692, -0.1045115759785352]                                       |  0.9898597312347502|      0.12500000|[25, 0, 7, 16]                                                             |  | used linear model with 3 points | iterate success | actual_k=0
      10|[-0.0555375226970257, -0.1994600448542246]                                      |  0.9667319404848392|      0.25000000|[28, 0, 8, 18]                                                             |  | used linear model with 3 points | iterate success | actual_k=0
      11|[-0.1910986156028831, -0.4095152520978669]                                      |  0.9573356763612280|      0.50000000|[31, 0, 9, 20]                                                             |  | used linear model with 3 points | iterate success | actual_k=0
