k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  7.9524924420125593|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.7451264999362902, 0.0330255954963059]                                        |  0.9149101376533508|      2.00000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[0.7451264999362902, 0.0330255954963059]                                        |  0.9149101376533508|      1.00000000|[13, 4, 1, 5]                                                              |  | trying quadratic partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.7451264999362902, 0.0330255954963059]                                        |  0.9149101376533508|      0.50000000|[20, 6, 1, 7]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.5379297273089816, -0.4220233001323431]                                       |  0.2156979441642761|      1.00000000|[26, 8, 1, 9]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       5|[0.5379297273089816, -0.4220233001323431]                                       |  0.2156979441642761|      0.50000000|[32, 10, 1, 11]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.5379297273089816, -0.4220233001323431]                                       |  0.2156979441642761|      0.25000000|[38, 12, 1, 13]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.2883746392602022, -0.4071149793360224]                                       |  0.1328598260879517|      0.50000000|[44, 14, 1, 15]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       8|[0.2883746392602022, -0.4071149793360224]                                       |  0.1328598260879517|      0.25000000|[50, 16, 1, 17]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.2883746392602022, -0.4071149793360224]                                       |  0.1328598260879517|      0.12500000|[56, 18, 1, 19]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.3243573550136662, -0.2874059814828726]                                       |  0.0748305544257164|      0.25000000|[62, 20, 1, 21]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
