k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.181673847395865, -1.4474794451513555, -0.5019851256249719, 0.0362295037015514, 0.4270438295512273, 0.3577220401280393, 0.3254747280868374]|54810.5540654119395185|      2.00000000|[12, 0, 1, 2]                                                              |  | used linear model with 12 points | iterate success | actual_k=1
       2|[10.181673847395865, -1.4474794451513555, -0.5019851256249719, 0.0362295037015514, 0.4270438295512273, 0.3577220401280393, 0.3254747280868374]|54810.5540654119395185|      1.00000000|[23, 1, 2, 4]                                                              |  | used linear model with 12 points | iterate failure | actual_k=1
       3|[10.152460530135153, -1.6512356170800397, -0.2370365282003426, 0.9569264547101476, 0.3870194950103171, 0.1791785771680512, 0.2462935807056446]|33050.7126361659829854|      2.00000000|[34, 2, 3, 6]                                                              |  | used linear model with 12 points | iterate success | actual_k=1
       4|[10.152460530135153, -1.6512356170800397, -0.2370365282003426, 0.9569264547101476, 0.3870194950103171, 0.1791785771680512, 0.2462935807056446]|33050.7126361659829854|      1.00000000|[46, 2, 4, 8]                                                              |  | used linear model with 12 points | iterate failure | actual_k=1
       5|[10.152460530135153, -1.6512356170800397, -0.2370365282003426, 0.9569264547101476, 0.3870194950103171, 0.1791785771680512, 0.2462935807056446]|33050.7126361659829854|      0.50000000|[57, 3, 5, 10]                                                             |  | used linear model with 12 points | iterate failure | actual_k=1
       6|[10.152460530135153, -1.6512356170800397, -0.2370365282003426, 0.9569264547101476, 0.3870194950103171, 0.1791785771680512, 0.2462935807056446]|33050.7126361659829854|      0.25000000|[68, 4, 6, 12]                                                             |  | used linear model with 12 points | iterate failure | actual_k=1
       7|[10.152460530135153, -1.6512356170800397, -0.2370365282003426, 0.9569264547101476, 0.3870194950103171, 0.1791785771680512, 0.2462935807056446]|33050.7126361659829854|      0.12500000|[79, 5, 7, 14]                                                             |  | used linear model with 12 points | iterate failure | actual_k=1
       8|[10.126482661473979, -1.6280210945122968, -0.2239261084021142, 0.9847016512044583, 0.3673164511015318, 0.1697734632309904, 0.1323145233014419]|18638.7161939608813555|      0.25000000|[90, 6, 8, 16]                                                             |  | used linear model with 12 points | iterate success | actual_k=1
       9|[10.126482661473979, -1.6280210945122968, -0.2239261084021142, 0.9847016512044583, 0.3673164511015318, 0.1697734632309904, 0.1323145233014419]|18638.7161939608813555|      0.12500000|[101, 7, 9, 18]                                                            |  | used linear model with 12 points | iterate failure | actual_k=1
      10|[10.126482661473979, -1.6280210945122968, -0.2239261084021142, 0.9847016512044583, 0.3673164511015318, 0.1697734632309904, 0.1323145233014419]|18638.7161939608813555|      0.06250000|[113, 7, 10, 20]                                                           |  | used linear model with 12 points | iterate failure | actual_k=1
      11|[10.14346151024167, -1.6348575949571598, -0.2533087509151752, 1.012070284838894, 0.3540303434858441, 0.1712258225658138, 0.0901218798086259]|9583.6475942237957497|      0.12500000|[124, 8, 11, 22]                                                           |  | used linear model with 12 points | iterate success | actual_k=1
      12|[10.14346151024167, -1.6348575949571598, -0.2533087509151752, 1.012070284838894, 0.3540303434858441, 0.1712258225658138, 0.0901218798086259]|9583.6475942237957497|      0.06250000|[136, 8, 12, 24]                                                           |  | used linear model with 12 points | iterate failure | actual_k=1
      13|[10.14346151024167, -1.6348575949571598, -0.2533087509151752, 1.012070284838894, 0.3540303434858441, 0.1712258225658138, 0.0901218798086259]|9583.6475942237957497|      0.03125000|[147, 9, 13, 26]                                                           |  | used linear model with 12 points | iterate failure | actual_k=1
      14|[10.136538177279366, -1.6302363822591217, -0.2599809603258805, 1.0165837241325861, 0.3597705190715994, 0.1723159741858347, 0.0616921982257362]|7435.7299259804512985|      0.06250000|[159, 9, 14, 28]                                                           |  | used linear model with 12 points | iterate success | actual_k=1
      15|[10.136538177279366, -1.6302363822591217, -0.2599809603258805, 1.0165837241325861, 0.3597705190715994, 0.1723159741858347, 0.0616921982257362]|7435.7299259804512985|      0.03125000|[170, 10, 15, 30]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      16|[10.136538177279366, -1.6302363822591217, -0.2599809603258805, 1.0165837241325861, 0.3597705190715994, 0.1723159741858347, 0.0616921982257362]|7435.7299259804512985|      0.01562500|[182, 10, 16, 32]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
