k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0]                                                              |83210000.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.0, 10.0, 10.0]                                                              |83210000.0000000000000000|      0.50000000|[4, 0, 1, 2]                                                               |  | used linear model with 4 points | iterate failure | actual_k=0
       2|[9.991319280087373, 10.03504393975923, 9.501305135992007]                       |53179936.9798515513539314|      1.00000000|[8, 0, 2, 4]                                                               |  | used linear model with 4 points | iterate success | actual_k=0
       3|[10.204396485205784, 9.752305412740034, 8.566074132443717]                      |21853450.1778839193284512|      2.00000000|[12, 0, 3, 6]                                                              |  | used linear model with 4 points | iterate success | actual_k=0
       4|[10.651558044384442, 10.382905186736446, 6.7215171490386005]                    |2870712.0337617169134319|      4.00000000|[16, 0, 4, 8]                                                              |  | used linear model with 4 points | iterate success | actual_k=0
       5|[10.651558044384442, 10.382905186736446, 6.7215171490386005]                    |2870712.0337617169134319|      2.00000000|[20, 0, 5, 10]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       6|[10.651558044384442, 10.382905186736446, 6.7215171490386005]                    |2870712.0337617169134319|      1.00000000|[24, 0, 6, 12]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       7|[10.46753545620538, 10.164280951359052, 5.763217023427876]                      |1516615.4457491345237941|      2.00000000|[28, 0, 7, 14]                                                             |  | used linear model with 4 points | iterate success | actual_k=0
       8|[10.46753545620538, 10.164280951359052, 5.763217023427876]                      |1516615.4457491345237941|      1.00000000|[32, 0, 8, 16]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       9|[10.46753545620538, 10.164280951359052, 5.763217023427876]                      |1516615.4457491345237941|      0.50000000|[36, 0, 9, 18]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
      10|[10.281205717625078, 9.804172494997113, 5.470636900765351]                      |1248942.9596361853182316|      1.00000000|[40, 0, 10, 20]                                                            |  | used linear model with 4 points | iterate success | actual_k=0
      11|[9.410089227389848, 9.370835649115845, 5.239606083682588]                       |884910.3422673004679382|      2.00000000|[44, 0, 11, 22]                                                            |  | used linear model with 4 points | iterate success | actual_k=0
      12|[9.410089227389848, 9.370835649115845, 5.239606083682588]                       |884910.3422673004679382|      1.00000000|[48, 0, 12, 24]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      13|[8.961780900827344, 8.613293599926752, 4.7651066758377345]                      |588151.8556320735951886|      2.00000000|[52, 0, 13, 26]                                                            |  | used linear model with 4 points | iterate success | actual_k=0
      14|[8.961780900827344, 8.613293599926752, 4.7651066758377345]                      |588151.8556320735951886|      1.00000000|[56, 0, 14, 28]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      15|[8.418331947672364, 8.008927557347333, 4.1825219850917055]                      |400516.2499093722435646|      2.00000000|[60, 0, 15, 30]                                                            |  | used linear model with 4 points | iterate success | actual_k=0
