k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9758212144986672, 0.0002923495682956]                                        |  2.0495271682739258|      2.00000000|[7, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       2|[0.9758212144986672, 0.0002923495682956]                                        |  2.0495271682739258|      1.00000000|[13, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.9758212144986672, 0.0002923495682956]                                        |  2.0495271682739258|      0.50000000|[19, 0, 0, 6]                                                              |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[1.4156583522660013, -0.2374959853866366]                                       |  0.9421271085739136|      1.00000000|[25, 0, 0, 8]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       5|[2.0459746751481953, -1.0138343994228542]                                       |  0.0044776191934943|      2.00000000|[31, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       6|[2.0459746751481953, -1.0138343994228542]                                       |  0.0044776191934943|      1.00000000|[37, 0, 0, 12]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[2.0459746751481953, -1.0138343994228542]                                       |  0.0044776191934943|      0.50000000|[43, 0, 0, 14]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[2.0459746751481953, -1.0138343994228542]                                       |  0.0044776191934943|      0.25000000|[49, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[2.0459746751481953, -1.0138343994228542]                                       |  0.0044776191934943|      0.12500000|[55, 0, 0, 18]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[2.0459746751481953, -1.0138343994228542]                                       |  0.0044776191934943|      0.06250000|[61, 0, 0, 20]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
