k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9749180554100172, 2.0009531616919154, -7.9642745059907485]                   | 40.9568294440756517|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[1.327019200953596, 0.2013141459744983, -7.3798718301740625]                    |  2.8182203133241872|      4.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[1.327019200953596, 0.2013141459744983, -7.3798718301740625]                    |  2.8182203133241872|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[1.327019200953596, 0.2013141459744983, -7.3798718301740625]                    |  2.8182203133241872|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.7444992107122583, -0.6023632440608372, -7.258327131749065]                   |  1.6102416768295562|      2.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[0.7444992107122583, -0.6023632440608372, -7.258327131749065]                   |  1.6102416768295562|      1.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.0002979499562983, -0.075537477783881, -6.847694576444524]                    |  1.0027538621809180|      2.00000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[0.0002979499562983, -0.075537477783881, -6.847694576444524]                    |  1.0027538621809180|      1.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.0002979499562983, -0.075537477783881, -6.847694576444524]                    |  1.0027538621809180|      0.50000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.0002979499562983, -0.075537477783881, -6.847694576444524]                    |  1.0027538621809180|      0.25000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.0002979499562983, -0.075537477783881, -6.847694576444524]                    |  1.0027538621809180|      0.12500000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.0002979499562983, -0.075537477783881, -6.847694576444524]                    |  1.0027538621809180|      0.06250000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[0.0009261913928256, -0.0141348555246289, -6.85933817092325]                    |  0.9980969287157089|      0.12500000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[0.0009261913928256, -0.0141348555246289, -6.85933817092325]                    |  0.9980969287157089|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[0.0009261913928256, -0.0141348555246289, -6.85933817092325]                    |  0.9980969287157089|      0.03125000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
