k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.324733810099088, -1.31841576894607, 0.2107512166512127, -0.3459202960627843, -0.4323615350488301, -0.2105536334950622, 0.6758016196738681]|59002.2674371870452887|      2.00000000|[35, 5, 1, 4]                                                              |  | used quadratic model with 40 points | iterate success | actual_k=2
       2|[9.86558504107901, -1.431862275089151, 0.9596345402078466, 1.0022254462889788, -1.5781570450892628, -0.4386998187048951, 0.8577111866961787]|47953.3008353699551662|      4.00000000|[70, 10, 2, 8]                                                             |  | used quadratic model with 40 points | iterate success | actual_k=2
       3|[9.86558504107901, -1.431862275089151, 0.9596345402078466, 1.0022254462889788, -1.5781570450892628, -0.4386998187048951, 0.8577111866961787]|47953.3008353699551662|      2.00000000|[104, 16, 3, 12]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=2
       4|[9.86558504107901, -1.431862275089151, 0.9596345402078466, 1.0022254462889788, -1.5781570450892628, -0.4386998187048951, 0.8577111866961787]|47953.3008353699551662|      1.00000000|[140, 20, 4, 16]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=2
       5|[9.86558504107901, -1.431862275089151, 0.9596345402078466, 1.0022254462889788, -1.5781570450892628, -0.4386998187048951, 0.8577111866961787]|47953.3008353699551662|      0.50000000|[175, 25, 5, 20]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=2
       6|[9.857439140891637, -1.4546804110650662, 0.9829369817820762, 1.3003029196179967, -1.5724135811577085, -0.4347835747756449, 0.4577468523527978]|38276.9486321568765561|      1.00000000|[211, 29, 6, 24]                                                           |  | used quadratic model with 40 points | iterate success | actual_k=2
       7|[9.857439140891637, -1.4546804110650662, 0.9829369817820762, 1.3003029196179967, -1.5724135811577085, -0.4347835747756449, 0.4577468523527978]|38276.9486321568765561|      0.50000000|[247, 33, 7, 28]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=2
       8|[9.857439140891637, -1.4546804110650662, 0.9829369817820762, 1.3003029196179967, -1.5724135811577085, -0.4347835747756449, 0.4577468523527978]|38276.9486321568765561|      0.25000000|[282, 38, 8, 32]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=2
       9|[9.843951120577389, -1.459897699887199, 0.9811839787527806, 1.3804132566310388, -1.5977928867541957, -0.416223272355971, 0.2234788005170527]|23044.9480645288276719|      0.50000000|[317, 43, 9, 36]                                                           |  | used quadratic model with 40 points | iterate success | actual_k=2
      10|[9.843951120577389, -1.459897699887199, 0.9811839787527806, 1.3804132566310388, -1.5977928867541957, -0.416223272355971, 0.2234788005170527]|23044.9480645288276719|      0.25000000|[353, 47, 10, 40]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=2
      11|[9.843951120577389, -1.459897699887199, 0.9811839787527806, 1.3804132566310388, -1.5977928867541957, -0.416223272355971, 0.2234788005170527]|23044.9480645288276719|      0.12500000|[387, 53, 11, 44]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=2
      12|[9.845992878037869, -1.4578826336144293, 0.9813153248909867, 1.3974838812997867, -1.597356477798885, -0.4117697524818049, 0.0997641168131618]|10515.8600629118736833|      0.25000000|[423, 57, 12, 48]                                                          |  | used quadratic model with 40 points | iterate success | actual_k=2
      13|[9.845992878037869, -1.4578826336144293, 0.9813153248909867, 1.3974838812997867, -1.597356477798885, -0.4117697524818049, 0.0997641168131618]|10515.8600629118736833|      0.12500000|[458, 62, 13, 52]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=2
      14|[9.845992878037869, -1.4578826336144293, 0.9813153248909867, 1.3974838812997867, -1.597356477798885, -0.4117697524818049, 0.0997641168131618]|10515.8600629118736833|      0.06250000|[494, 66, 14, 56]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=2
      15|[9.845992878037869, -1.4578826336144293, 0.9813153248909867, 1.3974838812997867, -1.597356477798885, -0.4117697524818049, 0.0997641168131618]|10515.8600629118736833|      0.03125000|[529, 71, 15, 60]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=2
      16|[9.845992878037869, -1.4578826336144293, 0.9813153248909867, 1.3974838812997867, -1.597356477798885, -0.4117697524818049, 0.0997641168131618]|10515.8600629118736833|      0.01562500|[564, 76, 16, 64]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=2
      17|[9.847364102513117, -1.4588646565112957, 0.98140292699756, 1.3967975580210743, -1.5966854419399394, -0.4109781986126724, 0.11524767063794]|10336.7286212011076714|      0.03125000|[599, 81, 17, 68]                                                          |  | used quadratic model with 40 points | iterate success | actual_k=2
      18|[9.847364102513117, -1.4588646565112957, 0.98140292699756, 1.3967975580210743, -1.5966854419399394, -0.4109781986126724, 0.11524767063794]|10336.7286212011076714|      0.01562500|[633, 87, 18, 72]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=2
