k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.50000000|[4, 0, 1, 2]                                                               |  | used linear model with 4 points | iterate failure | actual_k=0
       2|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.25000000|[8, 0, 2, 4]                                                               |  | used linear model with 4 points | iterate failure | actual_k=0
       3|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.12500000|[12, 0, 3, 6]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       4|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.06250000|[16, 0, 4, 8]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       5|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.03125000|[20, 0, 5, 10]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       6|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.01562500|[24, 0, 6, 12]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       7|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.00781250|[28, 0, 7, 14]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       8|[0.100486104371919, 0.0040650853541886, 0.0149427629147394]                     |2770.9533027675306585|      0.01562500|[32, 0, 8, 16]                                                             |  | used linear model with 4 points | iterate success | actual_k=0
       9|[0.100486104371919, 0.0040650853541886, 0.0149427629147394]                     |2770.9533027675306585|      0.00781250|[36, 0, 9, 18]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
      10|[0.100486104371919, 0.0040650853541886, 0.0149427629147394]                     |2770.9533027675306585|      0.00390625|[40, 0, 10, 20]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      11|[0.100486104371919, 0.0040650853541886, 0.0149427629147394]                     |2770.9533027675306585|      0.00195312|[44, 0, 11, 22]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      12|[0.100486104371919, 0.0040650853541886, 0.0149427629147394]                     |2770.9533027675306585|      0.00097656|[48, 0, 12, 24]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      13|[0.100486104371919, 0.0040650853541886, 0.0149427629147394]                     |2770.9533027675306585|      0.00048828|[52, 0, 13, 26]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      14|[0.100486104371919, 0.0040650853541886, 0.0149427629147394]                     |2770.9533027675306585|      0.00024414|[56, 0, 14, 28]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      15|[0.1004396846775846, 0.0042251165918627, 0.0147643256436277]                    |2716.4999965891770444|      0.00048828|[60, 0, 15, 30]                                                            |  | used linear model with 4 points | iterate success | actual_k=0
