k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5803854753441746, 0.138220990407873, 0.1381802043363657, 0.7309650402379414, 0.0037012692715353, -0.0176088470890488, 0.0841664253023148, 0.1177068054076036, -0.1662112197756512, 0.0523990105708139, 0.0698527362983642, -0.0044850406535593, 0.0004102470544449, -0.0377320285015937, -0.0213043493685831, 0.0415329949165521, -0.0249948250235518, -0.0490794661008091, -0.1204370439641889, 0.0726190018366829, -0.0806848221027591, 0.0344250861262151]| 13.2222023010253906|      2.00000000|[31, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       2|[1.8983703976247877, 0.0927989816228826, -0.0654211816808758, 1.7601581176085346, -0.2371899015505865, 0.0242373366078123, 0.0369298892617357, 0.1752001381500912, 0.1557785680812702, 0.3735399940908014, -0.4529454166416224, -0.1442248232241633, 0.2813262359504976, 0.1430341056765024, -0.1821204389474994, -0.2344508955795665, -0.084651895694697, -0.3544066194484212, -0.2091807845342741, 0.2978614781095427, 0.3189346890456566, 0.2922662040666196]| 12.1474390029907227|      4.00000000|[61, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       3|[1.8983703976247877, 0.0927989816228826, -0.0654211816808758, 1.7601581176085346, -0.2371899015505865, 0.0242373366078123, 0.0369298892617357, 0.1752001381500912, 0.1557785680812702, 0.3735399940908014, -0.4529454166416224, -0.1442248232241633, 0.2813262359504976, 0.1430341056765024, -0.1821204389474994, -0.2344508955795665, -0.084651895694697, -0.3544066194484212, -0.2091807845342741, 0.2978614781095427, 0.3189346890456566, 0.2922662040666196]| 12.1474390029907227|      2.00000000|[91, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       4|[1.8983703976247877, 0.0927989816228826, -0.0654211816808758, 1.7601581176085346, -0.2371899015505865, 0.0242373366078123, 0.0369298892617357, 0.1752001381500912, 0.1557785680812702, 0.3735399940908014, -0.4529454166416224, -0.1442248232241633, 0.2813262359504976, 0.1430341056765024, -0.1821204389474994, -0.2344508955795665, -0.084651895694697, -0.3544066194484212, -0.2091807845342741, 0.2978614781095427, 0.3189346890456566, 0.2922662040666196]| 12.1474390029907227|      1.00000000|[121, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       5|[1.8983703976247877, 0.0927989816228826, -0.0654211816808758, 1.7601581176085346, -0.2371899015505865, 0.0242373366078123, 0.0369298892617357, 0.1752001381500912, 0.1557785680812702, 0.3735399940908014, -0.4529454166416224, -0.1442248232241633, 0.2813262359504976, 0.1430341056765024, -0.1821204389474994, -0.2344508955795665, -0.084651895694697, -0.3544066194484212, -0.2091807845342741, 0.2978614781095427, 0.3189346890456566, 0.2922662040666196]| 12.1474390029907227|      0.50000000|[151, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       6|[1.8983703976247877, 0.0927989816228826, -0.0654211816808758, 1.7601581176085346, -0.2371899015505865, 0.0242373366078123, 0.0369298892617357, 0.1752001381500912, 0.1557785680812702, 0.3735399940908014, -0.4529454166416224, -0.1442248232241633, 0.2813262359504976, 0.1430341056765024, -0.1821204389474994, -0.2344508955795665, -0.084651895694697, -0.3544066194484212, -0.2091807845342741, 0.2978614781095427, 0.3189346890456566, 0.2922662040666196]| 12.1474390029907227|      0.25000000|[181, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       7|[1.8983703976247877, 0.0927989816228826, -0.0654211816808758, 1.7601581176085346, -0.2371899015505865, 0.0242373366078123, 0.0369298892617357, 0.1752001381500912, 0.1557785680812702, 0.3735399940908014, -0.4529454166416224, -0.1442248232241633, 0.2813262359504976, 0.1430341056765024, -0.1821204389474994, -0.2344508955795665, -0.084651895694697, -0.3544066194484212, -0.2091807845342741, 0.2978614781095427, 0.3189346890456566, 0.2922662040666196]| 12.1474390029907227|      0.12500000|[211, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       8|[1.8983703976247877, 0.0927989816228826, -0.0654211816808758, 1.7601581176085346, -0.2371899015505865, 0.0242373366078123, 0.0369298892617357, 0.1752001381500912, 0.1557785680812702, 0.3735399940908014, -0.4529454166416224, -0.1442248232241633, 0.2813262359504976, 0.1430341056765024, -0.1821204389474994, -0.2344508955795665, -0.084651895694697, -0.3544066194484212, -0.2091807845342741, 0.2978614781095427, 0.3189346890456566, 0.2922662040666196]| 12.1474390029907227|      0.06250000|[241, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       9|[1.8632676197645948, 0.088424390534373, -0.0711324187010301, 1.7177896096335796, -0.2319315824983176, 0.0233995450226615, 0.0444014662114878, 0.1866565260375804, 0.1508738334719972, 0.3766383617180361, -0.4527658841394926, -0.144791835387632, 0.2851189733106436, 0.1290685406926295, -0.1698614242455901, -0.2319178829461482, -0.0766099620953734, -0.3452405767396822, -0.2123988867004937, 0.2917617421304699, 0.3222602326863228, 0.2901849994403027]| 12.1455440521240234|      0.12500000|[271, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      10|[1.8632676197645948, 0.088424390534373, -0.0711324187010301, 1.7177896096335796, -0.2319315824983176, 0.0233995450226615, 0.0444014662114878, 0.1866565260375804, 0.1508738334719972, 0.3766383617180361, -0.4527658841394926, -0.144791835387632, 0.2851189733106436, 0.1290685406926295, -0.1698614242455901, -0.2319178829461482, -0.0766099620953734, -0.3452405767396822, -0.2123988867004937, 0.2917617421304699, 0.3222602326863228, 0.2901849994403027]| 12.1455440521240234|      0.06250000|[301, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      11|[1.8632676197645948, 0.088424390534373, -0.0711324187010301, 1.7177896096335796, -0.2319315824983176, 0.0233995450226615, 0.0444014662114878, 0.1866565260375804, 0.1508738334719972, 0.3766383617180361, -0.4527658841394926, -0.144791835387632, 0.2851189733106436, 0.1290685406926295, -0.1698614242455901, -0.2319178829461482, -0.0766099620953734, -0.3452405767396822, -0.2123988867004937, 0.2917617421304699, 0.3222602326863228, 0.2901849994403027]| 12.1455440521240234|      0.03125000|[331, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
