k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.94711275488249, -1.3766755812392752, 0.0248551835665404, 0.0102672252373405, -0.8151714533936233, 0.3759723068741118, -0.3584545934244221]|55704.2046984063272248|      2.00000000|[36, 0, 1, 4]                                                              |  | used quadratic model with 36 points | iterate success | actual_k=0
       2|[10.552689864182618, -0.6845897666041733, 1.0093772968844739, -1.433483253878647, -0.5012227289914298, 0.4205760677109018, -0.3520471541259239]|32078.4508388503054448|      4.00000000|[72, 0, 2, 8]                                                              |  | used quadratic model with 36 points | iterate success | actual_k=0
       3|[10.552689864182618, -0.6845897666041733, 1.0093772968844739, -1.433483253878647, -0.5012227289914298, 0.4205760677109018, -0.3520471541259239]|32078.4508388503054448|      2.00000000|[108, 0, 3, 12]                                                            |  | used quadratic model with 36 points | iterate failure | actual_k=0
       4|[10.552689864182618, -0.6845897666041733, 1.0093772968844739, -1.433483253878647, -0.5012227289914298, 0.4205760677109018, -0.3520471541259239]|32078.4508388503054448|      1.00000000|[144, 0, 4, 16]                                                            |  | used quadratic model with 36 points | iterate failure | actual_k=0
       5|[10.552689864182618, -0.6845897666041733, 1.0093772968844739, -1.433483253878647, -0.5012227289914298, 0.4205760677109018, -0.3520471541259239]|32078.4508388503054448|      0.50000000|[180, 0, 5, 20]                                                            |  | used quadratic model with 36 points | iterate failure | actual_k=0
       6|[10.552689864182618, -0.6845897666041733, 1.0093772968844739, -1.433483253878647, -0.5012227289914298, 0.4205760677109018, -0.3520471541259239]|32078.4508388503054448|      0.25000000|[216, 0, 6, 24]                                                            |  | used quadratic model with 36 points | iterate failure | actual_k=0
       7|[10.544970892976243, -0.6742022360965694, 0.9996192092370169, -1.4839410401478137, -0.4872329259818758, 0.4230705016299148, -0.1081427231802644]|9162.6617171500565746|      0.50000000|[252, 0, 7, 28]                                                            |  | used quadratic model with 36 points | iterate success | actual_k=0
       8|[10.544970892976243, -0.6742022360965694, 0.9996192092370169, -1.4839410401478137, -0.4872329259818758, 0.4230705016299148, -0.1081427231802644]|9162.6617171500565746|      0.25000000|[288, 0, 8, 32]                                                            |  | used quadratic model with 36 points | iterate failure | actual_k=0
       9|[10.544970892976243, -0.6742022360965694, 0.9996192092370169, -1.4839410401478137, -0.4872329259818758, 0.4230705016299148, -0.1081427231802644]|9162.6617171500565746|      0.12500000|[324, 0, 9, 36]                                                            |  | used quadratic model with 36 points | iterate failure | actual_k=0
      10|[10.544970892976243, -0.6742022360965694, 0.9996192092370169, -1.4839410401478137, -0.4872329259818758, 0.4230705016299148, -0.1081427231802644]|9162.6617171500565746|      0.06250000|[360, 0, 10, 40]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=0
      11|[10.544970892976243, -0.6742022360965694, 0.9996192092370169, -1.4839410401478137, -0.4872329259818758, 0.4230705016299148, -0.1081427231802644]|9162.6617171500565746|      0.03125000|[396, 0, 11, 44]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=0
      12|[10.544970892976243, -0.6742022360965694, 0.9996192092370169, -1.4839410401478137, -0.4872329259818758, 0.4230705016299148, -0.1081427231802644]|9162.6617171500565746|      0.01562500|[432, 0, 12, 48]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=0
      13|[10.544970892976243, -0.6742022360965694, 0.9996192092370169, -1.4839410401478137, -0.4872329259818758, 0.4230705016299148, -0.1081427231802644]|9162.6617171500565746|      0.00781250|[468, 0, 13, 52]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=0
      14|[10.544970892976243, -0.6742022360965694, 0.9996192092370169, -1.4839410401478137, -0.4872329259818758, 0.4230705016299148, -0.1081427231802644]|9162.6617171500565746|      0.00390625|[504, 0, 14, 56]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=0
      15|[10.544922624673958, -0.6740543054275684, 0.9994837320229558, -1.484174854959073, -0.4873948958288111, 0.4221555023497154, -0.1119240052902223]|9133.7321859321782540|      0.00781250|[540, 0, 15, 60]                                                           |  | used quadratic model with 36 points | iterate success | actual_k=0
      16|[10.544922624673958, -0.6740543054275684, 0.9994837320229558, -1.484174854959073, -0.4873948958288111, 0.4221555023497154, -0.1119240052902223]|9133.7321859321782540|      0.00390625|[576, 0, 16, 64]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=0
      17|[10.544922624673958, -0.6740543054275684, 0.9994837320229558, -1.484174854959073, -0.4873948958288111, 0.4221555023497154, -0.1119240052902223]|9133.7321859321782540|      0.00195312|[612, 0, 17, 68]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=0
      18|[10.544887267464526, -0.6741259749092045, 0.9995063129954814, -1.484514792219378, -0.4872845174907342, 0.4212131817668107, -0.1102530498991296]|9125.4205639736956073|      0.00390625|[648, 0, 18, 72]                                                           |  | used quadratic model with 36 points | iterate success | actual_k=0
