k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      0.50000000|[10, 2, 1, 2]                                                              |  | used linear model with 12 points | iterate failure | actual_k=4
       2|[10.002166546748052, -1.154817100034956, -0.0535052966232378, -0.2641454952163322, -0.1653745575388768, 0.1667364735755859, -0.3236770697814266]|50177.0608506800199393|      1.00000000|[19, 5, 2, 4]                                                              |  | used linear model with 12 points | iterate success | actual_k=4
       3|[10.002166546748052, -1.154817100034956, -0.0535052966232378, -0.2641454952163322, -0.1653745575388768, 0.1667364735755859, -0.3236770697814266]|50177.0608506800199393|      0.50000000|[29, 7, 3, 6]                                                              |  | used linear model with 12 points | iterate failure | actual_k=4
       4|[10.002166546748052, -1.154817100034956, -0.0535052966232378, -0.2641454952163322, -0.1653745575388768, 0.1667364735755859, -0.3236770697814266]|50177.0608506800199393|      0.25000000|[40, 8, 4, 8]                                                              |  | used linear model with 12 points | iterate failure | actual_k=4
       5|[10.054897103949362, -1.128068266938236, -0.0683097540099874, -0.3555571223603056, -0.1844391316675091, 0.1112782462251606, -0.1069060898002015]|35746.2421595373889431|      0.50000000|[50, 10, 5, 10]                                                            |  | used linear model with 12 points | iterate success | actual_k=4
       6|[10.054897103949362, -1.128068266938236, -0.0683097540099874, -0.3555571223603056, -0.1844391316675091, 0.1112782462251606, -0.1069060898002015]|35746.2421595373889431|      0.25000000|[59, 13, 6, 12]                                                            |  | used linear model with 12 points | iterate failure | actual_k=4
       7|[10.054897103949362, -1.128068266938236, -0.0683097540099874, -0.3555571223603056, -0.1844391316675091, 0.1112782462251606, -0.1069060898002015]|35746.2421595373889431|      0.12500000|[68, 16, 7, 14]                                                            |  | used linear model with 12 points | iterate failure | actual_k=4
       8|[9.985655410604762, -1.1363422973508837, -0.0507159164102165, -0.3522866533246844, -0.1797399534079216, 0.0564633374602678, -0.0207949248151423]|11468.5243386067904794|      0.25000000|[78, 18, 8, 16]                                                            |  | used linear model with 12 points | iterate success | actual_k=4
       9|[9.985655410604762, -1.1363422973508837, -0.0507159164102165, -0.3522866533246844, -0.1797399534079216, 0.0564633374602678, -0.0207949248151423]|11468.5243386067904794|      0.12500000|[88, 20, 9, 18]                                                            |  | used linear model with 12 points | iterate failure | actual_k=4
      10|[9.985655410604762, -1.1363422973508837, -0.0507159164102165, -0.3522866533246844, -0.1797399534079216, 0.0564633374602678, -0.0207949248151423]|11468.5243386067904794|      0.06250000|[97, 23, 10, 20]                                                           |  | used linear model with 12 points | iterate failure | actual_k=4
      11|[9.985655410604762, -1.1363422973508837, -0.0507159164102165, -0.3522866533246844, -0.1797399534079216, 0.0564633374602678, -0.0207949248151423]|11468.5243386067904794|      0.03125000|[108, 24, 11, 22]                                                          |  | used linear model with 12 points | iterate failure | actual_k=4
