k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.359590588586732, -0.9324901020248233, 0.3655842862602264, -0.5243354759507874, -0.2170934818127307, -0.3248632547661097, 0.2769474798879272]|69091.3515625000000000|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[9.879327895667005, -1.7130004920876518, -0.0789954193303907, -0.9423058820105943, -0.9397072204344019, 0.2814371314115257, -1.0863410127445523]|49860.2929687500000000|      4.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[9.879327895667005, -1.7130004920876518, -0.0789954193303907, -0.9423058820105943, -0.9397072204344019, 0.2814371314115257, -1.0863410127445523]|49860.2929687500000000|      2.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[9.879327895667005, -1.7130004920876518, -0.0789954193303907, -0.9423058820105943, -0.9397072204344019, 0.2814371314115257, -1.0863410127445523]|49860.2929687500000000|      1.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[9.886923504313161, -2.1378116029145797, 0.1572532140504126, -1.5558267380459254, -0.8096683320505713, 0.5032949578401216, -0.5196615957520697]|37496.5156250000000000|      2.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[9.886923504313161, -2.1378116029145797, 0.1572532140504126, -1.5558267380459254, -0.8096683320505713, 0.5032949578401216, -0.5196615957520697]|37496.5156250000000000|      1.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[9.886923504313161, -2.1378116029145797, 0.1572532140504126, -1.5558267380459254, -0.8096683320505713, 0.5032949578401216, -0.5196615957520697]|37496.5156250000000000|      0.50000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[9.872002553745324, -2.1492554061506874, -0.1705576549604056, -1.595852355219821, -1.019719282723597, 0.3841169345634213, -0.2328522764838794]|20597.2031250000000000|      1.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[9.872002553745324, -2.1492554061506874, -0.1705576549604056, -1.595852355219821, -1.019719282723597, 0.3841169345634213, -0.2328522764838794]|20597.2031250000000000|      0.50000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[9.998469383912246, -2.0451867165726676, -0.15492271279553, -1.6721448445927787, -0.8041310935351427, -0.0044490154578497, -0.0926770699303198]|11149.1835937500000000|      1.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[9.998469383912246, -2.0451867165726676, -0.15492271279553, -1.6721448445927787, -0.8041310935351427, -0.0044490154578497, -0.0926770699303198]|11149.1835937500000000|      0.50000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[9.998469383912246, -2.0451867165726676, -0.15492271279553, -1.6721448445927787, -0.8041310935351427, -0.0044490154578497, -0.0926770699303198]|11149.1835937500000000|      0.25000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[9.998469383912246, -2.0451867165726676, -0.15492271279553, -1.6721448445927787, -0.8041310935351427, -0.0044490154578497, -0.0926770699303198]|11149.1835937500000000|      0.12500000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[9.998469383912246, -2.0451867165726676, -0.15492271279553, -1.6721448445927787, -0.8041310935351427, -0.0044490154578497, -0.0926770699303198]|11149.1835937500000000|      0.06250000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[9.998469383912246, -2.0451867165726676, -0.15492271279553, -1.6721448445927787, -0.8041310935351427, -0.0044490154578497, -0.0926770699303198]|11149.1835937500000000|      0.03125000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      16|[10.004582077663347, -2.0512485280642254, -0.1401875775633415, -1.6621838291493258, -0.8038293935515155, -0.0127921104981297, -0.1154016737737142]|7743.1840820312500000|      0.06250000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      17|[10.004582077663347, -2.0512485280642254, -0.1401875775633415, -1.6621838291493258, -0.8038293935515155, -0.0127921104981297, -0.1154016737737142]|7743.1840820312500000|      0.03125000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
