k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.78293853977701, -1.0229499466636687, 0.3931866898872442, -0.1533485618255384, 0.0948514990364443, -0.8190162768928767, 0.3430137994375029]|58554.9801836190599715|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[10.378639818815339, -1.8379186691875393, 0.8152811980651481, 0.53351756982987, 1.585098511548834, -1.0694840515542527, 0.1251908291961284]|30943.1024959171591036|      4.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       3|[10.378639818815339, -1.8379186691875393, 0.8152811980651481, 0.53351756982987, 1.585098511548834, -1.0694840515542527, 0.1251908291961284]|30943.1024959171591036|      2.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[10.378639818815339, -1.8379186691875393, 0.8152811980651481, 0.53351756982987, 1.585098511548834, -1.0694840515542527, 0.1251908291961284]|30943.1024959171591036|      1.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[10.378639818815339, -1.8379186691875393, 0.8152811980651481, 0.53351756982987, 1.585098511548834, -1.0694840515542527, 0.1251908291961284]|30943.1024959171591036|      0.50000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[10.378639818815339, -1.8379186691875393, 0.8152811980651481, 0.53351756982987, 1.585098511548834, -1.0694840515542527, 0.1251908291961284]|30943.1024959171591036|      0.25000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[10.378639818815339, -1.8379186691875393, 0.8152811980651481, 0.53351756982987, 1.585098511548834, -1.0694840515542527, 0.1251908291961284]|30943.1024959171591036|      0.12500000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[10.378639818815339, -1.8379186691875393, 0.8152811980651481, 0.53351756982987, 1.585098511548834, -1.0694840515542527, 0.1251908291961284]|30943.1024959171591036|      0.06250000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[10.378639818815339, -1.8379186691875393, 0.8152811980651481, 0.53351756982987, 1.585098511548834, -1.0694840515542527, 0.1251908291961284]|30943.1024959171591036|      0.03125000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[10.378632693445066, -1.8381020275976958, 0.8153924337134341, 0.5402676435610005, 1.585642757747325, -1.0696887110539177, 0.0946848482949674]|25564.6593106214095314|      0.06250000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      11|[10.378632693445066, -1.8381020275976958, 0.8153924337134341, 0.5402676435610005, 1.585642757747325, -1.0696887110539177, 0.0946848482949674]|25564.6593106214095314|      0.03125000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[10.378632693445066, -1.8381020275976958, 0.8153924337134341, 0.5402676435610005, 1.585642757747325, -1.0696887110539177, 0.0946848482949674]|25564.6593106214095314|      0.01562500|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[10.378566428186348, -1.8384526996950008, 0.8151224582067493, 0.5437410745791099, 1.5858607114366057, -1.0694660658599378, 0.0794605723354739]|24675.2375294791454508|      0.03125000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      14|[10.378566428186348, -1.8384526996950008, 0.8151224582067493, 0.5437410745791099, 1.5858607114366057, -1.0694660658599378, 0.0794605723354739]|24675.2375294791454508|      0.01562500|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      15|[10.378566428186348, -1.8384526996950008, 0.8151224582067493, 0.5437410745791099, 1.5858607114366057, -1.0694660658599378, 0.0794605723354739]|24675.2375294791454508|      0.00781250|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      16|[10.378566428186348, -1.8384526996950008, 0.8151224582067493, 0.5437410745791099, 1.5858607114366057, -1.0694660658599378, 0.0794605723354739]|24675.2375294791454508|      0.00390625|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      17|[10.378566428186348, -1.8384526996950008, 0.8151224582067493, 0.5437410745791099, 1.5858607114366057, -1.0694660658599378, 0.0794605723354739]|24675.2375294791454508|      0.00195312|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      18|[10.378507931591315, -1.8384858983731138, 0.8151562745612091, 0.5440012300471244, 1.5857664939458487, -1.0692333932459597, 0.0813784710208949]|24315.5111801270541037|      0.00390625|[162, 0, 18, 54]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      19|[10.378467782357959, -1.8379733362227155, 0.8131234584881015, 0.544222941953076, 1.5856134307317946, -1.0685366205885298, 0.0845884615666093]|24214.5706990925464197|      0.00781250|[171, 0, 19, 57]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      20|[10.374392246565103, -1.8376128516101957, 0.8146014606777094, 0.5493018453878756, 1.5847814192171472, -1.0658131730638298, 0.0817238403102338]|24057.5432176306057954|      0.01562500|[180, 0, 20, 60]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      21|[10.374392246565103, -1.8376128516101957, 0.8146014606777094, 0.5493018453878756, 1.5847814192171472, -1.0658131730638298, 0.0817238403102338]|24057.5432176306057954|      0.00781250|[189, 0, 21, 63]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      22|[10.374870789518047, -1.8395852451094306, 0.8095903833047916, 0.5531783983163948, 1.5863235023257878, -1.0661192232809522, 0.0855061108825262]|23942.7161007044778671|      0.01562500|[198, 0, 22, 66]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      23|[10.374870789518047, -1.8395852451094306, 0.8095903833047916, 0.5531783983163948, 1.5863235023257878, -1.0661192232809522, 0.0855061108825262]|23942.7161007044778671|      0.00781250|[207, 0, 23, 69]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      24|[10.374870789518047, -1.8395852451094306, 0.8095903833047916, 0.5531783983163948, 1.5863235023257878, -1.0661192232809522, 0.0855061108825262]|23942.7161007044778671|      0.00390625|[216, 0, 24, 72]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
