k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.7499356099287017, -0.8201513896697479, 20.963873787641198]                   |1166.9923097650064392|      2.00000000|[3, 1, 1, 2]                                                               |  | used linear model with 4 points | iterate success | actual_k=1
       2|[0.7499356099287017, -0.8201513896697479, 20.963873787641198]                   |1166.9923097650064392|      1.00000000|[6, 2, 2, 4]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       3|[0.7499356099287017, -0.8201513896697479, 20.963873787641198]                   |1166.9923097650064392|      0.50000000|[10, 2, 3, 6]                                                              |  | used linear model with 4 points | iterate failure | actual_k=1
       4|[0.8818806854612311, -1.2086575098293737, 20.678123036738896]                   |531.5846726276115533|      1.00000000|[13, 3, 4, 8]                                                              |  | used linear model with 4 points | iterate success | actual_k=1
       5|[0.8818806854612311, -1.2086575098293737, 20.678123036738896]                   |531.5846726276115533|      0.50000000|[16, 4, 5, 10]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       6|[0.8818806854612311, -1.2086575098293737, 20.678123036738896]                   |531.5846726276115533|      0.25000000|[19, 5, 6, 12]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       7|[0.8818806854612311, -1.2086575098293737, 20.678123036738896]                   |531.5846726276115533|      0.12500000|[22, 6, 7, 14]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       8|[0.8590414478770236, -1.093383200625138, 20.720728234356773]                    |300.2503115697223279|      0.25000000|[25, 7, 8, 16]                                                             |  | used linear model with 4 points | iterate success | actual_k=1
       9|[0.8590414478770236, -1.093383200625138, 20.720728234356773]                    |300.2503115697223279|      0.12500000|[28, 8, 9, 18]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
      10|[0.7540625827535301, -1.1546616120516042, 20.749872602087642]                   |251.4641267853206159|      0.25000000|[31, 9, 10, 20]                                                            |  | used linear model with 4 points | iterate success | actual_k=1
      11|[0.7540625827535301, -1.1546616120516042, 20.749872602087642]                   |251.4641267853206159|      0.12500000|[34, 10, 11, 22]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
      12|[0.7540625827535301, -1.1546616120516042, 20.749872602087642]                   |251.4641267853206159|      0.06250000|[37, 11, 12, 24]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
      13|[0.7769737938918113, -1.1023622835684057, 20.77529122998892]                    |219.6196049097653997|      0.12500000|[40, 12, 13, 26]                                                           |  | used linear model with 4 points | iterate success | actual_k=1
      14|[0.7769737938918113, -1.1023622835684057, 20.77529122998892]                    |219.6196049097653997|      0.06250000|[43, 13, 14, 28]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
      15|[0.7769737938918113, -1.1023622835684057, 20.77529122998892]                    |219.6196049097653997|      0.03125000|[47, 13, 15, 30]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
