k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[0.4588524418118137, -1.0791705457992682, 19.978252474716786]                   |495.8408298173083608|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[0.4588524418118137, -1.0791705457992682, 19.978252474716786]                   |495.8408298173083608|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.4588524418118137, -1.0791705457992682, 19.978252474716786]                   |495.8408298173083608|      0.25000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.6338671593676816, -1.187758145895277, 20.119951387007]                       |410.1370276744628427|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[0.6338671593676816, -1.187758145895277, 20.119951387007]                       |410.1370276744628427|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.6338671593676816, -1.187758145895277, 20.119951387007]                       |410.1370276744628427|      0.12500000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.6338671593676816, -1.187758145895277, 20.119951387007]                       |410.1370276744628427|      0.06250000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.637805056457859, -1.1253964456817351, 20.11862424233384]                     |269.1176291415300739|      0.12500000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[0.637805056457859, -1.1253964456817351, 20.11862424233384]                     |269.1176291415300739|      0.06250000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.637805056457859, -1.1253964456817351, 20.11862424233384]                     |269.1176291415300739|      0.03125000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.6661437454055392, -1.1122259823649696, 20.118482451119856]                   |250.9194681753225211|      0.06250000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[0.6661437454055392, -1.1122259823649696, 20.118482451119856]                   |250.9194681753225211|      0.03125000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[0.6909235260434543, -1.1312442347065745, 20.117570832006496]                   |239.9779383285815584|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[0.6909235260434543, -1.1312442347065745, 20.117570832006496]                   |239.9779383285815584|      0.03125000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
