k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.50000000|[3799, 1267, 1, 81]                                                        |  | used quadratic model with 5066 points | iterate failure | actual_k=16
       2|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.25000000|[7597, 2535, 2, 162]                                                       |  | used quadratic model with 5066 points | iterate failure | actual_k=16
       3|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.12500000|[11397, 3801, 3, 243]                                                      |  | used quadratic model with 5066 points | iterate failure | actual_k=16
       4|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.06250000|[15199, 5065, 4, 324]                                                      |  | used quadratic model with 5066 points | iterate failure | actual_k=16
       5|[0.5970816495963462, 0.0171892257836743, 1.8841954986416616, 0.6547133550079774, 0.0190123954922894, 2.001367360242992, 1.296206129920958, 0.020654826209253, 2.118992246388145, -0.0209828154402173, 0.0213877079890141, 2.162655826865015, 1.2299583974621753, 0.0226836842529961, 2.2179433877795636, 0.219008141227852, 0.0191480152592023, 2.2766495397413955, 1.3342525302695414, 0.0211661934613645, 2.3906963379405375, 4.501456911496675, 0.0643564724359462, 2.487918693270838, 0.6594697547477782, 0.0204257479676599, 2.5610651634000194, 4.388157715736473, 0.0591089806737388, 2.7079048751885066, 0.2264247065350515, 0.0196473213781379, 2.9426707578514892, 0.2341105820900029, 0.0203588135062653, 2.9642948109135174, 0.7125452506785871, 0.0239480554460089, 3.130145809062181, 0.2051686258288755, 0.0244460434490247, 3.2271688500474762, -0.06660521956325, 0.0162448666315393, 3.2553885374079936, 1.3809765081342023, 0.0246993623411772, 3.3792329419921945, 0.2418584947996083, 0.0211110360048638, 3.6642766075767907, 0.0565332531138092, 0.0167519652560279, 3.7233960812217988, 0.016091266122377, 0.02499868355056, 3.8306771993059847, 0.4136098679762622, 0.0184257471432764, 3.9602584290596905, 0.2641414065258965, 0.0194308832809606, 4.0533152288734176, 0.8193009979568601, 0.0216843701625968, 4.174943302506538, 0.9678314461186349, 0.0215189186860304, 4.43274647860509, 0.7471664863126474, 0.0206694071388265, 4.556218580339108, 0.2097749574733513, 0.0186475967969734, 4.603450964422068, 0.5020893925095116, 0.0226723694543, 4.7045349264295115, 0.0483996170511162, 0.0235232749015058, 4.801321600403979, 0.3707581607289785, 0.0215033163251814, 4.967731432726049, 0.1623638933564301, 0.0194111085464752, 5.397109332434115, 0.2878786383164407, 0.0232735672198403, 5.418182560997598, 0.0974052619870748, 0.0207322558465137, 2.589284439014586, 0.0001326160823166, 0.0202329681368529, 3.8638377775196133, 0.1533129819394649, 0.0166604552455867, 5.198564913980616]|296070.1769190281629562|      0.12500000|[18998, 6332, 5, 405]                                                      |  | used quadratic model with 5066 points | iterate success | actual_k=16
       6|[0.5970816495963462, 0.0171892257836743, 1.8841954986416616, 0.6547133550079774, 0.0190123954922894, 2.001367360242992, 1.296206129920958, 0.020654826209253, 2.118992246388145, -0.0209828154402173, 0.0213877079890141, 2.162655826865015, 1.2299583974621753, 0.0226836842529961, 2.2179433877795636, 0.219008141227852, 0.0191480152592023, 2.2766495397413955, 1.3342525302695414, 0.0211661934613645, 2.3906963379405375, 4.501456911496675, 0.0643564724359462, 2.487918693270838, 0.6594697547477782, 0.0204257479676599, 2.5610651634000194, 4.388157715736473, 0.0591089806737388, 2.7079048751885066, 0.2264247065350515, 0.0196473213781379, 2.9426707578514892, 0.2341105820900029, 0.0203588135062653, 2.9642948109135174, 0.7125452506785871, 0.0239480554460089, 3.130145809062181, 0.2051686258288755, 0.0244460434490247, 3.2271688500474762, -0.06660521956325, 0.0162448666315393, 3.2553885374079936, 1.3809765081342023, 0.0246993623411772, 3.3792329419921945, 0.2418584947996083, 0.0211110360048638, 3.6642766075767907, 0.0565332531138092, 0.0167519652560279, 3.7233960812217988, 0.016091266122377, 0.02499868355056, 3.8306771993059847, 0.4136098679762622, 0.0184257471432764, 3.9602584290596905, 0.2641414065258965, 0.0194308832809606, 4.0533152288734176, 0.8193009979568601, 0.0216843701625968, 4.174943302506538, 0.9678314461186349, 0.0215189186860304, 4.43274647860509, 0.7471664863126474, 0.0206694071388265, 4.556218580339108, 0.2097749574733513, 0.0186475967969734, 4.603450964422068, 0.5020893925095116, 0.0226723694543, 4.7045349264295115, 0.0483996170511162, 0.0235232749015058, 4.801321600403979, 0.3707581607289785, 0.0215033163251814, 4.967731432726049, 0.1623638933564301, 0.0194111085464752, 5.397109332434115, 0.2878786383164407, 0.0232735672198403, 5.418182560997598, 0.0974052619870748, 0.0207322558465137, 2.589284439014586, 0.0001326160823166, 0.0202329681368529, 3.8638377775196133, 0.1533129819394649, 0.0166604552455867, 5.198564913980616]|296070.1769190281629562|      0.06250000|[22795, 7601, 6, 486]                                                      |  | used quadratic model with 5066 points | iterate failure | actual_k=16
       7|[0.5922093333066029, 0.0327102921935898, 1.8836861883801348, 0.6526448906273343, 0.0382526252864528, 2.000851343566693, 1.2881154571022813, 0.046850711473295, 2.121828975950672, -0.0209545911719986, 0.0221779328728984, 2.158259321677569, 1.2253844717621363, 0.0354889981028605, 2.2218920399121562, 0.2181379842996155, 0.0186122949523643, 2.282009159472994, 1.3345822050371965, 0.044690752373814, 2.3857057538797277, 4.501002203299659, 0.0802114113922135, 2.4824074628140695, 0.6608584565887147, 0.0253970033502715, 2.560902038012067, 4.383655824071974, 0.0755771387060363, 2.7124538139472802, 0.2249642068051885, 0.01896132630585, 2.941133969791586, 0.235306036114348, 0.0227749845802599, 2.960707757691608, 0.7102549126863805, 0.0296532200430248, 3.1290300749388713, 0.204372992133122, 0.023612356720673, 3.224207571576343, -0.0635900882861845, 0.0199422777447613, 3.253842177834434, 1.3794211583956122, 0.0425180997971424, 3.380005001262137, 0.2453541144193978, 0.0299105894822991, 3.6650887440236253, 0.0576573687708764, 0.0157050484902194, 3.7218813716253396, 0.0180611550173938, 0.0254455189786391, 3.8353948982746937, 0.4128586435901283, 0.0203660065310604, 3.9589624416515914, 0.260128103719035, 0.0224966908143762, 4.055489922471146, 0.8150649958396737, 0.0291428584911155, 4.174183400014578, 0.9671569065708839, 0.029396285766061, 4.43108021498904, 0.7454031693378677, 0.0291549710306403, 4.5522316001740695, 0.2104242153955502, 0.022028213303786, 4.6035944181621185, 0.5022378669120269, 0.0266375510952055, 4.7003511356204495, 0.0466004209022928, 0.0187708664403323, 4.80592991998376, 0.3667560883924845, 0.026623362682025, 4.965802126889394, 0.166463494330406, 0.0214766935492096, 5.39869804615455, 0.2906934755004263, 0.0280678315541273, 5.413951466335906, 0.0971037372504153, 0.0239665648876203, 2.588671265016255, -0.0045221612130994, 0.0215888780234602, 3.8638442168964873, 0.1539943378087711, 0.0148931488064542, 5.197563511272063]|254098.3540862699155696|      0.12500000|[26595, 8867, 7, 567]                                                      |  | used quadratic model with 5066 points | iterate success | actual_k=16
       8|[0.5922093333066029, 0.0327102921935898, 1.8836861883801348, 0.6526448906273343, 0.0382526252864528, 2.000851343566693, 1.2881154571022813, 0.046850711473295, 2.121828975950672, -0.0209545911719986, 0.0221779328728984, 2.158259321677569, 1.2253844717621363, 0.0354889981028605, 2.2218920399121562, 0.2181379842996155, 0.0186122949523643, 2.282009159472994, 1.3345822050371965, 0.044690752373814, 2.3857057538797277, 4.501002203299659, 0.0802114113922135, 2.4824074628140695, 0.6608584565887147, 0.0253970033502715, 2.560902038012067, 4.383655824071974, 0.0755771387060363, 2.7124538139472802, 0.2249642068051885, 0.01896132630585, 2.941133969791586, 0.235306036114348, 0.0227749845802599, 2.960707757691608, 0.7102549126863805, 0.0296532200430248, 3.1290300749388713, 0.204372992133122, 0.023612356720673, 3.224207571576343, -0.0635900882861845, 0.0199422777447613, 3.253842177834434, 1.3794211583956122, 0.0425180997971424, 3.380005001262137, 0.2453541144193978, 0.0299105894822991, 3.6650887440236253, 0.0576573687708764, 0.0157050484902194, 3.7218813716253396, 0.0180611550173938, 0.0254455189786391, 3.8353948982746937, 0.4128586435901283, 0.0203660065310604, 3.9589624416515914, 0.260128103719035, 0.0224966908143762, 4.055489922471146, 0.8150649958396737, 0.0291428584911155, 4.174183400014578, 0.9671569065708839, 0.029396285766061, 4.43108021498904, 0.7454031693378677, 0.0291549710306403, 4.5522316001740695, 0.2104242153955502, 0.022028213303786, 4.6035944181621185, 0.5022378669120269, 0.0266375510952055, 4.7003511356204495, 0.0466004209022928, 0.0187708664403323, 4.80592991998376, 0.3667560883924845, 0.026623362682025, 4.965802126889394, 0.166463494330406, 0.0214766935492096, 5.39869804615455, 0.2906934755004263, 0.0280678315541273, 5.413951466335906, 0.0971037372504153, 0.0239665648876203, 2.588671265016255, -0.0045221612130994, 0.0215888780234602, 3.8638442168964873, 0.1539943378087711, 0.0148931488064542, 5.197563511272063]|254098.3540862699155696|      0.06250000|[30395, 10133, 8, 648]                                                     |  | used quadratic model with 5066 points | iterate failure | actual_k=16
       9|[0.590823751783149, 0.0351634848540435, 1.8794008558301902, 0.6507647022034974, 0.0407068808769611, 1.9986401133192684, 1.2862547956650314, 0.0510816834904541, 2.115577564800559, -0.0228056278105945, 0.0211637424097184, 2.158998876477754, 1.220619208461445, 0.0445912690143353, 2.2191023113117305, 0.2151246816234486, 0.0214986562991859, 2.281709057683001, 1.331830836458043, 0.0549752301007572, 2.3745540569338224, 4.496304215570096, 0.1150597084250501, 2.4780619204415113, 0.6539472325689967, 0.0390053220616703, 2.5652020582726855, 4.3809940185199086, 0.1030779661493633, 2.730234465635291, 0.2245848137609091, 0.0224365449364401, 2.9416382308928553, 0.2341728917722443, 0.0250318793940169, 2.962945964352059, 0.7110326245811931, 0.0350953902840385, 3.1295317902055695, 0.2029962300067557, 0.0240575711140915, 3.2235510364004973, -0.0641543869874535, 0.0206319428853483, 3.253256440652557, 1.378449788561647, 0.0559666361971689, 3.380134317584584, 0.2439557083156059, 0.0280729445967065, 3.666079259987113, 0.0589068083144052, 0.0171547489960769, 3.722395677445201, 0.0194966894597708, 0.0242886877851779, 3.8360023906436806, 0.4120462335455202, 0.0293202954803502, 3.95883798500638, 0.2595488714469643, 0.0228981107122796, 4.054716025468156, 0.8144500394104468, 0.0395596279108848, 4.174788296237749, 0.9650312988300623, 0.0451095291143724, 4.430232229074196, 0.7426329000404216, 0.0365070648503921, 4.552985108975223, 0.2093195469333304, 0.0215287251550888, 4.603068934246444, 0.5010384578823966, 0.0297274436090625, 4.7017910298540375, 0.0468625270218896, 0.0187585558028166, 4.8031214670714775, 0.3673311131247143, 0.0294425632158501, 4.96729090065168, 0.1662159927765236, 0.0248901862077666, 5.399739353148914, 0.2893741333094184, 0.0293447799327628, 5.415230660431837, 0.0954041679373915, 0.0259530518090288, 2.590045378239321, -0.0050521017352045, 0.0224030321411894, 3.8622708562046797, 0.1543861222483313, 0.0196180734237617, 5.197409032332897]|222551.7846672468585894|      0.12500000|[34192, 11402, 9, 729]                                                     |  | used quadratic model with 5066 points | iterate success | actual_k=16
      10|[0.5815823538107587, 0.0356904040067967, 1.863192477004736, 0.6412126383465748, 0.0553941702497329, 1.992141692998007, 1.2712418711550546, 0.0616582731852908, 2.1163891222316273, -0.0235384391155125, 0.0295059459763505, 2.151191063619545, 1.2115800212446777, 0.0896914791036134, 2.203544938734942, 0.2050175933065504, 0.0248559181041943, 2.2648250502723117, 1.335186657563984, 0.0746833645353744, 2.3650298155515244, 4.481861249360015, 0.1482591117520863, 2.4961298705569246, 0.6403139122665268, 0.0582328084243925, 2.564923692190847, 4.369930152529105, 0.1416431436997469, 2.7401796894079253, 0.2330144707030224, 0.0206793695451785, 2.946152625989446, 0.2148201069679795, 0.0284596174755007, 2.961760304380705, 0.719542339399259, 0.0528925127634788, 3.135833941012338, 0.1978862180880489, 0.0425745244703513, 3.219335064812874, -0.0655871098389007, 0.0399359231595119, 3.264056691661383, 1.3670116528983955, 0.0761949102458866, 3.383893946857727, 0.2351182090110543, 0.0353223863473229, 3.662717043274346, 0.0479739037363012, 0.0186063384174871, 3.7087391045512743, 0.0141366897332714, 0.0321581533633213, 3.834794098790581, 0.4007050665637573, 0.0622525872515139, 3.9475325342795466, 0.2547131522508582, 0.0359552104502285, 4.0526933375596395, 0.8132267738123626, 0.0632091366844819, 4.167012402049145, 0.9686192490390299, 0.0465429882466267, 4.435481745351096, 0.7373275756456077, 0.0538856267458054, 4.54178688574067, 0.2057938123029244, 0.0174931954774773, 4.596231249099465, 0.5053017440102737, 0.0476279133366561, 4.707666661654997, 0.0406308516106214, 0.0148058576849896, 4.81695408063855, 0.3695160985046821, 0.0302312701802191, 4.969034860678739, 0.1757523500491244, 0.035677518180364, 5.3819631464374735, 0.2899272801947833, 0.0307124803119281, 5.410232911339661, 0.0852956042571288, 0.0217567963883597, 2.598589501076685, -0.009438144227829, 0.0203521447071068, 3.8607732555726497, 0.1435776400904515, 0.0329458021061451, 5.196882428602509]|196938.6968167287705000|      0.25000000|[37990, 12670, 10, 810]                                                    |  | used quadratic model with 5066 points | iterate success | actual_k=16
      11|[0.5815823538107587, 0.0356904040067967, 1.863192477004736, 0.6412126383465748, 0.0553941702497329, 1.992141692998007, 1.2712418711550546, 0.0616582731852908, 2.1163891222316273, -0.0235384391155125, 0.0295059459763505, 2.151191063619545, 1.2115800212446777, 0.0896914791036134, 2.203544938734942, 0.2050175933065504, 0.0248559181041943, 2.2648250502723117, 1.335186657563984, 0.0746833645353744, 2.3650298155515244, 4.481861249360015, 0.1482591117520863, 2.4961298705569246, 0.6403139122665268, 0.0582328084243925, 2.564923692190847, 4.369930152529105, 0.1416431436997469, 2.7401796894079253, 0.2330144707030224, 0.0206793695451785, 2.946152625989446, 0.2148201069679795, 0.0284596174755007, 2.961760304380705, 0.719542339399259, 0.0528925127634788, 3.135833941012338, 0.1978862180880489, 0.0425745244703513, 3.219335064812874, -0.0655871098389007, 0.0399359231595119, 3.264056691661383, 1.3670116528983955, 0.0761949102458866, 3.383893946857727, 0.2351182090110543, 0.0353223863473229, 3.662717043274346, 0.0479739037363012, 0.0186063384174871, 3.7087391045512743, 0.0141366897332714, 0.0321581533633213, 3.834794098790581, 0.4007050665637573, 0.0622525872515139, 3.9475325342795466, 0.2547131522508582, 0.0359552104502285, 4.0526933375596395, 0.8132267738123626, 0.0632091366844819, 4.167012402049145, 0.9686192490390299, 0.0465429882466267, 4.435481745351096, 0.7373275756456077, 0.0538856267458054, 4.54178688574067, 0.2057938123029244, 0.0174931954774773, 4.596231249099465, 0.5053017440102737, 0.0476279133366561, 4.707666661654997, 0.0406308516106214, 0.0148058576849896, 4.81695408063855, 0.3695160985046821, 0.0302312701802191, 4.969034860678739, 0.1757523500491244, 0.035677518180364, 5.3819631464374735, 0.2899272801947833, 0.0307124803119281, 5.410232911339661, 0.0852956042571288, 0.0217567963883597, 2.598589501076685, -0.009438144227829, 0.0203521447071068, 3.8607732555726497, 0.1435776400904515, 0.0329458021061451, 5.196882428602509]|196938.6968167287705000|      0.12500000|[41788, 13938, 11, 891]                                                    |  | used quadratic model with 5066 points | iterate failure | actual_k=16
