k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1071775839502157, 0.1866774900677725, 0.0854842644739814, -0.1264338713411299, 0.9241076843729624, 0.2107250544339986, 0.0334783936044769, -0.1434103650736186, -0.1015086221627157]|79404.9687500000000000|      2.00000000|[65, 0, 0, 4]                                                              |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | iterate success | actual_k=0
       2|[0.1071775839502157, 0.1866774900677725, 0.0854842644739814, -0.1264338713411299, 0.9241076843729624, 0.2107250544339986, 0.0334783936044769, -0.1434103650736186, -0.1015086221627157]|79404.9687500000000000|      1.00000000|[129, 0, 0, 8]                                                             |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.1071775839502157, 0.1866774900677725, 0.0854842644739814, -0.1264338713411299, 0.9241076843729624, 0.2107250544339986, 0.0334783936044769, -0.1434103650736186, -0.1015086221627157]|79404.9687500000000000|      0.50000000|[193, 0, 0, 12]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.0698329941709514, 0.2157335714516813, 0.174044338033406, 0.0370971950838916, 1.0357875727733545, -0.2078548291802684, -0.0147254723991751, -0.0327035852005682, 0.0029648634049587]|39486.6015625000000000|      1.00000000|[241, 0, 0, 15]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | iterate success | actual_k=0
       5|[0.0698329941709514, 0.2157335714516813, 0.174044338033406, 0.0370971950838916, 1.0357875727733545, -0.2078548291802684, -0.0147254723991751, -0.0327035852005682, 0.0029648634049587]|39486.6015625000000000|      0.50000000|[305, 0, 0, 19]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.0698329941709514, 0.2157335714516813, 0.174044338033406, 0.0370971950838916, 1.0357875727733545, -0.2078548291802684, -0.0147254723991751, -0.0327035852005682, 0.0029648634049587]|39486.6015625000000000|      0.25000000|[369, 0, 0, 23]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.1677993962597309, 0.1873387880334577, 0.1977523829054141, -0.0806162327883536, 0.9802243549115309, -0.0875278496582617, -0.001374398898526, -0.119239980491297, 0.1145226770700776]|8403.1289062500000000|      0.50000000|[401, 0, 0, 25]                                                            |  | trying quadratic partial model with 17 points | iterate success | actual_k=0
       8|[0.1677993962597309, 0.1873387880334577, 0.1977523829054141, -0.0806162327883536, 0.9802243549115309, -0.0875278496582617, -0.001374398898526, -0.119239980491297, 0.1145226770700776]|8403.1289062500000000|      0.25000000|[465, 0, 0, 29]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[0.2502907167527348, 0.1706142909108028, 0.2598281610626201, 0.0788472814926603, 1.0820825806905088, 0.0251917517259477, -0.0526548159663762, -0.0990562943431632, 0.1105743150798648]|3111.3962402343750000|      0.50000000|[529, 0, 0, 33]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | iterate success | actual_k=0
      10|[0.2502907167527348, 0.1706142909108028, 0.2598281610626201, 0.0788472814926603, 1.0820825806905088, 0.0251917517259477, -0.0526548159663762, -0.0990562943431632, 0.1105743150798648]|3111.3962402343750000|      0.25000000|[593, 0, 0, 37]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[0.2502907167527348, 0.1706142909108028, 0.2598281610626201, 0.0788472814926603, 1.0820825806905088, 0.0251917517259477, -0.0526548159663762, -0.0990562943431632, 0.1105743150798648]|3111.3962402343750000|      0.12500000|[657, 0, 0, 41]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[0.2708113362278962, 0.1689170008053343, 0.2669850510071637, -0.0417614134458718, 1.0854849934492452, 0.024254916836615, -0.0481592778266485, -0.0760522776244979, 0.1170160767682725]|1139.4400634765625000|      0.25000000|[705, 0, 0, 44]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | iterate success | actual_k=0
      13|[0.2708113362278962, 0.1689170008053343, 0.2669850510071637, -0.0417614134458718, 1.0854849934492452, 0.024254916836615, -0.0481592778266485, -0.0760522776244979, 0.1170160767682725]|1139.4400634765625000|      0.12500000|[769, 0, 0, 48]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[0.2708113362278962, 0.1689170008053343, 0.2669850510071637, -0.0417614134458718, 1.0854849934492452, 0.024254916836615, -0.0481592778266485, -0.0760522776244979, 0.1170160767682725]|1139.4400634765625000|      0.06250000|[833, 0, 0, 52]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[0.2765788923620645, 0.1782080214480121, 0.2756697953411437, 0.0062830087668293, 1.0939427369283594, -0.0095756543086276, -0.0604886824097147, -0.078987639297642, 0.1118877819775305]|341.6313171386718750|      0.12500000|[881, 0, 0, 55]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | iterate success | actual_k=0
