k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[0.458281349945638, -1.0790906104290114, 19.980301999453587]                    |496.6435254840433799|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[0.458281349945638, -1.0790906104290114, 19.980301999453587]                    |496.6435254840433799|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.458281349945638, -1.0790906104290114, 19.980301999453587]                    |496.6435254840433799|      0.25000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.458281349945638, -1.0790906104290114, 19.980301999453587]                    |496.6435254840433799|      0.12500000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.5486831109028152, -1.1585978430641772, 20.013934150359216]                   |411.4601448275142843|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[0.5486831109028152, -1.1585978430641772, 20.013934150359216]                   |411.4601448275142843|      0.12500000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.5486831109028152, -1.1585978430641772, 20.013934150359216]                   |411.4601448275142843|      0.06250000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[0.5731212532816, -1.1019963663811225, 20.02419573085989]                       |332.4004215795741288|      0.12500000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      10|[0.5731212532816, -1.1019963663811225, 20.02419573085989]                       |332.4004215795741288|      0.06250000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.6320377454195252, -1.1227190519576298, 20.026576330922698]                   |276.0875605159510542|      0.12500000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[0.6320377454195252, -1.1227190519576298, 20.026576330922698]                   |276.0875605159510542|      0.06250000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.6320377454195252, -1.1227190519576298, 20.026576330922698]                   |276.0875605159510542|      0.03125000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[0.6616069002139499, -1.1160634889845908, 20.03418757696098]                    |256.1547921378289630|      0.06250000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[0.6616069002139499, -1.1160634889845908, 20.03418757696098]                    |256.1547921378289630|      0.03125000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
