k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      0.50000000|[8, 1, 1, 2]                                                               |  | used linear model with 9 points | iterate failure | actual_k=1
       2|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      0.25000000|[17, 1, 2, 4]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[9.946450003104038, -0.8509700955746875, 0.0919440355793304, -0.051403809416567, -0.149521216045938, 0.1425525124256212, 0.0554992111268981]|61811.6972418780642329|      0.50000000|[26, 1, 3, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       4|[9.946450003104038, -0.8509700955746875, 0.0919440355793304, -0.051403809416567, -0.149521216045938, 0.1425525124256212, 0.0554992111268981]|61811.6972418780642329|      0.25000000|[35, 1, 4, 8]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[9.946450003104038, -0.8509700955746875, 0.0919440355793304, -0.051403809416567, -0.149521216045938, 0.1425525124256212, 0.0554992111268981]|61811.6972418780642329|      0.12500000|[43, 2, 5, 10]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[9.946450003104038, -0.8509700955746875, 0.0919440355793304, -0.051403809416567, -0.149521216045938, 0.1425525124256212, 0.0554992111268981]|61811.6972418780642329|      0.06250000|[52, 2, 6, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[9.946450003104038, -0.8509700955746875, 0.0919440355793304, -0.051403809416567, -0.149521216045938, 0.1425525124256212, 0.0554992111268981]|61811.6972418780642329|      0.03125000|[60, 3, 7, 14]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[9.938091952128733, -0.8525975189613916, 0.0924390472430604, -0.0333758725082446, -0.1533343525907861, 0.1356422520631643, 0.0782261493877005]|58364.0762351699158899|      0.06250000|[68, 4, 8, 16]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       9|[9.93200487378442, -0.841191128460252, 0.0895884564165472, 0.0170957066158958, -0.1583512831301187, 0.1365568341438096, 0.1122493695939422]|54478.7249587069964036|      0.12500000|[77, 4, 9, 18]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
      10|[9.970595078412835, -0.8271099867699448, 0.1268832331662216, 0.1172547082157677, -0.1224694290543142, 0.1252150083830468, 0.0791035234343008]|46099.4507509715549531|      0.25000000|[86, 4, 10, 20]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
      11|[9.970595078412835, -0.8271099867699448, 0.1268832331662216, 0.1172547082157677, -0.1224694290543142, 0.1252150083830468, 0.0791035234343008]|46099.4507509715549531|      0.12500000|[95, 4, 11, 22]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[9.970595078412835, -0.8271099867699448, 0.1268832331662216, 0.1172547082157677, -0.1224694290543142, 0.1252150083830468, 0.0791035234343008]|46099.4507509715549531|      0.06250000|[103, 5, 12, 24]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[9.98918863136606, -0.8654131040733769, 0.1230365690001725, 0.1393475257898301, -0.1107894645137571, 0.107482081863866, 0.0453450678232301]|37191.8358378524208092|      0.12500000|[111, 6, 13, 26]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      14|[9.98918863136606, -0.8654131040733769, 0.1230365690001725, 0.1393475257898301, -0.1107894645137571, 0.107482081863866, 0.0453450678232301]|37191.8358378524208092|      0.06250000|[120, 6, 14, 28]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[9.968068610638838, -0.8752215292918364, 0.0959214510253465, 0.1619802116547004, -0.0912442777235387, 0.1471915834331263, 0.0327886915376391]|28311.1578769644547720|      0.12500000|[128, 7, 15, 30]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      16|[9.968068610638838, -0.8752215292918364, 0.0959214510253465, 0.1619802116547004, -0.0912442777235387, 0.1471915834331263, 0.0327886915376391]|28311.1578769644547720|      0.06250000|[136, 8, 16, 32]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      17|[9.968068610638838, -0.8752215292918364, 0.0959214510253465, 0.1619802116547004, -0.0912442777235387, 0.1471915834331263, 0.0327886915376391]|28311.1578769644547720|      0.03125000|[145, 8, 17, 34]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      18|[9.953237817653525, -0.8696431574107987, 0.0868521799746227, 0.1505589774341031, -0.0872186847456423, 0.1635949371740068, 0.0177049199503254]|15531.4700673605038901|      0.06250000|[154, 8, 18, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      19|[9.953237817653525, -0.8696431574107987, 0.0868521799746227, 0.1505589774341031, -0.0872186847456423, 0.1635949371740068, 0.0177049199503254]|15531.4700673605038901|      0.03125000|[162, 9, 19, 38]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      20|[9.953237817653525, -0.8696431574107987, 0.0868521799746227, 0.1505589774341031, -0.0872186847456423, 0.1635949371740068, 0.0177049199503254]|15531.4700673605038901|      0.01562500|[171, 9, 20, 40]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      21|[9.953237817653525, -0.8696431574107987, 0.0868521799746227, 0.1505589774341031, -0.0872186847456423, 0.1635949371740068, 0.0177049199503254]|15531.4700673605038901|      0.00781250|[179, 10, 21, 42]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
