k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9515013755169646, 2.0080419420300193, -7.88309365007974]                     | 41.2925186157226562|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[2.6368434570616643, 0.1625939659860589, -7.530066740369971]                    |  7.9876027107238770|      4.00000000|[11, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[2.6368434570616643, 0.1625939659860589, -7.530066740369971]                    |  7.9876027107238770|      2.00000000|[16, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[2.6368434570616643, 0.1625939659860589, -7.530066740369971]                    |  7.9876027107238770|      1.00000000|[21, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.775684610297682, -0.0509465150717187, -7.991375642939325]                    |  4.1547169685363770|      2.00000000|[25, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[0.5480087252549135, -1.544220638068261, -7.4785946810527095]                   |  2.0054504871368408|      4.00000000|[30, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[0.5480087252549135, -1.544220638068261, -7.4785946810527095]                   |  2.0054504871368408|      2.00000000|[34, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.5480087252549135, -1.544220638068261, -7.4785946810527095]                   |  2.0054504871368408|      1.00000000|[38, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[-0.4064278083034457, -1.4148126009440394, -7.2096997883218155]                 |  1.5081359148025513|      2.00000000|[42, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[-0.4064278083034457, -1.4148126009440394, -7.2096997883218155]                 |  1.5081359148025513|      1.00000000|[47, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[-0.4064278083034457, -1.4148126009440394, -7.2096997883218155]                 |  1.5081359148025513|      0.50000000|[52, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[-0.0023497329508398, -1.1982070239094076, -7.010193064082185]                  |  1.0546040534973145|      1.00000000|[57, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[-0.0023497329508398, -1.1982070239094076, -7.010193064082185]                  |  1.0546040534973145|      0.50000000|[61, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.0023497329508398, -1.1982070239094076, -7.010193064082185]                  |  1.0546040534973145|      0.25000000|[66, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[-0.1290804743352393, -0.9844677704331701, -7.037667610695026]                  |  1.0151400566101074|      0.50000000|[71, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
