k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.334298116422387, -1.61675504490056, 0.4364180538241728, -0.231058762633464, -0.2030068865229244, -0.1683502376976237, 0.5030545939245242]|58621.8081881958351005|      2.00000000|[33, 5, 1, 4]                                                              |  | used quadratic model with 38 points | iterate success | actual_k=2
       2|[10.334298116422387, -1.61675504490056, 0.4364180538241728, -0.231058762633464, -0.2030068865229244, -0.1683502376976237, 0.5030545939245242]|58621.8081881958351005|      1.00000000|[66, 10, 2, 8]                                                             |  | used quadratic model with 38 points | iterate failure | actual_k=2
       3|[10.334298116422387, -1.61675504490056, 0.4364180538241728, -0.231058762633464, -0.2030068865229244, -0.1683502376976237, 0.5030545939245242]|58621.8081881958351005|      0.50000000|[98, 16, 3, 12]                                                            |  | used quadratic model with 38 points | iterate failure | actual_k=2
       4|[10.344430718108109, -1.62627355560998, 0.4210601899559045, 0.2369038809319387, -0.2132092715587788, -0.1466887950456017, 0.6762842733199733]|53170.9786296649981523|      1.00000000|[132, 20, 4, 16]                                                           |  | used quadratic model with 38 points | iterate success | actual_k=2
       5|[10.687713309934951, -1.4906888470374005, 0.4467323558485582, 1.0894138645371365, -0.0905758235818035, -0.1493388383500786, 0.3280091932330645]|35787.1195933320923359|      2.00000000|[165, 25, 5, 20]                                                           |  | used quadratic model with 38 points | iterate success | actual_k=2
       6|[10.687713309934951, -1.4906888470374005, 0.4467323558485582, 1.0894138645371365, -0.0905758235818035, -0.1493388383500786, 0.3280091932330645]|35787.1195933320923359|      1.00000000|[199, 29, 6, 24]                                                           |  | used quadratic model with 38 points | iterate failure | actual_k=2
       7|[10.687713309934951, -1.4906888470374005, 0.4467323558485582, 1.0894138645371365, -0.0905758235818035, -0.1493388383500786, 0.3280091932330645]|35787.1195933320923359|      0.50000000|[233, 33, 7, 28]                                                           |  | used quadratic model with 38 points | iterate failure | actual_k=2
       8|[10.687713309934951, -1.4906888470374005, 0.4467323558485582, 1.0894138645371365, -0.0905758235818035, -0.1493388383500786, 0.3280091932330645]|35787.1195933320923359|      0.25000000|[266, 38, 8, 32]                                                           |  | used quadratic model with 38 points | iterate failure | actual_k=2
       9|[10.677471904096004, -1.5025044792259532, 0.4426213741813179, 1.1593061899504724, -0.1200600261466751, -0.1243384326479406, 0.0916634113068433]|8887.8449582353950973|      0.50000000|[299, 43, 9, 36]                                                           |  | used quadratic model with 38 points | iterate success | actual_k=2
      10|[10.677471904096004, -1.5025044792259532, 0.4426213741813179, 1.1593061899504724, -0.1200600261466751, -0.1243384326479406, 0.0916634113068433]|8887.8449582353950973|      0.25000000|[333, 47, 10, 40]                                                          |  | used quadratic model with 38 points | iterate failure | actual_k=2
      11|[10.677471904096004, -1.5025044792259532, 0.4426213741813179, 1.1593061899504724, -0.1200600261466751, -0.1243384326479406, 0.0916634113068433]|8887.8449582353950973|      0.12500000|[365, 53, 11, 44]                                                          |  | used quadratic model with 38 points | iterate failure | actual_k=2
      12|[10.677471904096004, -1.5025044792259532, 0.4426213741813179, 1.1593061899504724, -0.1200600261466751, -0.1243384326479406, 0.0916634113068433]|8887.8449582353950973|      0.06250000|[399, 57, 12, 48]                                                          |  | used quadratic model with 38 points | iterate failure | actual_k=2
      13|[10.677471904096004, -1.5025044792259532, 0.4426213741813179, 1.1593061899504724, -0.1200600261466751, -0.1243384326479406, 0.0916634113068433]|8887.8449582353950973|      0.03125000|[432, 62, 13, 52]                                                          |  | used quadratic model with 38 points | iterate failure | actual_k=2
      14|[10.677471904096004, -1.5025044792259532, 0.4426213741813179, 1.1593061899504724, -0.1200600261466751, -0.1243384326479406, 0.0916634113068433]|8887.8449582353950973|      0.01562500|[466, 66, 14, 56]                                                          |  | used quadratic model with 38 points | iterate failure | actual_k=2
      15|[10.677471904096004, -1.5025044792259532, 0.4426213741813179, 1.1593061899504724, -0.1200600261466751, -0.1243384326479406, 0.0916634113068433]|8887.8449582353950973|      0.00781250|[499, 71, 15, 60]                                                          |  | used quadratic model with 38 points | iterate failure | actual_k=2
      16|[10.678073880276617, -1.502696831791546, 0.4424372985622689, 1.1599936951367622, -0.120033684144092, -0.1237304958461099, 0.0839330197806875]|8549.5252637947196490|      0.01562500|[532, 76, 16, 64]                                                          |  | used quadratic model with 38 points | iterate success | actual_k=2
      17|[10.678073880276617, -1.502696831791546, 0.4424372985622689, 1.1599936951367622, -0.120033684144092, -0.1237304958461099, 0.0839330197806875]|8549.5252637947196490|      0.00781250|[565, 81, 17, 68]                                                          |  | used quadratic model with 38 points | iterate failure | actual_k=2
      18|[10.675713357449569, -1.5032015069422109, 0.4387728952956993, 1.1635122558747704, -0.1189655402774454, -0.1184778576916916, 0.0847510242776687]|8521.8300854524732131|      0.01562500|[597, 87, 18, 72]                                                          |  | used quadratic model with 38 points | iterate success | actual_k=2
