k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[11, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[-0.0089480399279821, 0.1268088869643653, -0.0011410027681362, 0.0157386505836308, 0.3087457217345543, 0.1485780192085742, 0.3013532036183204, 0.0085426796755952, 0.1590734188052694]|255333.0468750000000000|      1.00000000|[17, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[-0.0089480399279821, 0.1268088869643653, -0.0011410027681362, 0.0157386505836308, 0.3087457217345543, 0.1485780192085742, 0.3013532036183204, 0.0085426796755952, 0.1590734188052694]|255333.0468750000000000|      0.50000000|[27, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[-0.0304849131725519, 0.2860136247548198, 0.0963804289814508, 0.0739237572949085, 0.7302222538373456, 0.0866695612692422, 0.3889430008783928, 0.0936382448305368, 0.0369844095066968]|20164.4980468750000000|      1.00000000|[33, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[-0.0304849131725519, 0.2860136247548198, 0.0963804289814508, 0.0739237572949085, 0.7302222538373456, 0.0866695612692422, 0.3889430008783928, 0.0936382448305368, 0.0369844095066968]|20164.4980468750000000|      0.50000000|[43, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[-0.0304849131725519, 0.2860136247548198, 0.0963804289814508, 0.0739237572949085, 0.7302222538373456, 0.0866695612692422, 0.3889430008783928, 0.0936382448305368, 0.0369844095066968]|20164.4980468750000000|      0.25000000|[53, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[-0.1056133461886173, 0.1575394194893419, 0.1615885807759995, -0.0103339420561642, 0.7485251676499849, 0.0867791399812108, 0.2630713730454179, 0.012714433775271, 0.1161759218233548]|14462.8779296875000000|      0.50000000|[61, 0, 0, 23]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | iterate success | actual_k=0
       8|[-0.1056133461886173, 0.1575394194893419, 0.1615885807759995, -0.0103339420561642, 0.7485251676499849, 0.0867791399812108, 0.2630713730454179, 0.012714433775271, 0.1161759218233548]|14462.8779296875000000|      0.25000000|[71, 0, 0, 27]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[-0.1765764211624127, 0.0545740926023538, 0.2926770830233253, -0.0162352666755343, 0.7954564606980739, -0.0471863375481058, 0.2127480838170751, 0.0923836238843968, 0.0913877458642004]|4128.4008789062500000|      0.50000000|[81, 0, 0, 31]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | iterate success | actual_k=0
      10|[-0.1765764211624127, 0.0545740926023538, 0.2926770830233253, -0.0162352666755343, 0.7954564606980739, -0.0471863375481058, 0.2127480838170751, 0.0923836238843968, 0.0913877458642004]|4128.4008789062500000|      0.25000000|[91, 0, 0, 35]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
