k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[98.0, 36.0, 270.0]                                                             |235144.3534117177186999|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[97.86272078021929, 36.329535870677, 269.0658905172553]                         |233073.6562500000000000|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[99.01055992008244, 36.5449938193912, 267.4423009196864]                        |226544.4062500000000000|      4.00000000|[11, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[100.1043016316791, 34.18124358588338, 264.40644619623447]                      |218203.8125000000000000|      8.00000000|[16, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[105.48036657120666, 35.153583287457316, 258.5624337671986]                     |193187.7968750000000000|     16.00000000|[21, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[117.94698689235794, 42.85869005550189, 264.98230194818893]                     |177702.8906250000000000|     32.00000000|[25, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[145.96883358951706, 57.133249066990025, 259.0651174227194]                     |110112.7421875000000000|     64.00000000|[30, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[134.8996151162933, 94.28107091105355, 208.1385847051491]                       |36735.4101562500000000|    128.00000000|[34, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[63.06990820078224, 115.86189286130471, 104.41413566644204]                     |187.3850708007812500|    256.00000000|[38, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[63.06990820078224, 115.86189286130471, 104.41413566644204]                     |187.3850708007812500|    128.00000000|[42, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[63.06990820078224, 115.86189286130471, 104.41413566644204]                     |187.3850708007812500|     64.00000000|[47, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[63.06990820078224, 115.86189286130471, 104.41413566644204]                     |187.3850708007812500|     32.00000000|[52, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[63.06990820078224, 115.86189286130471, 104.41413566644204]                     |187.3850708007812500|     16.00000000|[57, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[63.06990820078224, 115.86189286130471, 104.41413566644204]                     |187.3850708007812500|      8.00000000|[61, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[63.06990820078224, 115.86189286130471, 104.41413566644204]                     |187.3850708007812500|      4.00000000|[66, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[61.13344432682359, 118.03571184512053, 101.67103182399366]                     |154.9516448974609375|      8.00000000|[71, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
