k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.818336935596506, 399999.6294260572, 24999.089135858674]                      |3735901472260561.0000000000000000|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[1.0386940115718288, 399998.2934394068, 25000.35692786875]                      |1215455328682680.5000000000000000|      4.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[1.0386940115718288, 399998.2934394068, 25000.35692786875]                      |1215455328682680.5000000000000000|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.2071643546940899, 400000.03493144223, 24999.831795580427]                    |47832154624875.2265625000000000|      4.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[0.2071643546940899, 400000.03493144223, 24999.831795580427]                    |47832154624875.2265625000000000|      2.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.2071643546940899, 400000.03493144223, 24999.831795580427]                    |47832154624875.2265625000000000|      1.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.2071643546940899, 400000.03493144223, 24999.831795580427]                    |47832154624875.2265625000000000|      0.50000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.0316845205019204, 400000.39375934703, 24999.531047575394]                    |1032446630871.1597900390625000|      1.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[0.0316845205019204, 400000.39375934703, 24999.531047575394]                    |1032446630871.1597900390625000|      0.50000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.0316845205019204, 400000.39375934703, 24999.531047575394]                    |1032446630871.1597900390625000|      0.25000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.0316845205019204, 400000.39375934703, 24999.531047575394]                    |1032446630871.1597900390625000|      0.12500000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[0.0316845205019204, 400000.39375934703, 24999.531047575394]                    |1032446630871.1597900390625000|      0.06250000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.0052753415773887, 400000.36393766484, 24999.482886672777]                    |17545316778.4492149353027344|      0.12500000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      14|[0.0052753415773887, 400000.36393766484, 24999.482886672777]                    |17545316778.4492149353027344|      0.06250000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[0.0052753415773887, 400000.36393766484, 24999.482886672777]                    |17545316778.4492149353027344|      0.03125000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
