k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[98.0, 36.0, 270.0]                                                             |235144.3534117177186999|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[97.86351353290864, 36.33577911880664, 269.0680000924494]                       |233073.5355089430813678|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[98.56205385192264, 36.925646223231986, 267.28920886753605]                     |226998.1911776234046556|      4.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[100.86561620194254, 37.336869766273736, 264.0450609521014]                     |214204.7754031430231407|      8.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[100.63982390900728, 35.48850411374798, 256.264793459591]                       |198279.0818342395941727|     16.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[105.00215874499567, 26.04120789989527, 244.11083817637365]                     |166679.4476103835331742|     32.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       6|[112.51845210909205, 1.23356146294838, 225.34688304094772]                      |115259.3469635685178218|     64.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[157.84470014367264, -3.7899761495100472, 180.44370599339467]                   |14327.0121520718057582|    128.00000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[123.02219610774173, 15.423822963570895, 58.779318696578244]                    |8452.7761108623562905|    256.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[123.02219610774173, 15.423822963570895, 58.779318696578244]                    |8452.7761108623562905|    128.00000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[123.02219610774173, 15.423822963570895, 58.779318696578244]                    |8452.7761108623562905|     64.00000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[123.02219610774173, 15.423822963570895, 58.779318696578244]                    |8452.7761108623562905|     32.00000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[102.93536270647934, 10.108872924808423, 83.11592548543418]                     |729.2096131959809782|     64.00000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      13|[102.93536270647934, 10.108872924808423, 83.11592548543418]                     |729.2096131959809782|     32.00000000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[102.93536270647934, 10.108872924808423, 83.11592548543418]                     |729.2096131959809782|     16.00000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[105.4773386162206, 24.006275590859396, 75.60589501865614]                      |342.9815456841183163|     32.00000000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
