k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.50000000|[4, 2, 1, 3]                                                               |  | used linear model with 6 points | iterate failure | actual_k=1
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.25000000|[9, 3, 2, 6]                                                               |  | used linear model with 6 points | iterate failure | actual_k=1
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.12500000|[14, 4, 3, 9]                                                              |  | used linear model with 6 points | iterate failure | actual_k=1
       4|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.06250000|[19, 5, 4, 12]                                                             |  | used linear model with 6 points | iterate failure | actual_k=1
       5|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.03125000|[23, 7, 5, 15]                                                             |  | used linear model with 6 points | iterate failure | actual_k=1
       6|[0.2411262453825327, 0.3979616214826306, 0.4415493051002477, 0.4013827044699515]|  0.0043811699851008|      0.06250000|[27, 9, 6, 18]                                                             |  | used linear model with 6 points | iterate success | actual_k=1
       7|[0.2411262453825327, 0.3979616214826306, 0.4415493051002477, 0.4013827044699515]|  0.0043811699851008|      0.03125000|[32, 10, 7, 21]                                                            |  | used linear model with 6 points | iterate failure | actual_k=1
       8|[0.2411262453825327, 0.3979616214826306, 0.4415493051002477, 0.4013827044699515]|  0.0043811699851008|      0.01562500|[37, 11, 8, 24]                                                            |  | used linear model with 6 points | iterate failure | actual_k=1
       9|[0.2378350976317322, 0.4125364149766119, 0.4460508813068086, 0.4005951908213554]|  0.0040019746967418|      0.03125000|[41, 13, 9, 27]                                                            |  | used linear model with 6 points | iterate success | actual_k=1
      10|[0.2347982877317007, 0.4346796344221563, 0.459938191957314, 0.3837381234277102] |  0.0033188796087013|      0.06250000|[46, 14, 10, 30]                                                           |  | used linear model with 6 points | iterate success | actual_k=1
      11|[0.2347982877317007, 0.4346796344221563, 0.459938191957314, 0.3837381234277102] |  0.0033188796087013|      0.03125000|[51, 15, 11, 33]                                                           |  | used linear model with 6 points | iterate failure | actual_k=1
      12|[0.2347982877317007, 0.4346796344221563, 0.459938191957314, 0.3837381234277102] |  0.0033188796087013|      0.01562500|[56, 16, 12, 36]                                                           |  | used linear model with 6 points | iterate failure | actual_k=1
      13|[0.2258311706588686, 0.4230847795125997, 0.4601097070718715, 0.3783287465140599]|  0.0030767637953371|      0.03125000|[61, 17, 13, 39]                                                           |  | used linear model with 6 points | iterate success | actual_k=1
      14|[0.2258311706588686, 0.4230847795125997, 0.4601097070718715, 0.3783287465140599]|  0.0030767637953371|      0.01562500|[66, 18, 14, 42]                                                           |  | used linear model with 6 points | iterate failure | actual_k=1
