k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.000313053196727, 0.0749798403052662]                                         |  0.0000948209708440|      2.00000000|[7, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       2|[0.000313053196727, 0.0749798403052662]                                         |  0.0000948209708440|      1.00000000|[13, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.000313053196727, 0.0749798403052662]                                         |  0.0000948209708440|      0.50000000|[19, 0, 0, 6]                                                              |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.000313053196727, 0.0749798403052662]                                         |  0.0000948209708440|      0.25000000|[25, 0, 0, 8]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       5|[0.000313053196727, 0.0749798403052662]                                         |  0.0000948209708440|      0.12500000|[31, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[0.000313053196727, 0.0749798403052662]                                         |  0.0000948209708440|      0.06250000|[37, 0, 0, 12]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[0.000313053196727, 0.0749798403052662]                                         |  0.0000948209708440|      0.03125000|[43, 0, 0, 14]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[0.000313053196727, 0.0749798403052662]                                         |  0.0000948209708440|      0.01562500|[49, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[0.000313053196727, 0.0749798403052662]                                         |  0.0000948209708440|      0.00781250|[55, 0, 0, 18]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[0.0002110531981991, 0.0671680061896247]                                        |  0.0000610624192632|      0.01562500|[61, 0, 0, 20]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
