k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6124930594925729, 0.128008350076044, 0.1949168249417711, 0.6188350607146482, 0.2143700095327447, -0.0501699840817766, 0.0719488705818096, -0.1171096822626555, -0.0307487395075076, 0.2220774643220632, 0.0015138415489445, 0.0380800356604849, -0.0039854576815293, -0.034056054482344, 0.0531705078470957, 0.0211108024763456, -0.0614536977486749, 0.1837652922565111, -0.1143234668938204, 0.0612456941781166, -0.0383730664075406, -0.0902746469068055]| 13.3104696273803711|      2.00000000|[33, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       2|[1.3774523534572256, 0.3654089318871715, 0.6593282148265862, 1.6953988267910132, 0.0528755777762467, 0.4420079418231294, 0.4424872904180061, -0.1582578010318884, 0.4980408384363451, 0.2825747338632714, 0.086105303575765, 0.3174549539312223, 0.1682628423794599, 0.2741085429658119, 0.5381170127953622, 0.4658918635155028, 0.2130887288983557, 0.3695998996247464, 0.1263721136594982, -0.5562926695949837, 0.0915620013395649, -0.3806150527924118]| 12.1621341705322266|      4.00000000|[65, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       3|[1.3774523534572256, 0.3654089318871715, 0.6593282148265862, 1.6953988267910132, 0.0528755777762467, 0.4420079418231294, 0.4424872904180061, -0.1582578010318884, 0.4980408384363451, 0.2825747338632714, 0.086105303575765, 0.3174549539312223, 0.1682628423794599, 0.2741085429658119, 0.5381170127953622, 0.4658918635155028, 0.2130887288983557, 0.3695998996247464, 0.1263721136594982, -0.5562926695949837, 0.0915620013395649, -0.3806150527924118]| 12.1621341705322266|      2.00000000|[97, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       4|[1.3774523534572256, 0.3654089318871715, 0.6593282148265862, 1.6953988267910132, 0.0528755777762467, 0.4420079418231294, 0.4424872904180061, -0.1582578010318884, 0.4980408384363451, 0.2825747338632714, 0.086105303575765, 0.3174549539312223, 0.1682628423794599, 0.2741085429658119, 0.5381170127953622, 0.4658918635155028, 0.2130887288983557, 0.3695998996247464, 0.1263721136594982, -0.5562926695949837, 0.0915620013395649, -0.3806150527924118]| 12.1621341705322266|      1.00000000|[129, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       5|[1.3774523534572256, 0.3654089318871715, 0.6593282148265862, 1.6953988267910132, 0.0528755777762467, 0.4420079418231294, 0.4424872904180061, -0.1582578010318884, 0.4980408384363451, 0.2825747338632714, 0.086105303575765, 0.3174549539312223, 0.1682628423794599, 0.2741085429658119, 0.5381170127953622, 0.4658918635155028, 0.2130887288983557, 0.3695998996247464, 0.1263721136594982, -0.5562926695949837, 0.0915620013395649, -0.3806150527924118]| 12.1621341705322266|      0.50000000|[161, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       6|[1.4169264758581779, 0.4154353204849299, 0.5779762968408808, 1.9825380708100684, -0.1244527439403659, 0.3514519535304702, 0.3996076222889076, -0.0558433178842506, 0.4063465731367861, 0.3644006950453068, 0.0667509096009928, 0.3057742990099845, 0.1890825712556949, 0.1310358483730248, 0.5621696910023526, 0.606286379009744, 0.0957973890743037, 0.3485384501524848, 0.2006516632821739, -0.5138480788322872, 0.1704337962932263, -0.5232740812098741]| 12.1455574035644531|      1.00000000|[193, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       7|[1.4169264758581779, 0.4154353204849299, 0.5779762968408808, 1.9825380708100684, -0.1244527439403659, 0.3514519535304702, 0.3996076222889076, -0.0558433178842506, 0.4063465731367861, 0.3644006950453068, 0.0667509096009928, 0.3057742990099845, 0.1890825712556949, 0.1310358483730248, 0.5621696910023526, 0.606286379009744, 0.0957973890743037, 0.3485384501524848, 0.2006516632821739, -0.5138480788322872, 0.1704337962932263, -0.5232740812098741]| 12.1455574035644531|      0.50000000|[225, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       8|[1.4169264758581779, 0.4154353204849299, 0.5779762968408808, 1.9825380708100684, -0.1244527439403659, 0.3514519535304702, 0.3996076222889076, -0.0558433178842506, 0.4063465731367861, 0.3644006950453068, 0.0667509096009928, 0.3057742990099845, 0.1890825712556949, 0.1310358483730248, 0.5621696910023526, 0.606286379009744, 0.0957973890743037, 0.3485384501524848, 0.2006516632821739, -0.5138480788322872, 0.1704337962932263, -0.5232740812098741]| 12.1455574035644531|      0.25000000|[257, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       9|[1.4169264758581779, 0.4154353204849299, 0.5779762968408808, 1.9825380708100684, -0.1244527439403659, 0.3514519535304702, 0.3996076222889076, -0.0558433178842506, 0.4063465731367861, 0.3644006950453068, 0.0667509096009928, 0.3057742990099845, 0.1890825712556949, 0.1310358483730248, 0.5621696910023526, 0.606286379009744, 0.0957973890743037, 0.3485384501524848, 0.2006516632821739, -0.5138480788322872, 0.1704337962932263, -0.5232740812098741]| 12.1455574035644531|      0.12500000|[289, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      10|[1.4169264758581779, 0.4154353204849299, 0.5779762968408808, 1.9825380708100684, -0.1244527439403659, 0.3514519535304702, 0.3996076222889076, -0.0558433178842506, 0.4063465731367861, 0.3644006950453068, 0.0667509096009928, 0.3057742990099845, 0.1890825712556949, 0.1310358483730248, 0.5621696910023526, 0.606286379009744, 0.0957973890743037, 0.3485384501524848, 0.2006516632821739, -0.5138480788322872, 0.1704337962932263, -0.5232740812098741]| 12.1455574035644531|      0.06250000|[321, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      11|[1.389662046015467, 0.389031922770896, 0.5822228169444075, 1.940807746266037, -0.1314908237679149, 0.3607761926494559, 0.3931136501109713, -0.0602270123812033, 0.4109010534062472, 0.3627980911297783, 0.0771742322089292, 0.3157222612496287, 0.1848054985180543, 0.1287668913764166, 0.561983302531602, 0.6022046820747294, 0.1058920195933516, 0.3508030889915847, 0.1953207968415913, -0.5091402397958967, 0.1760015966804418, -0.5162901070692132]| 12.1445026397705078|      0.12500000|[353, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
