k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.429869578183427, -0.7695859373961994, -0.4692868582187198, 0.1057637105191263, 0.5963199716829573, 0.1482982764100893, 0.2045675667973459]|52171.3628262399797677|      2.00000000|[12, 0, 1, 2]                                                              |  | used linear model with 12 points | iterate success | actual_k=0
       2|[10.429869578183427, -0.7695859373961994, -0.4692868582187198, 0.1057637105191263, 0.5963199716829573, 0.1482982764100893, 0.2045675667973459]|52171.3628262399797677|      1.00000000|[24, 0, 2, 4]                                                              |  | used linear model with 12 points | iterate failure | actual_k=0
       3|[10.429869578183427, -0.7695859373961994, -0.4692868582187198, 0.1057637105191263, 0.5963199716829573, 0.1482982764100893, 0.2045675667973459]|52171.3628262399797677|      0.50000000|[36, 0, 3, 6]                                                              |  | used linear model with 12 points | iterate failure | actual_k=0
       4|[10.360104997405601, -0.3457490677233102, -0.4435521668908749, 0.1221358429521185, 0.5653203346527971, 0.3405512588487716, 0.0413416394326416]|38338.3563606710449676|      1.00000000|[48, 0, 4, 8]                                                              |  | used linear model with 12 points | iterate success | actual_k=0
       5|[10.360104997405601, -0.3457490677233102, -0.4435521668908749, 0.1221358429521185, 0.5653203346527971, 0.3405512588487716, 0.0413416394326416]|38338.3563606710449676|      0.50000000|[60, 0, 5, 10]                                                             |  | used linear model with 12 points | iterate failure | actual_k=0
       6|[10.360104997405601, -0.3457490677233102, -0.4435521668908749, 0.1221358429521185, 0.5653203346527971, 0.3405512588487716, 0.0413416394326416]|38338.3563606710449676|      0.25000000|[72, 0, 6, 12]                                                             |  | used linear model with 12 points | iterate failure | actual_k=0
       7|[10.360104997405601, -0.3457490677233102, -0.4435521668908749, 0.1221358429521185, 0.5653203346527971, 0.3405512588487716, 0.0413416394326416]|38338.3563606710449676|      0.12500000|[84, 0, 7, 14]                                                             |  | used linear model with 12 points | iterate failure | actual_k=0
       8|[10.360104997405601, -0.3457490677233102, -0.4435521668908749, 0.1221358429521185, 0.5653203346527971, 0.3405512588487716, 0.0413416394326416]|38338.3563606710449676|      0.06250000|[96, 0, 8, 16]                                                             |  | used linear model with 12 points | iterate failure | actual_k=0
       9|[10.360104997405601, -0.3457490677233102, -0.4435521668908749, 0.1221358429521185, 0.5653203346527971, 0.3405512588487716, 0.0413416394326416]|38338.3563606710449676|      0.03125000|[108, 0, 9, 18]                                                            |  | used linear model with 12 points | iterate failure | actual_k=0
      10|[10.362541880267285, -0.3456582793734895, -0.4461226200698434, 0.1303040235607718, 0.5673417630102209, 0.3392746104002708, 0.0114824121899974]|9275.8637925813891343|      0.06250000|[120, 0, 10, 20]                                                           |  | used linear model with 12 points | iterate success | actual_k=0
      11|[10.362541880267285, -0.3456582793734895, -0.4461226200698434, 0.1303040235607718, 0.5673417630102209, 0.3392746104002708, 0.0114824121899974]|9275.8637925813891343|      0.03125000|[132, 0, 11, 22]                                                           |  | used linear model with 12 points | iterate failure | actual_k=0
