k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.2088841472194331, 0.1672966666266942, -0.5200946282109605, -0.3376160671349118, 0.6248036259361581, -0.221477316725177, -0.029033822667759, 0.2650129610377752, 0.182728219251974]|444722.9375000000000000|      2.00000000|[28, 4, 0, 2]                                                              |  | trying quadratic partial model with 15 points | iterate success | actual_k=2
       2|[-0.2088841472194331, 0.1672966666266942, -0.5200946282109605, -0.3376160671349118, 0.6248036259361581, -0.221477316725177, -0.029033822667759, 0.2650129610377752, 0.182728219251974]|444722.9375000000000000|      1.00000000|[90, 14, 0, 7]                                                             |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 51 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[-0.2088841472194331, 0.1672966666266942, -0.5200946282109605, -0.3376160671349118, 0.6248036259361581, -0.221477316725177, -0.029033822667759, 0.2650129610377752, 0.182728219251974]|444722.9375000000000000|      0.50000000|[143, 22, 0, 11]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 42 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[-0.2003560762765437, 0.1612643992237371, -0.370049794309124, 0.0040509168747224, 0.8442623844848094, -0.0252292504610116, -0.008430697746002, 0.3912677948255399, 0.269911254216615]|1162.9307861328125000|      1.00000000|[169, 26, 0, 13]                                                           |  | trying quadratic partial model with 15 points | iterate success | actual_k=2
       5|[-0.2003560762765437, 0.1612643992237371, -0.370049794309124, 0.0040509168747224, 0.8442623844848094, -0.0252292504610116, -0.008430697746002, 0.3912677948255399, 0.269911254216615]|1162.9307861328125000|      0.50000000|[234, 36, 0, 18]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 41 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 53 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[-0.2003560762765437, 0.1612643992237371, -0.370049794309124, 0.0040509168747224, 0.8442623844848094, -0.0252292504610116, -0.008430697746002, 0.3912677948255399, 0.269911254216615]|1162.9307861328125000|      0.25000000|[298, 46, 0, 23]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 53 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[-0.2003560762765437, 0.1612643992237371, -0.370049794309124, 0.0040509168747224, 0.8442623844848094, -0.0252292504610116, -0.008430697746002, 0.3912677948255399, 0.269911254216615]|1162.9307861328125000|      0.12500000|[361, 56, 0, 28]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 51 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[-0.2359441678945688, 0.1659833071452955, -0.3807773225425227, -0.0084056857247225, 0.9449264563503763, 0.027462244962478, -0.00908321903701, 0.3880580448274992, 0.3037579010090413]|255.2051391601562500|      0.25000000|[424, 66, 0, 33]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 52 points | iterate success | actual_k=2
       9|[-0.2359441678945688, 0.1659833071452955, -0.3807773225425227, -0.0084056857247225, 0.9449264563503763, 0.027462244962478, -0.00908321903701, 0.3880580448274992, 0.3037579010090413]|255.2051391601562500|      0.12500000|[489, 76, 0, 38]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 41 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 53 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[-0.2359441678945688, 0.1659833071452955, -0.3807773225425227, -0.0084056857247225, 0.9449264563503763, 0.027462244962478, -0.00908321903701, 0.3880580448274992, 0.3037579010090413]|255.2051391601562500|      0.06250000|[554, 86, 0, 43]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 53 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[-0.2359441678945688, 0.1659833071452955, -0.3807773225425227, -0.0084056857247225, 0.9449264563503763, 0.027462244962478, -0.00908321903701, 0.3880580448274992, 0.3037579010090413]|255.2051391601562500|      0.03125000|[617, 96, 0, 48]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 52 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      12|[-0.231631256222818, 0.1623152484808807, -0.3834140064452842, 0.0037768675253483, 0.951556042188314, 0.0017595601017855, -0.0114347478423127, 0.3792576745173814, 0.3050165948177855]| 86.4871368408203125|      0.06250000|[656, 102, 0, 51]                                                          |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | iterate success | actual_k=2
      13|[-0.231631256222818, 0.1623152484808807, -0.3834140064452842, 0.0037768675253483, 0.951556042188314, 0.0017595601017855, -0.0114347478423127, 0.3792576745173814, 0.3050165948177855]| 86.4871368408203125|      0.03125000|[720, 112, 0, 56]                                                          |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 53 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
