k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.587506612355966, -1.1303461834446513, 0.02486373556206, -0.5643053094868586, -0.5015724575303036, -0.3142374805079196, 0.1244677562552428]|91312.7341354481759481|      2.00000000|[27, 9, 1, 4]                                                              |  | used quadratic model with 36 points | iterate success | actual_k=4
       2|[10.587506612355966, -1.1303461834446513, 0.02486373556206, -0.5643053094868586, -0.5015724575303036, -0.3142374805079196, 0.1244677562552428]|91312.7341354481759481|      1.00000000|[54, 18, 2, 8]                                                             |  | used quadratic model with 36 points | iterate failure | actual_k=4
       3|[10.587506612355966, -1.1303461834446513, 0.02486373556206, -0.5643053094868586, -0.5015724575303036, -0.3142374805079196, 0.1244677562552428]|91312.7341354481759481|      0.50000000|[81, 27, 3, 12]                                                            |  | used quadratic model with 36 points | iterate failure | actual_k=4
       4|[10.587506612355966, -1.1303461834446513, 0.02486373556206, -0.5643053094868586, -0.5015724575303036, -0.3142374805079196, 0.1244677562552428]|91312.7341354481759481|      0.25000000|[109, 35, 4, 16]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=4
       5|[10.587506612355966, -1.1303461834446513, 0.02486373556206, -0.5643053094868586, -0.5015724575303036, -0.3142374805079196, 0.1244677562552428]|91312.7341354481759481|      0.12500000|[135, 45, 5, 20]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=4
       6|[10.603654529392914, -1.1334018641927266, 0.0267718456866273, -0.5424827128372427, -0.501879697073458, -0.3094068353054395, 0.2463349440153009]|71528.4784170949715190|      0.25000000|[161, 55, 6, 24]                                                           |  | used quadratic model with 36 points | iterate success | actual_k=4
       7|[10.57556553198208, -1.1243538105844273, -0.0520886563488982, -0.4743760887948031, -0.4530830718577555, -0.326790609976348, 0.4656254902692412]|62616.9727393068169476|      0.50000000|[189, 63, 7, 28]                                                           |  | used quadratic model with 36 points | iterate success | actual_k=4
       8|[10.588320473403165, -1.0906132049267006, -0.0963210564701425, -0.1931129396935896, -0.3906978761808773, -0.3359937275564711, 0.8701706777619873]|57016.2702410712518031|      1.00000000|[216, 72, 8, 32]                                                           |  | used quadratic model with 36 points | iterate success | actual_k=4
       9|[10.603484941829482, -1.0667006289566765, -0.0586621379710689, 0.7672314901234798, -0.3419478276046309, -0.4498185950912578, 1.1154989107053963]|51001.3363476711019757|      2.00000000|[243, 81, 9, 36]                                                           |  | used quadratic model with 36 points | iterate success | actual_k=4
      10|[10.603484941829482, -1.0667006289566765, -0.0586621379710689, 0.7672314901234798, -0.3419478276046309, -0.4498185950912578, 1.1154989107053963]|51001.3363476711019757|      1.00000000|[270, 90, 10, 40]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=4
      11|[10.810960164478745, -1.202081948700683, -0.2309547623504448, 1.388036840169739, -0.3568747695947908, -0.4309369953752478, 0.392337399848793]|34681.6768665682757273|      2.00000000|[296, 100, 11, 44]                                                         |  | used quadratic model with 36 points | iterate success | actual_k=4
      12|[10.810960164478745, -1.202081948700683, -0.2309547623504448, 1.388036840169739, -0.3568747695947908, -0.4309369953752478, 0.392337399848793]|34681.6768665682757273|      1.00000000|[324, 108, 12, 48]                                                         |  | used quadratic model with 36 points | iterate failure | actual_k=4
      13|[10.810960164478745, -1.202081948700683, -0.2309547623504448, 1.388036840169739, -0.3568747695947908, -0.4309369953752478, 0.392337399848793]|34681.6768665682757273|      0.50000000|[350, 118, 13, 52]                                                         |  | used quadratic model with 36 points | iterate failure | actual_k=4
      14|[10.810960164478745, -1.202081948700683, -0.2309547623504448, 1.388036840169739, -0.3568747695947908, -0.4309369953752478, 0.392337399848793]|34681.6768665682757273|      0.25000000|[378, 126, 14, 56]                                                         |  | used quadratic model with 36 points | iterate failure | actual_k=4
      15|[10.828187973298176, -1.208048102442047, -0.2239750349973474, 1.4666507372510458, -0.3477467676010891, -0.4232486983726181, 0.1561249618329595]|13578.5044923020632268|      0.50000000|[405, 135, 15, 60]                                                         |  | used quadratic model with 36 points | iterate success | actual_k=4
      16|[10.828187973298176, -1.208048102442047, -0.2239750349973474, 1.4666507372510458, -0.3477467676010891, -0.4232486983726181, 0.1561249618329595]|13578.5044923020632268|      0.25000000|[432, 144, 16, 64]                                                         |  | used quadratic model with 36 points | iterate failure | actual_k=4
      17|[10.828187973298176, -1.208048102442047, -0.2239750349973474, 1.4666507372510458, -0.3477467676010891, -0.4232486983726181, 0.1561249618329595]|13578.5044923020632268|      0.12500000|[459, 153, 17, 68]                                                         |  | used quadratic model with 36 points | iterate failure | actual_k=4
      18|[10.828187973298176, -1.208048102442047, -0.2239750349973474, 1.4666507372510458, -0.3477467676010891, -0.4232486983726181, 0.1561249618329595]|13578.5044923020632268|      0.06250000|[486, 162, 18, 72]                                                         |  | used quadratic model with 36 points | iterate failure | actual_k=4
