k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.2486038605839888, 0.177124164888232, -0.1309545449261283, -0.4456045832657144, 0.6984974166735788, 0.3621617484934378, -0.027597416261119, 0.0133785014004071, 0.2666650303201853]|499957.3064088610699400|      2.00000000|[11, 0, 1, 4]                                                              |  | used linear model with 11 points | iterate success | actual_k=0
       2|[-0.2486038605839888, 0.177124164888232, -0.1309545449261283, -0.4456045832657144, 0.6984974166735788, 0.3621617484934378, -0.027597416261119, 0.0133785014004071, 0.2666650303201853]|499957.3064088610699400|      1.00000000|[22, 0, 2, 8]                                                              |  | used linear model with 11 points | iterate failure | actual_k=0
       3|[-0.0228154085089968, 0.3487473346443795, -0.2312453770807363, 0.1833777239072314, 1.3240595747937576, 0.1405155896153806, -0.1683682811143746, 0.0008854500631175, 0.4978803468996532]|50345.1956816277452162|      2.00000000|[33, 0, 3, 12]                                                             |  | used linear model with 11 points | iterate success | actual_k=0
       4|[-0.0228154085089968, 0.3487473346443795, -0.2312453770807363, 0.1833777239072314, 1.3240595747937576, 0.1405155896153806, -0.1683682811143746, 0.0008854500631175, 0.4978803468996532]|50345.1956816277452162|      1.00000000|[44, 0, 4, 16]                                                             |  | used linear model with 11 points | iterate failure | actual_k=0
       5|[0.4627193234102233, 0.3471252447078759, 0.1509041448588614, -0.3220026229843345, 1.3932336393200742, 0.0035599634641445, -0.4732935827780068, 0.0620693838698902, 0.9903648976148705]|7142.1734642846204224|      2.00000000|[55, 0, 5, 20]                                                             |  | used linear model with 11 points | iterate success | actual_k=0
       6|[0.4627193234102233, 0.3471252447078759, 0.1509041448588614, -0.3220026229843345, 1.3932336393200742, 0.0035599634641445, -0.4732935827780068, 0.0620693838698902, 0.9903648976148705]|7142.1734642846204224|      1.00000000|[66, 0, 6, 24]                                                             |  | used linear model with 11 points | iterate failure | actual_k=0
       7|[0.4627193234102233, 0.3471252447078759, 0.1509041448588614, -0.3220026229843345, 1.3932336393200742, 0.0035599634641445, -0.4732935827780068, 0.0620693838698902, 0.9903648976148705]|7142.1734642846204224|      0.50000000|[77, 0, 7, 28]                                                             |  | used linear model with 11 points | iterate failure | actual_k=0
       8|[0.4627193234102233, 0.3471252447078759, 0.1509041448588614, -0.3220026229843345, 1.3932336393200742, 0.0035599634641445, -0.4732935827780068, 0.0620693838698902, 0.9903648976148705]|7142.1734642846204224|      0.25000000|[88, 0, 8, 32]                                                             |  | used linear model with 11 points | iterate failure | actual_k=0
       9|[0.4444290570005091, 0.3982122165493469, 0.1123077347678138, -0.2164417796935413, 1.3155927349556773, 0.1392289468619057, -0.6075984477917157, 0.0954542208030182, 0.9326043075517036]|1712.8618063979670296|      0.50000000|[99, 0, 9, 36]                                                             |  | used linear model with 11 points | iterate success | actual_k=0
      10|[0.4444290570005091, 0.3982122165493469, 0.1123077347678138, -0.2164417796935413, 1.3155927349556773, 0.1392289468619057, -0.6075984477917157, 0.0954542208030182, 0.9326043075517036]|1712.8618063979670296|      0.25000000|[110, 0, 10, 40]                                                           |  | used linear model with 11 points | iterate failure | actual_k=0
      11|[0.4444290570005091, 0.3982122165493469, 0.1123077347678138, -0.2164417796935413, 1.3155927349556773, 0.1392289468619057, -0.6075984477917157, 0.0954542208030182, 0.9326043075517036]|1712.8618063979670296|      0.12500000|[121, 0, 11, 44]                                                           |  | used linear model with 11 points | iterate failure | actual_k=0
      12|[0.4444290570005091, 0.3982122165493469, 0.1123077347678138, -0.2164417796935413, 1.3155927349556773, 0.1392289468619057, -0.6075984477917157, 0.0954542208030182, 0.9326043075517036]|1712.8618063979670296|      0.06250000|[132, 0, 12, 48]                                                           |  | used linear model with 11 points | iterate failure | actual_k=0
