k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6064788437743046, 0.0451013665320348, 0.1335171535383528, 0.7795401198573192, -0.0014612436027822, 0.0034526373528452, 0.0055551032591168, 0.0220972971895557, 0.0029343755395911, -0.028190718659066, 0.0088407977704152, 0.0247298232461109, 0.0085748478844332, -0.0178064420755216, -0.0229670139719998, 0.0126972181141673, 0.0244425036743631, 0.0022484488021331, 0.0109952983235146, 0.0087417120339739, 0.0121457037506682, -0.0242233177855988]| 13.1544418334960938|      2.00000000|[118, 8, 0, 2]                                                             |  | trying linear partial model with 61 points | iterate success | actual_k=4
       2|[1.834040444565137, 0.0831034228094512, 0.3966307531465356, 2.317725838888775, 0.0658127351733118, 0.0984506033464505, -0.0277697739781037, -0.0879306543947732, 0.0497505198992362, -0.0029820293389579, 0.0535344617748808, 0.0099264394815815, -0.0204497259083217, -0.102885655447604, -0.0551303292225445, 0.0663088751616177, 0.0935309459969978, 0.0040252997916435, -0.0165244221066752, -0.0148784718869847, -0.0532407239224634, 0.0230704959161079]| 12.2724685668945312|      4.00000000|[235, 16, 0, 4]                                                            |  | trying linear partial model with 61 points | iterate success | actual_k=4
       3|[1.834040444565137, 0.0831034228094512, 0.3966307531465356, 2.317725838888775, 0.0658127351733118, 0.0984506033464505, -0.0277697739781037, -0.0879306543947732, 0.0497505198992362, -0.0029820293389579, 0.0535344617748808, 0.0099264394815815, -0.0204497259083217, -0.102885655447604, -0.0551303292225445, 0.0663088751616177, 0.0935309459969978, 0.0040252997916435, -0.0165244221066752, -0.0148784718869847, -0.0532407239224634, 0.0230704959161079]| 12.2724685668945312|      2.00000000|[352, 24, 0, 6]                                                            |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       4|[1.834040444565137, 0.0831034228094512, 0.3966307531465356, 2.317725838888775, 0.0658127351733118, 0.0984506033464505, -0.0277697739781037, -0.0879306543947732, 0.0497505198992362, -0.0029820293389579, 0.0535344617748808, 0.0099264394815815, -0.0204497259083217, -0.102885655447604, -0.0551303292225445, 0.0663088751616177, 0.0935309459969978, 0.0040252997916435, -0.0165244221066752, -0.0148784718869847, -0.0532407239224634, 0.0230704959161079]| 12.2724685668945312|      1.00000000|[470, 32, 0, 8]                                                            |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       5|[1.248435983355477, 0.0918115296695195, 0.3189992473108267, 1.6686002931685573, -0.0323416077029181, 0.1383392273765715, -0.209657669354117, -0.2219898653652452, 0.1561620843439335, -0.0351052911795257, 0.1026259246904387, -0.0066385872857612, 0.0578378311040591, -0.1146398970644095, -0.2762498813371075, 0.3047698899977335, 0.1238972283193176, 0.0216470770490505, -0.0858669521804745, -0.0784825151789462, 0.0389955179917685, 0.1702512262967126]| 12.2029342651367188|      2.00000000|[587, 40, 0, 10]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       6|[1.248435983355477, 0.0918115296695195, 0.3189992473108267, 1.6686002931685573, -0.0323416077029181, 0.1383392273765715, -0.209657669354117, -0.2219898653652452, 0.1561620843439335, -0.0351052911795257, 0.1026259246904387, -0.0066385872857612, 0.0578378311040591, -0.1146398970644095, -0.2762498813371075, 0.3047698899977335, 0.1238972283193176, 0.0216470770490505, -0.0858669521804745, -0.0784825151789462, 0.0389955179917685, 0.1702512262967126]| 12.2029342651367188|      1.00000000|[704, 48, 0, 12]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       7|[1.248435983355477, 0.0918115296695195, 0.3189992473108267, 1.6686002931685573, -0.0323416077029181, 0.1383392273765715, -0.209657669354117, -0.2219898653652452, 0.1561620843439335, -0.0351052911795257, 0.1026259246904387, -0.0066385872857612, 0.0578378311040591, -0.1146398970644095, -0.2762498813371075, 0.3047698899977335, 0.1238972283193176, 0.0216470770490505, -0.0858669521804745, -0.0784825151789462, 0.0389955179917685, 0.1702512262967126]| 12.2029342651367188|      0.50000000|[822, 56, 0, 14]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       8|[1.5794498908478467, 0.1043261909852988, 0.4071729793000337, 2.016422507218292, 7.31990118254e-05, 0.1205183048638653, -0.2205601903818304, -0.2095208961862019, 0.2052384895422764, -0.0524193260987022, 0.118537884600134, 0.0145145772357972, 0.0207237708945759, -0.1091236522148167, -0.2868763226632122, 0.272860975630351, 0.0870262974732557, 0.009174106764061, -0.1030996917926235, -0.0852025417148088, 0.0036796794093449, 0.1989454387778462]| 12.1529626846313477|      1.00000000|[939, 64, 0, 16]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       9|[1.5794498908478467, 0.1043261909852988, 0.4071729793000337, 2.016422507218292, 7.31990118254e-05, 0.1205183048638653, -0.2205601903818304, -0.2095208961862019, 0.2052384895422764, -0.0524193260987022, 0.118537884600134, 0.0145145772357972, 0.0207237708945759, -0.1091236522148167, -0.2868763226632122, 0.272860975630351, 0.0870262974732557, 0.009174106764061, -0.1030996917926235, -0.0852025417148088, 0.0036796794093449, 0.1989454387778462]| 12.1529626846313477|      0.50000000|[1056, 72, 0, 18]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      10|[1.5794498908478467, 0.1043261909852988, 0.4071729793000337, 2.016422507218292, 7.31990118254e-05, 0.1205183048638653, -0.2205601903818304, -0.2095208961862019, 0.2052384895422764, -0.0524193260987022, 0.118537884600134, 0.0145145772357972, 0.0207237708945759, -0.1091236522148167, -0.2868763226632122, 0.272860975630351, 0.0870262974732557, 0.009174106764061, -0.1030996917926235, -0.0852025417148088, 0.0036796794093449, 0.1989454387778462]| 12.1529626846313477|      0.25000000|[1174, 80, 0, 20]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      11|[1.5794498908478467, 0.1043261909852988, 0.4071729793000337, 2.016422507218292, 7.31990118254e-05, 0.1205183048638653, -0.2205601903818304, -0.2095208961862019, 0.2052384895422764, -0.0524193260987022, 0.118537884600134, 0.0145145772357972, 0.0207237708945759, -0.1091236522148167, -0.2868763226632122, 0.272860975630351, 0.0870262974732557, 0.009174106764061, -0.1030996917926235, -0.0852025417148088, 0.0036796794093449, 0.1989454387778462]| 12.1529626846313477|      0.12500000|[1291, 88, 0, 22]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      12|[1.5019304713760453, 0.0986226872770047, 0.394255250527616, 1.9199097567465297, -0.0004869157326314, 0.1170339922170893, -0.2237704907442325, -0.2108415530753223, 0.2056996667842297, -0.0504512256153737, 0.1156869412071686, 0.0167580900749031, 0.0243091776924691, -0.1074412954074229, -0.2873916641745136, 0.2711854400881556, 0.0861000199260245, 0.0116576862117426, -0.1016506918042389, -0.0872796928233835, 0.0065115554214649, 0.2033795083238615]| 12.1446123123168945|      0.25000000|[1408, 96, 0, 24]                                                          |  | trying linear partial model with 61 points | iterate success | actual_k=4
      13|[1.5019304713760453, 0.0986226872770047, 0.394255250527616, 1.9199097567465297, -0.0004869157326314, 0.1170339922170893, -0.2237704907442325, -0.2108415530753223, 0.2056996667842297, -0.0504512256153737, 0.1156869412071686, 0.0167580900749031, 0.0243091776924691, -0.1074412954074229, -0.2873916641745136, 0.2711854400881556, 0.0861000199260245, 0.0116576862117426, -0.1016506918042389, -0.0872796928233835, 0.0065115554214649, 0.2033795083238615]| 12.1446123123168945|      0.12500000|[1525, 104, 0, 26]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      14|[1.5019304713760453, 0.0986226872770047, 0.394255250527616, 1.9199097567465297, -0.0004869157326314, 0.1170339922170893, -0.2237704907442325, -0.2108415530753223, 0.2056996667842297, -0.0504512256153737, 0.1156869412071686, 0.0167580900749031, 0.0243091776924691, -0.1074412954074229, -0.2873916641745136, 0.2711854400881556, 0.0861000199260245, 0.0116576862117426, -0.1016506918042389, -0.0872796928233835, 0.0065115554214649, 0.2033795083238615]| 12.1446123123168945|      0.06250000|[1643, 112, 0, 28]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      15|[1.5019304713760453, 0.0986226872770047, 0.394255250527616, 1.9199097567465297, -0.0004869157326314, 0.1170339922170893, -0.2237704907442325, -0.2108415530753223, 0.2056996667842297, -0.0504512256153737, 0.1156869412071686, 0.0167580900749031, 0.0243091776924691, -0.1074412954074229, -0.2873916641745136, 0.2711854400881556, 0.0861000199260245, 0.0116576862117426, -0.1016506918042389, -0.0872796928233835, 0.0065115554214649, 0.2033795083238615]| 12.1446123123168945|      0.03125000|[1760, 120, 0, 30]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      16|[1.5019304713760453, 0.0986226872770047, 0.394255250527616, 1.9199097567465297, -0.0004869157326314, 0.1170339922170893, -0.2237704907442325, -0.2108415530753223, 0.2056996667842297, -0.0504512256153737, 0.1156869412071686, 0.0167580900749031, 0.0243091776924691, -0.1074412954074229, -0.2873916641745136, 0.2711854400881556, 0.0861000199260245, 0.0116576862117426, -0.1016506918042389, -0.0872796928233835, 0.0065115554214649, 0.2033795083238615]| 12.1446123123168945|      0.01562500|[1877, 128, 0, 32]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      17|[1.5019304713760453, 0.0986226872770047, 0.394255250527616, 1.9199097567465297, -0.0004869157326314, 0.1170339922170893, -0.2237704907442325, -0.2108415530753223, 0.2056996667842297, -0.0504512256153737, 0.1156869412071686, 0.0167580900749031, 0.0243091776924691, -0.1074412954074229, -0.2873916641745136, 0.2711854400881556, 0.0861000199260245, 0.0116576862117426, -0.1016506918042389, -0.0872796928233835, 0.0065115554214649, 0.2033795083238615]| 12.1446123123168945|      0.00781250|[1994, 136, 0, 34]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
