k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1394105258298981, -0.1093283339407971, -0.3995891904922025, 0.044763370923292, 0.7128332278390725, 0.2646892745051774, -0.01710394233609, 0.2521919982991056, 0.4060194189344277]|77085.0970498764945660|      2.00000000|[14, 0, 1, 2]                                                              |  | used linear model with 14 points | iterate success | actual_k=1
       2|[-0.1394105258298981, -0.1093283339407971, -0.3995891904922025, 0.044763370923292, 0.7128332278390725, 0.2646892745051774, -0.01710394233609, 0.2521919982991056, 0.4060194189344277]|77085.0970498764945660|      1.00000000|[27, 1, 2, 4]                                                              |  | used linear model with 14 points | iterate failure | actual_k=1
       3|[-0.1394105258298981, -0.1093283339407971, -0.3995891904922025, 0.044763370923292, 0.7128332278390725, 0.2646892745051774, -0.01710394233609, 0.2521919982991056, 0.4060194189344277]|77085.0970498764945660|      0.50000000|[40, 2, 3, 6]                                                              |  | used linear model with 14 points | iterate failure | actual_k=1
       4|[-0.2057747693670894, -0.0020628170050013, -0.4450257152250719, -0.1542933213017446, 0.9686263053529554, 0.0181039771414577, 0.1922982412325243, 0.1483728442900746, 0.2985961767825199]|41190.8227480791902053|      1.00000000|[53, 3, 4, 8]                                                              |  | used linear model with 14 points | iterate success | actual_k=1
       5|[-0.2057747693670894, -0.0020628170050013, -0.4450257152250719, -0.1542933213017446, 0.9686263053529554, 0.0181039771414577, 0.1922982412325243, 0.1483728442900746, 0.2985961767825199]|41190.8227480791902053|      0.50000000|[66, 4, 5, 10]                                                             |  | used linear model with 14 points | iterate failure | actual_k=1
       6|[-0.2057747693670894, -0.0020628170050013, -0.4450257152250719, -0.1542933213017446, 0.9686263053529554, 0.0181039771414577, 0.1922982412325243, 0.1483728442900746, 0.2985961767825199]|41190.8227480791902053|      0.25000000|[79, 5, 6, 12]                                                             |  | used linear model with 14 points | iterate failure | actual_k=1
       7|[-0.1942404158401607, -0.0369912130646924, -0.4801768951165563, 0.0418443436542803, 0.9467468921199692, 0.0634520715234977, 0.0770177588693036, 0.1911052166626951, 0.3601638072814802]|4439.0709161181512172|      0.50000000|[92, 6, 7, 14]                                                             |  | used linear model with 14 points | iterate success | actual_k=1
       8|[-0.1942404158401607, -0.0369912130646924, -0.4801768951165563, 0.0418443436542803, 0.9467468921199692, 0.0634520715234977, 0.0770177588693036, 0.1911052166626951, 0.3601638072814802]|4439.0709161181512172|      0.25000000|[105, 7, 8, 16]                                                            |  | used linear model with 14 points | iterate failure | actual_k=1
       9|[-0.1942404158401607, -0.0369912130646924, -0.4801768951165563, 0.0418443436542803, 0.9467468921199692, 0.0634520715234977, 0.0770177588693036, 0.1911052166626951, 0.3601638072814802]|4439.0709161181512172|      0.12500000|[119, 7, 9, 18]                                                            |  | used linear model with 14 points | iterate failure | actual_k=1
      10|[-0.1942404158401607, -0.0369912130646924, -0.4801768951165563, 0.0418443436542803, 0.9467468921199692, 0.0634520715234977, 0.0770177588693036, 0.1911052166626951, 0.3601638072814802]|4439.0709161181512172|      0.06250000|[133, 7, 10, 20]                                                           |  | used linear model with 14 points | iterate failure | actual_k=1
      11|[-0.2152350375056145, -0.033187370559065, -0.4882539751903737, 0.0047678345791251, 0.9275444705003374, 0.0304780031579136, 0.0996908288446931, 0.1854652366859316, 0.363196996809748]|229.7089558657492034|      0.12500000|[146, 8, 11, 22]                                                           |  | used linear model with 14 points | iterate success | actual_k=1
      12|[-0.2152350375056145, -0.033187370559065, -0.4882539751903737, 0.0047678345791251, 0.9275444705003374, 0.0304780031579136, 0.0996908288446931, 0.1854652366859316, 0.363196996809748]|229.7089558657492034|      0.06250000|[159, 9, 12, 24]                                                           |  | used linear model with 14 points | iterate failure | actual_k=1
      13|[-0.2152350375056145, -0.033187370559065, -0.4882539751903737, 0.0047678345791251, 0.9275444705003374, 0.0304780031579136, 0.0996908288446931, 0.1854652366859316, 0.363196996809748]|229.7089558657492034|      0.03125000|[172, 10, 13, 26]                                                          |  | used linear model with 14 points | iterate failure | actual_k=1
      14|[-0.2113965790297108, -0.0501389628143541, -0.4785941540942214, 0.0005573758313888, 0.9335245444686441, 0.0136306988735569, 0.0938072971131631, 0.1711624737386523, 0.3610396303167707]| 71.0715154675118441|      0.06250000|[185, 11, 14, 28]                                                          |  | used linear model with 14 points | iterate success | actual_k=1
      15|[-0.2113965790297108, -0.0501389628143541, -0.4785941540942214, 0.0005573758313888, 0.9335245444686441, 0.0136306988735569, 0.0938072971131631, 0.1711624737386523, 0.3610396303167707]| 71.0715154675118441|      0.03125000|[198, 12, 15, 30]                                                          |  | used linear model with 14 points | iterate failure | actual_k=1
      16|[-0.2113965790297108, -0.0501389628143541, -0.4785941540942214, 0.0005573758313888, 0.9335245444686441, 0.0136306988735569, 0.0938072971131631, 0.1711624737386523, 0.3610396303167707]| 71.0715154675118441|      0.01562500|[212, 12, 16, 32]                                                          |  | used linear model with 14 points | iterate failure | actual_k=1
      17|[-0.2113965790297108, -0.0501389628143541, -0.4785941540942214, 0.0005573758313888, 0.9335245444686441, 0.0136306988735569, 0.0938072971131631, 0.1711624737386523, 0.3610396303167707]| 71.0715154675118441|      0.00781250|[225, 13, 17, 34]                                                          |  | used linear model with 14 points | iterate failure | actual_k=1
      18|[-0.2113965790297108, -0.0501389628143541, -0.4785941540942214, 0.0005573758313888, 0.9335245444686441, 0.0136306988735569, 0.0938072971131631, 0.1711624737386523, 0.3610396303167707]| 71.0715154675118441|      0.00390625|[238, 14, 18, 36]                                                          |  | used linear model with 14 points | iterate failure | actual_k=1
      19|[-0.2114769636519704, -0.0502067984822116, -0.4785566861045435, 0.0044030471267707, 0.9341504328240132, 0.0137921073504545, 0.0936734594630631, 0.1713013265307887, 0.3609932342983431]| 49.0080384662844111|      0.00781250|[251, 15, 19, 38]                                                          |  | used linear model with 14 points | iterate success | actual_k=1
      20|[-0.2114769636519704, -0.0502067984822116, -0.4785566861045435, 0.0044030471267707, 0.9341504328240132, 0.0137921073504545, 0.0936734594630631, 0.1713013265307887, 0.3609932342983431]| 49.0080384662844111|      0.00390625|[265, 15, 20, 40]                                                          |  | used linear model with 14 points | iterate failure | actual_k=1
      21|[-0.2123141058688509, -0.0489971710954395, -0.4787423330722945, 0.0026211039658521, 0.9369819808983003, 0.0130366330287034, 0.093562478261164, 0.1706664981350558, 0.3619319927678012]| 47.3547819881555228|      0.00781250|[278, 16, 21, 42]                                                          |  | used linear model with 14 points | iterate success | actual_k=1
      22|[-0.2123141058688509, -0.0489971710954395, -0.4787423330722945, 0.0026211039658521, 0.9369819808983003, 0.0130366330287034, 0.093562478261164, 0.1706664981350558, 0.3619319927678012]| 47.3547819881555228|      0.00390625|[291, 17, 22, 44]                                                          |  | used linear model with 14 points | iterate failure | actual_k=1
      23|[-0.2123141058688509, -0.0489971710954395, -0.4787423330722945, 0.0026211039658521, 0.9369819808983003, 0.0130366330287034, 0.093562478261164, 0.1706664981350558, 0.3619319927678012]| 47.3547819881555228|      0.00195312|[304, 18, 23, 46]                                                          |  | used linear model with 14 points | iterate failure | actual_k=1
      24|[-0.2117841513544406, -0.0491600176600291, -0.4793217330185298, 0.0040812694364692, 0.9370720461737135, 0.0136361177263654, 0.0931410625605259, 0.1711495616554196, 0.3624429758999944]| 43.2721284958340178|      0.00390625|[317, 19, 24, 48]                                                          |  | used linear model with 14 points | iterate success | actual_k=1
      25|[-0.2123665318364292, -0.0499286070686784, -0.4785668452802884, 0.0043527173904617, 0.9406431251972713, 0.0140623104641308, 0.093943366949349, 0.1712723958915247, 0.3621391229019277]| 37.6929421588973383|      0.00781250|[330, 20, 25, 50]                                                          |  | used linear model with 14 points | iterate success | actual_k=1
      26|[-0.2123665318364292, -0.0499286070686784, -0.4785668452802884, 0.0043527173904617, 0.9406431251972713, 0.0140623104641308, 0.093943366949349, 0.1712723958915247, 0.3621391229019277]| 37.6929421588973383|      0.00390625|[343, 21, 26, 52]                                                          |  | used linear model with 14 points | iterate failure | actual_k=1
