k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.848640228011643, -0.5635577875474382, -0.1631979288940378, -0.5655928479104675, 0.0368121468103796, 0.431120499290355, 0.4782574104167041]|63752.5795167876058258|      2.00000000|[36, 0, 1, 4]                                                              |  | used quadratic model with 36 points | iterate success | actual_k=0
       2|[9.848640228011643, -0.5635577875474382, -0.1631979288940378, -0.5655928479104675, 0.0368121468103796, 0.431120499290355, 0.4782574104167041]|63752.5795167876058258|      1.00000000|[72, 0, 2, 8]                                                              |  | used quadratic model with 36 points | iterate failure | actual_k=0
       3|[10.197623328981406, -0.852121190179223, 0.1883125224163315, -0.6984003634593923, 0.417919249472958, 0.6885211319520204, -0.1867589915899734]|33570.3117678040944156|      2.00000000|[108, 0, 3, 12]                                                            |  | used quadratic model with 36 points | iterate success | actual_k=0
       4|[10.197623328981406, -0.852121190179223, 0.1883125224163315, -0.6984003634593923, 0.417919249472958, 0.6885211319520204, -0.1867589915899734]|33570.3117678040944156|      1.00000000|[144, 0, 4, 16]                                                            |  | used quadratic model with 36 points | iterate failure | actual_k=0
       5|[10.48015718021403, -1.4090081837465913, 0.3964702357077264, -1.0433673736387883, -0.0654615241692297, 0.2282446037787776, -0.139767791624325]|18594.5124882211930526|      2.00000000|[180, 0, 5, 20]                                                            |  | used quadratic model with 36 points | iterate success | actual_k=0
       6|[10.48015718021403, -1.4090081837465913, 0.3964702357077264, -1.0433673736387883, -0.0654615241692297, 0.2282446037787776, -0.139767791624325]|18594.5124882211930526|      1.00000000|[216, 0, 6, 24]                                                            |  | used quadratic model with 36 points | iterate failure | actual_k=0
       7|[10.48015718021403, -1.4090081837465913, 0.3964702357077264, -1.0433673736387883, -0.0654615241692297, 0.2282446037787776, -0.139767791624325]|18594.5124882211930526|      0.50000000|[252, 0, 7, 28]                                                            |  | used quadratic model with 36 points | iterate failure | actual_k=0
       8|[10.48015718021403, -1.4090081837465913, 0.3964702357077264, -1.0433673736387883, -0.0654615241692297, 0.2282446037787776, -0.139767791624325]|18594.5124882211930526|      0.25000000|[288, 0, 8, 32]                                                            |  | used quadratic model with 36 points | iterate failure | actual_k=0
       9|[10.48015718021403, -1.4090081837465913, 0.3964702357077264, -1.0433673736387883, -0.0654615241692297, 0.2282446037787776, -0.139767791624325]|18594.5124882211930526|      0.12500000|[324, 0, 9, 36]                                                            |  | used quadratic model with 36 points | iterate failure | actual_k=0
      10|[10.48015718021403, -1.4090081837465913, 0.3964702357077264, -1.0433673736387883, -0.0654615241692297, 0.2282446037787776, -0.139767791624325]|18594.5124882211930526|      0.06250000|[360, 0, 10, 40]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=0
      11|[10.480723332474952, -1.4092083496813466, 0.3966640365415576, -1.051386692425179, -0.0667125268650424, 0.2283484207170344, -0.0778003276859528]|8911.8830537276462564|      0.12500000|[396, 0, 11, 44]                                                           |  | used quadratic model with 36 points | iterate success | actual_k=0
      12|[10.480723332474952, -1.4092083496813466, 0.3966640365415576, -1.051386692425179, -0.0667125268650424, 0.2283484207170344, -0.0778003276859528]|8911.8830537276462564|      0.06250000|[432, 0, 12, 48]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=0
      13|[10.480723332474952, -1.4092083496813466, 0.3966640365415576, -1.051386692425179, -0.0667125268650424, 0.2283484207170344, -0.0778003276859528]|8911.8830537276462564|      0.03125000|[468, 0, 13, 52]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=0
      14|[10.480723332474952, -1.4092083496813466, 0.3966640365415576, -1.051386692425179, -0.0667125268650424, 0.2283484207170344, -0.0778003276859528]|8911.8830537276462564|      0.01562500|[504, 0, 14, 56]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=0
      15|[10.480723332474952, -1.4092083496813466, 0.3966640365415576, -1.051386692425179, -0.0667125268650424, 0.2283484207170344, -0.0778003276859528]|8911.8830537276462564|      0.00781250|[540, 0, 15, 60]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=0
      16|[10.480723332474952, -1.4092083496813466, 0.3966640365415576, -1.051386692425179, -0.0667125268650424, 0.2283484207170344, -0.0778003276859528]|8911.8830537276462564|      0.00390625|[576, 0, 16, 64]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=0
      17|[10.480723332474952, -1.4092083496813466, 0.3966640365415576, -1.051386692425179, -0.0667125268650424, 0.2283484207170344, -0.0778003276859528]|8911.8830537276462564|      0.00195312|[612, 0, 17, 68]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=0
      18|[10.480664151066058, -1.4093479639920286, 0.3964057777288098, -1.0521555345601705, -0.0667335062055897, 0.2267794678291836, -0.076980673166784]|8905.0272358323818480|      0.00390625|[648, 0, 18, 72]                                                           |  | used quadratic model with 36 points | iterate success | actual_k=0
