k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.931549220448096, -1.1580745023208316, 0.2124723029714374, -0.4547337594209909, 0.211418680253161, 0.8090345100289226, 0.1260803233471604]|81867.4429410796728916|      2.00000000|[28, 8, 1, 4]                                                              |  | used quadratic model with 36 points | iterate success | actual_k=4
       2|[9.931549220448096, -1.1580745023208316, 0.2124723029714374, -0.4547337594209909, 0.211418680253161, 0.8090345100289226, 0.1260803233471604]|81867.4429410796728916|      1.00000000|[55, 17, 2, 8]                                                             |  | used quadratic model with 36 points | iterate failure | actual_k=4
       3|[10.481432768708055, -1.1618094912193822, -0.0429821637174044, 0.2059618182962393, 0.1582057328768018, 0.9305568093964324, -0.2961035409022139]|60352.4517260629145312|      2.00000000|[83, 25, 3, 12]                                                            |  | used quadratic model with 36 points | iterate success | actual_k=4
       4|[10.481432768708055, -1.1618094912193822, -0.0429821637174044, 0.2059618182962393, 0.1582057328768018, 0.9305568093964324, -0.2961035409022139]|60352.4517260629145312|      1.00000000|[110, 34, 4, 16]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=4
       5|[10.481432768708055, -1.1618094912193822, -0.0429821637174044, 0.2059618182962393, 0.1582057328768018, 0.9305568093964324, -0.2961035409022139]|60352.4517260629145312|      0.50000000|[136, 44, 5, 20]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=4
       6|[10.579092875015418, -1.1623883225466816, -0.0335533635574021, -0.2401385748221929, 0.2255147618246008, 0.967217310059467, -0.4844999524675419]|52215.0550493680420914|      1.00000000|[163, 53, 6, 24]                                                           |  | used quadratic model with 36 points | iterate success | actual_k=4
       7|[9.877580760927119, -1.2414092437038977, 0.4032922156534426, -0.7200738096135546, 0.4477961183995027, 0.8285159880051258, -0.5932082774299461]|47689.8944108061914449|      2.00000000|[190, 62, 7, 28]                                                           |  | used quadratic model with 36 points | iterate success | actual_k=4
       8|[9.877580760927119, -1.2414092437038977, 0.4032922156534426, -0.7200738096135546, 0.4477961183995027, 0.8285159880051258, -0.5932082774299461]|47689.8944108061914449|      1.00000000|[218, 70, 8, 32]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=4
       9|[9.877580760927119, -1.2414092437038977, 0.4032922156534426, -0.7200738096135546, 0.4477961183995027, 0.8285159880051258, -0.5932082774299461]|47689.8944108061914449|      0.50000000|[245, 79, 9, 36]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=4
      10|[9.885851655443338, -1.2412599060767815, 0.4303340499194719, -1.0008747949748915, 0.4286593056047897, 0.8537564886504363, -0.1816893649301195]|25637.2986668436096807|      1.00000000|[272, 88, 10, 40]                                                          |  | used quadratic model with 36 points | iterate success | actual_k=4
      11|[9.885851655443338, -1.2412599060767815, 0.4303340499194719, -1.0008747949748915, 0.4286593056047897, 0.8537564886504363, -0.1816893649301195]|25637.2986668436096807|      0.50000000|[300, 96, 11, 44]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=4
      12|[9.885851655443338, -1.2412599060767815, 0.4303340499194719, -1.0008747949748915, 0.4286593056047897, 0.8537564886504363, -0.1816893649301195]|25637.2986668436096807|      0.25000000|[327, 105, 12, 48]                                                         |  | used quadratic model with 36 points | iterate failure | actual_k=4
      13|[9.885851655443338, -1.2412599060767815, 0.4303340499194719, -1.0008747949748915, 0.4286593056047897, 0.8537564886504363, -0.1816893649301195]|25637.2986668436096807|      0.12500000|[353, 115, 13, 52]                                                         |  | used quadratic model with 36 points | iterate failure | actual_k=4
      14|[9.885851655443338, -1.2412599060767815, 0.4303340499194719, -1.0008747949748915, 0.4286593056047897, 0.8537564886504363, -0.1816893649301195]|25637.2986668436096807|      0.06250000|[380, 124, 14, 56]                                                         |  | used quadratic model with 36 points | iterate failure | actual_k=4
      15|[9.886534186607618, -1.2399515345628613, 0.431847488413076, -1.0104793949898754, 0.4302536101469805, 0.8545771758064447, -0.1199939992752479]|16607.7662844210244657|      0.12500000|[407, 133, 15, 60]                                                         |  | used quadratic model with 36 points | iterate success | actual_k=4
      16|[9.886534186607618, -1.2399515345628613, 0.431847488413076, -1.0104793949898754, 0.4302536101469805, 0.8545771758064447, -0.1199939992752479]|16607.7662844210244657|      0.06250000|[434, 142, 16, 64]                                                         |  | used quadratic model with 36 points | iterate failure | actual_k=4
      17|[9.886534186607618, -1.2399515345628613, 0.431847488413076, -1.0104793949898754, 0.4302536101469805, 0.8545771758064447, -0.1199939992752479]|16607.7662844210244657|      0.03125000|[462, 150, 17, 68]                                                         |  | used quadratic model with 36 points | iterate failure | actual_k=4
      18|[9.886154360962925, -1.2427120412573711, 0.4318485576367311, -1.0154718531179825, 0.4307852994701403, 0.8536326665191913, -0.0892906052505641]|14433.1733905283581407|      0.06250000|[489, 159, 18, 72]                                                         |  | used quadratic model with 36 points | iterate success | actual_k=4
