k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.712051319996153, -0.8366200600555344, 0.0916618819424523, 0.2384285431029198, 0.2670939399563102, -0.4603064748001604, 0.3071618740943203]|50409.0585937500000000|      2.00000000|[40, 6, 0, 3]                                                              |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | iterate success | actual_k=2
       2|[10.65586583775526, -0.4438970946702592, 0.39707884249732, 1.2078210932322868, 1.1399571047447439, 0.7888909919109286, 1.0051776423414143]|47800.8164062500000000|      4.00000000|[79, 12, 0, 6]                                                             |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | iterate success | actual_k=2
       3|[10.65586583775526, -0.4438970946702592, 0.39707884249732, 1.2078210932322868, 1.1399571047447439, 0.7888909919109286, 1.0051776423414143]|47800.8164062500000000|      2.00000000|[119, 18, 0, 9]                                                            |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[9.65011548312237, 0.7840337015240588, 0.0783948490798485, 1.894340773323073, 1.3971860464084855, 1.0457884693988133, 0.1244845160301741]|5451.8608398437500000|      4.00000000|[146, 22, 0, 11]                                                           |  | trying quadratic partial model with 15 points | iterate success | actual_k=2
       5|[9.65011548312237, 0.7840337015240588, 0.0783948490798485, 1.894340773323073, 1.3971860464084855, 1.0457884693988133, 0.1244845160301741]|5451.8608398437500000|      2.00000000|[186, 28, 0, 14]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[9.65011548312237, 0.7840337015240588, 0.0783948490798485, 1.894340773323073, 1.3971860464084855, 1.0457884693988133, 0.1244845160301741]|5451.8608398437500000|      1.00000000|[225, 34, 0, 17]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[9.65011548312237, 0.7840337015240588, 0.0783948490798485, 1.894340773323073, 1.3971860464084855, 1.0457884693988133, 0.1244845160301741]|5451.8608398437500000|      0.50000000|[264, 40, 0, 20]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[9.65011548312237, 0.7840337015240588, 0.0783948490798485, 1.894340773323073, 1.3971860464084855, 1.0457884693988133, 0.1244845160301741]|5451.8608398437500000|      0.25000000|[303, 46, 0, 23]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[9.65011548312237, 0.7840337015240588, 0.0783948490798485, 1.894340773323073, 1.3971860464084855, 1.0457884693988133, 0.1244845160301741]|5451.8608398437500000|      0.12500000|[353, 54, 0, 27]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 39 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[9.65011548312237, 0.7840337015240588, 0.0783948490798485, 1.894340773323073, 1.3971860464084855, 1.0457884693988133, 0.1244845160301741]|5451.8608398437500000|      0.06250000|[403, 62, 0, 31]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 39 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
