k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      0.50000000|[4, 0, 1, 2]                                                               |  | used linear model with 4 points | iterate failure | actual_k=0
       2|[0.4606389459495005, -1.0793631162624995, 19.971901968377853]                   |493.3866917305439301|      1.00000000|[8, 0, 2, 4]                                                               |  | used linear model with 4 points | iterate success | actual_k=0
       3|[0.4606389459495005, -1.0793631162624995, 19.971901968377853]                   |493.3866917305439301|      0.50000000|[12, 0, 3, 6]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       4|[0.4606389459495005, -1.0793631162624995, 19.971901968377853]                   |493.3866917305439301|      0.25000000|[16, 0, 4, 8]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       5|[0.4606389459495005, -1.0793631162624995, 19.971901968377853]                   |493.3866917305439301|      0.12500000|[20, 0, 5, 10]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       6|[0.4606389459495005, -1.0793631162624995, 19.971901968377853]                   |493.3866917305439301|      0.06250000|[24, 0, 6, 12]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       7|[0.4951841964368427, -1.1276462487012342, 19.952367005089677]                   |438.9455956244711956|      0.12500000|[28, 0, 7, 14]                                                             |  | used linear model with 4 points | iterate success | actual_k=0
       8|[0.4951841964368427, -1.1276462487012342, 19.952367005089677]                   |438.9455956244711956|      0.06250000|[32, 0, 8, 16]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       9|[0.5494044077152188, -1.116980919449858, 19.98156750921012]                     |358.6340183300036415|      0.12500000|[36, 0, 9, 18]                                                             |  | used linear model with 4 points | iterate success | actual_k=0
      10|[0.6177999819199711, -1.082971439998255, 20.080513963096216]                    |306.5273593116344273|      0.25000000|[40, 0, 10, 20]                                                            |  | used linear model with 4 points | iterate success | actual_k=0
      11|[0.6177999819199711, -1.082971439998255, 20.080513963096216]                    |306.5273593116344273|      0.12500000|[44, 0, 11, 22]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      12|[0.6177999819199711, -1.082971439998255, 20.080513963096216]                    |306.5273593116344273|      0.06250000|[48, 0, 12, 24]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      13|[0.6167943611147056, -1.1372070369553053, 20.111558105047774]                   |294.9914771864457634|      0.12500000|[52, 0, 13, 26]                                                            |  | used linear model with 4 points | iterate success | actual_k=0
      14|[0.6167943611147056, -1.1372070369553053, 20.111558105047774]                   |294.9914771864457634|      0.06250000|[56, 0, 14, 28]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      15|[0.6571394152629517, -1.135485609872812, 20.159260969684762]                    |260.2273988980797412|      0.12500000|[60, 0, 15, 30]                                                            |  | used linear model with 4 points | iterate success | actual_k=0
