k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0976271591564026, -0.330956211357785]                                        |  0.0383522261064146|      2.00000000|[3, 1, 1, 2]                                                               |  | used linear model with 4 points | iterate success | actual_k=1
       2|[0.0976271591564026, -0.330956211357785]                                        |  0.0383522261064146|      1.00000000|[6, 2, 2, 4]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       3|[0.0976271591564026, -0.330956211357785]                                        |  0.0383522261064146|      0.50000000|[9, 3, 3, 6]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       4|[0.0976271591564026, -0.330956211357785]                                        |  0.0383522261064146|      0.25000000|[13, 3, 3, 7]                                                              |  | used linear model with 4 points | actual_k=1
       5|[0.1026588804106803, -0.081006852924483]                                        |  0.0006006998601910|      0.50000000|[15, 4, 4, 9]                                                              |  | used linear model with 4 points | iterate success | actual_k=1
       6|[0.1026588804106803, -0.081006852924483]                                        |  0.0006006998601910|      0.25000000|[18, 5, 4, 10]                                                             |  | used linear model with 4 points | actual_k=1
       7|[0.1026588804106803, -0.081006852924483]                                        |  0.0006006998601910|      0.12500000|[20, 6, 5, 12]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       8|[0.1026588804106803, -0.081006852924483]                                        |  0.0006006998601910|      0.06250000|[23, 7, 5, 13]                                                             |  | used linear model with 4 points | actual_k=1
       9|[0.1026588804106803, -0.081006852924483]                                        |  0.0006006998601910|      0.03125000|[25, 8, 5, 14]                                                             |  | used linear model with 4 points | actual_k=1
      10|[0.0778544704865665, -0.0619988612284483]                                       |  0.0002011422207330|      0.06250000|[27, 9, 6, 16]                                                             |  | used linear model with 4 points | iterate success | actual_k=1
      11|[0.0778544704865665, -0.0619988612284483]                                       |  0.0002011422207330|      0.03125000|[30, 10, 6, 17]                                                            |  | used linear model with 4 points | actual_k=1
      12|[0.0778544704865665, -0.0619988612284483]                                       |  0.0002011422207330|      0.01562500|[32, 11, 6, 18]                                                            |  | used linear model with 4 points | actual_k=1
      13|[0.0635212994483034, -0.0557778618724045]                                       |  0.0001029876029219|      0.03125000|[34, 12, 7, 20]                                                            |  | used linear model with 4 points | iterate success | actual_k=1
