k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[10, 0, 1, 2]                                                              |  | used linear model with 10 points | iterate failure | actual_k=0
       2|[-0.0270860587817293, 0.1634279898320567, 0.2156272428901213, -0.0659278744300431, 0.3137238538894121, -0.1232458810033764, -0.1627451596325019, 0.0589194797587081, -0.1677687375332426]|243342.2871275939978659|      1.00000000|[20, 0, 2, 4]                                                              |  | used linear model with 10 points | iterate success | actual_k=0
       3|[-0.0270860587817293, 0.1634279898320567, 0.2156272428901213, -0.0659278744300431, 0.3137238538894121, -0.1232458810033764, -0.1627451596325019, 0.0589194797587081, -0.1677687375332426]|243342.2871275939978659|      0.50000000|[30, 0, 3, 6]                                                              |  | used linear model with 10 points | iterate failure | actual_k=0
       4|[-0.0270860587817293, 0.1634279898320567, 0.2156272428901213, -0.0659278744300431, 0.3137238538894121, -0.1232458810033764, -0.1627451596325019, 0.0589194797587081, -0.1677687375332426]|243342.2871275939978659|      0.25000000|[40, 0, 4, 8]                                                              |  | used linear model with 10 points | iterate failure | actual_k=0
       5|[-0.0655148587786508, 0.1622671092316768, 0.1747256958113173, -0.0322548920736568, 0.478870348619297, 0.0486594008850215, -0.1367072445466394, 0.0847356389667969, -0.1609985357754138]|79219.4051815449493006|      0.50000000|[50, 0, 5, 10]                                                             |  | used linear model with 10 points | iterate success | actual_k=0
       6|[-0.0655148587786508, 0.1622671092316768, 0.1747256958113173, -0.0322548920736568, 0.478870348619297, 0.0486594008850215, -0.1367072445466394, 0.0847356389667969, -0.1609985357754138]|79219.4051815449493006|      0.25000000|[60, 0, 6, 12]                                                             |  | used linear model with 10 points | iterate failure | actual_k=0
       7|[-0.0655148587786508, 0.1622671092316768, 0.1747256958113173, -0.0322548920736568, 0.478870348619297, 0.0486594008850215, -0.1367072445466394, 0.0847356389667969, -0.1609985357754138]|79219.4051815449493006|      0.12500000|[70, 0, 7, 14]                                                             |  | used linear model with 10 points | iterate failure | actual_k=0
       8|[-0.0546631302679899, 0.1529065299446843, 0.2053375102584826, 0.0168017457120565, 0.5843579167104297, 0.0335485320334042, -0.1347087217531081, 0.0686196954340153, -0.1823597047653422]|35065.3364461225864943|      0.25000000|[80, 0, 8, 16]                                                             |  | used linear model with 10 points | iterate success | actual_k=0
       9|[-0.0546631302679899, 0.1529065299446843, 0.2053375102584826, 0.0168017457120565, 0.5843579167104297, 0.0335485320334042, -0.1347087217531081, 0.0686196954340153, -0.1823597047653422]|35065.3364461225864943|      0.12500000|[90, 0, 9, 18]                                                             |  | used linear model with 10 points | iterate failure | actual_k=0
      10|[-0.0546631302679899, 0.1529065299446843, 0.2053375102584826, 0.0168017457120565, 0.5843579167104297, 0.0335485320334042, -0.1347087217531081, 0.0686196954340153, -0.1823597047653422]|35065.3364461225864943|      0.06250000|[100, 0, 10, 20]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      11|[-0.0546631302679899, 0.1529065299446843, 0.2053375102584826, 0.0168017457120565, 0.5843579167104297, 0.0335485320334042, -0.1347087217531081, 0.0686196954340153, -0.1823597047653422]|35065.3364461225864943|      0.03125000|[110, 0, 11, 22]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      12|[-0.0546631302679899, 0.1529065299446843, 0.2053375102584826, 0.0168017457120565, 0.5843579167104297, 0.0335485320334042, -0.1347087217531081, 0.0686196954340153, -0.1823597047653422]|35065.3364461225864943|      0.01562500|[120, 0, 12, 24]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      13|[-0.0534151146021687, 0.1530614429221587, 0.2055356368313684, 0.0127429880530474, 0.596374637884171, 0.0245862224158462, -0.1342145011707547, 0.0677091134031647, -0.1818613866676566]|29743.1234554778602615|      0.03125000|[130, 0, 13, 26]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      14|[-0.0556098248461227, 0.1551418948730307, 0.2101306750110105, 0.0156673008654602, 0.6231309860756646, 0.0221309426445741, -0.1384161685381561, 0.0744559915586078, -0.1695063656430836]|23483.5274498697071976|      0.06250000|[140, 0, 14, 28]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      15|[-0.0541699958403738, 0.1469674287763329, 0.221401076800102, -0.0282957213789382, 0.6519126530092983, 0.0018940684065796, -0.1216353224538947, 0.0851711900067245, -0.1575373217535367]|15154.3142074791830964|      0.12500000|[150, 0, 15, 30]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      16|[-0.0541699958403738, 0.1469674287763329, 0.221401076800102, -0.0282957213789382, 0.6519126530092983, 0.0018940684065796, -0.1216353224538947, 0.0851711900067245, -0.1575373217535367]|15154.3142074791830964|      0.06250000|[160, 0, 16, 32]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      17|[-0.0541699958403738, 0.1469674287763329, 0.221401076800102, -0.0282957213789382, 0.6519126530092983, 0.0018940684065796, -0.1216353224538947, 0.0851711900067245, -0.1575373217535367]|15154.3142074791830964|      0.03125000|[170, 0, 17, 34]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      18|[-0.0546080121111977, 0.1521017388031519, 0.2267593097905346, -0.0178874049803083, 0.6793338820510754, 0.0004695046840656, -0.1292876723047412, 0.0845620772200806, -0.1572489978496576]|10761.9359807375549281|      0.06250000|[180, 0, 18, 36]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      19|[-0.0546080121111977, 0.1521017388031519, 0.2267593097905346, -0.0178874049803083, 0.6793338820510754, 0.0004695046840656, -0.1292876723047412, 0.0845620772200806, -0.1572489978496576]|10761.9359807375549281|      0.03125000|[190, 0, 19, 38]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      20|[-0.0572503272581413, 0.1565756300704965, 0.2193465655561803, -0.0172204350516152, 0.7076699659801234, -0.0047443740756473, -0.1250710901795268, 0.0801561593475573, -0.1520661916262551]|7440.4099901021872938|      0.06250000|[200, 0, 20, 40]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      21|[-0.0302717654045935, 0.1198030453927596, 0.2136568124201632, 0.0027811637265564, 0.7358536493985133, 0.0045835415085864, -0.1393078941024001, 0.0631932422894433, -0.1567555210844811]|5526.6173754140390884|      0.12500000|[210, 0, 21, 42]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      22|[-0.0302717654045935, 0.1198030453927596, 0.2136568124201632, 0.0027811637265564, 0.7358536493985133, 0.0045835415085864, -0.1393078941024001, 0.0631932422894433, -0.1567555210844811]|5526.6173754140390884|      0.06250000|[220, 0, 22, 44]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      23|[-0.0302717654045935, 0.1198030453927596, 0.2136568124201632, 0.0027811637265564, 0.7358536493985133, 0.0045835415085864, -0.1393078941024001, 0.0631932422894433, -0.1567555210844811]|5526.6173754140390884|      0.03125000|[230, 0, 23, 46]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      24|[-0.0302717654045935, 0.1198030453927596, 0.2136568124201632, 0.0027811637265564, 0.7358536493985133, 0.0045835415085864, -0.1393078941024001, 0.0631932422894433, -0.1567555210844811]|5526.6173754140390884|      0.01562500|[240, 0, 24, 48]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
