k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.284986152433074, -0.9679842660915151, -0.4381677604630489, 0.7510560715756788, -0.3720941489113726, -0.106063352311071, -0.0119457605684036]|1281343.8750000000000000|      2.00000000|[31, 2, 0, 2]                                                              |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
       2|[10.215526734545694, -1.2586549656570143, 0.5324480929577466, 2.133299933532784, -0.3727079003650525, -0.21070778187312, 1.0113048790706654]|42388.0898437500000000|      4.00000000|[61, 4, 0, 4]                                                              |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
       3|[10.215526734545694, -1.2586549656570143, 0.5324480929577466, 2.133299933532784, -0.3727079003650525, -0.21070778187312, 1.0113048790706654]|42388.0898437500000000|      2.00000000|[106, 7, 0, 7]                                                             |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[10.215526734545694, -1.2586549656570143, 0.5324480929577466, 2.133299933532784, -0.3727079003650525, -0.21070778187312, 1.0113048790706654]|42388.0898437500000000|      1.00000000|[151, 10, 0, 10]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[10.215526734545694, -1.2586549656570143, 0.5324480929577466, 2.133299933532784, -0.3727079003650525, -0.21070778187312, 1.0113048790706654]|42388.0898437500000000|      0.50000000|[196, 13, 0, 13]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[10.22809930825184, -1.297772990563103, 0.54133052088998, 2.319935114761452, -0.3615704248874565, -0.2398382712989336, 0.5504063074245605]|31390.8847656250000000|      1.00000000|[226, 15, 0, 15]                                                           |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
       7|[10.22809930825184, -1.297772990563103, 0.54133052088998, 2.319935114761452, -0.3615704248874565, -0.2398382712989336, 0.5504063074245605]|31390.8847656250000000|      0.50000000|[272, 18, 1, 19]                                                           |  | trying quadratic partial model with 16 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 32 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[10.22809930825184, -1.297772990563103, 0.54133052088998, 2.319935114761452, -0.3615704248874565, -0.2398382712989336, 0.5504063074245605]|31390.8847656250000000|      0.25000000|[317, 21, 1, 22]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[10.224528406480053, -1.2982516912501783, 0.5462053190950757, 2.3637067126028644, -0.3578965804290809, -0.2406236834139841, 0.3043713727795738]|17659.9804687500000000|      0.50000000|[347, 23, 1, 24]                                                           |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
      10|[10.224528406480053, -1.2982516912501783, 0.5462053190950757, 2.3637067126028644, -0.3578965804290809, -0.2406236834139841, 0.3043713727795738]|17659.9804687500000000|      0.25000000|[392, 26, 1, 27]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[10.224528406480053, -1.2982516912501783, 0.5462053190950757, 2.3637067126028644, -0.3578965804290809, -0.2406236834139841, 0.3043713727795738]|17659.9804687500000000|      0.12500000|[437, 29, 1, 30]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[10.22299752574223, -1.2972340779041975, 0.5469281548006544, 2.3790135229704834, -0.3578190672341892, -0.240489695346854, 0.1803279288937334]|8585.1298828125000000|      0.25000000|[467, 31, 1, 32]                                                           |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
      13|[10.22299752574223, -1.2972340779041975, 0.5469281548006544, 2.3790135229704834, -0.3578190672341892, -0.240489695346854, 0.1803279288937334]|8585.1298828125000000|      0.12500000|[512, 34, 1, 35]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[10.22299752574223, -1.2972340779041975, 0.5469281548006544, 2.3790135229704834, -0.3578190672341892, -0.240489695346854, 0.1803279288937334]|8585.1298828125000000|      0.06250000|[557, 37, 1, 38]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[10.230663351911803, -1.3017664596052487, 0.5192318718573181, 2.4070917048697127, -0.3198920450268425, -0.2119935939762274, 0.1757467248196155]|8406.6407105064990901|      0.12500000|[602, 40, 2, 42]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
      16|[10.230663351911803, -1.3017664596052487, 0.5192318718573181, 2.4070917048697127, -0.3198920450268425, -0.2119935939762274, 0.1757467248196155]|8406.6407105064990901|      0.06250000|[648, 43, 2, 45]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[10.230663351911803, -1.3017664596052487, 0.5192318718573181, 2.4070917048697127, -0.3198920450268425, -0.2119935939762274, 0.1757467248196155]|8406.6407105064990901|      0.03125000|[693, 46, 2, 48]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[10.230663351911803, -1.3017664596052487, 0.5192318718573181, 2.4070917048697127, -0.3198920450268425, -0.2119935939762274, 0.1757467248196155]|8406.6407105064990901|      0.01562500|[738, 49, 2, 51]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[10.230663351911803, -1.3017664596052487, 0.5192318718573181, 2.4070917048697127, -0.3198920450268425, -0.2119935939762274, 0.1757467248196155]|8406.6407105064990901|      0.00781250|[783, 52, 2, 54]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[10.230663351911803, -1.3017664596052487, 0.5192318718573181, 2.4070917048697127, -0.3198920450268425, -0.2119935939762274, 0.1757467248196155]|8406.6407105064990901|      0.00390625|[828, 55, 2, 57]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[10.23045061326412, -1.3018282856114696, 0.5189099900502279, 2.407495186858751, -0.3195535732438312, -0.2105829801750023, 0.1721635825090282]|8396.7480468750000000|      0.00781250|[858, 57, 2, 59]                                                           |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
      22|[10.23045061326412, -1.3018282856114696, 0.5189099900502279, 2.407495186858751, -0.3195535732438312, -0.2105829801750023, 0.1721635825090282]|8396.7480468750000000|      0.00390625|[903, 60, 2, 62]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[10.230572622230504, -1.302008952538911, 0.5185454099330259, 2.4077932557082984, -0.3191917678042661, -0.2082612303180092, 0.1752406059181811]|8394.3193359375000000|      0.00781250|[933, 62, 2, 64]                                                           |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
      24|[10.230572622230504, -1.302008952538911, 0.5185454099330259, 2.4077932557082984, -0.3191917678042661, -0.2082612303180092, 0.1752406059181811]|8394.3193359375000000|      0.00390625|[979, 65, 3, 68]                                                           |  | trying quadratic partial model with 16 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 32 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[10.23087310652219, -1.3023038920061367, 0.5182284782226279, 2.4084095149577096, -0.31899992280285, -0.2065791788278297, 0.1718149401329798]|8388.5332031250000000|      0.00781250|[1009, 67, 3, 70]                                                          |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
