k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.608833659833182, -1.3607037502442274, 0.3691079209972233, 0.2023855049266588, -0.5791289301494746, -0.3295680171662195, -0.4299257079759736]|58734.0146986696563545|      2.00000000|[7, 1, 1, 2]                                                               |  | used linear model with 8 points | iterate success | actual_k=1
       2|[9.608833659833182, -1.3607037502442274, 0.3691079209972233, 0.2023855049266588, -0.5791289301494746, -0.3295680171662195, -0.4299257079759736]|58734.0146986696563545|      1.00000000|[15, 1, 2, 4]                                                              |  | used linear model with 8 points | iterate failure | actual_k=1
       3|[9.853059158115151, -1.3540974670254495, 0.7620808840585496, -0.5434391055681759, -0.5249509314931078, -0.7725062042959451, -0.2552870222909006]|42476.5977668089035433|      2.00000000|[23, 1, 3, 6]                                                              |  | used linear model with 8 points | iterate success | actual_k=1
       4|[9.853059158115151, -1.3540974670254495, 0.7620808840585496, -0.5434391055681759, -0.5249509314931078, -0.7725062042959451, -0.2552870222909006]|42476.5977668089035433|      1.00000000|[31, 1, 4, 8]                                                              |  | used linear model with 8 points | iterate failure | actual_k=1
       5|[9.853059158115151, -1.3540974670254495, 0.7620808840585496, -0.5434391055681759, -0.5249509314931078, -0.7725062042959451, -0.2552870222909006]|42476.5977668089035433|      0.50000000|[39, 1, 5, 10]                                                             |  | used linear model with 8 points | iterate failure | actual_k=1
       6|[9.853059158115151, -1.3540974670254495, 0.7620808840585496, -0.5434391055681759, -0.5249509314931078, -0.7725062042959451, -0.2552870222909006]|42476.5977668089035433|      0.25000000|[47, 1, 6, 12]                                                             |  | used linear model with 8 points | iterate failure | actual_k=1
       7|[10.008300803483786, -1.4353180514156654, 0.7433585108332306, -0.6032836336774418, -0.5575075964130112, -0.7076742094557454, -0.1049266903377048]|25101.0247926991432905|      0.50000000|[54, 2, 7, 14]                                                             |  | used linear model with 8 points | iterate success | actual_k=1
       8|[10.008300803483786, -1.4353180514156654, 0.7433585108332306, -0.6032836336774418, -0.5575075964130112, -0.7076742094557454, -0.1049266903377048]|25101.0247926991432905|      0.25000000|[61, 3, 8, 16]                                                             |  | used linear model with 8 points | iterate failure | actual_k=1
       9|[10.008300803483786, -1.4353180514156654, 0.7433585108332306, -0.6032836336774418, -0.5575075964130112, -0.7076742094557454, -0.1049266903377048]|25101.0247926991432905|      0.12500000|[69, 3, 9, 18]                                                             |  | used linear model with 8 points | iterate failure | actual_k=1
      10|[9.944031575333561, -1.4285087824718081, 0.7132571209252735, -0.5528217008871661, -0.570273968350605, -0.7668822202681802, -0.0391465182697563]|4733.5503059888224016|      0.25000000|[77, 3, 10, 20]                                                            |  | used linear model with 8 points | iterate success | actual_k=1
      11|[9.944031575333561, -1.4285087824718081, 0.7132571209252735, -0.5528217008871661, -0.570273968350605, -0.7668822202681802, -0.0391465182697563]|4733.5503059888224016|      0.12500000|[85, 3, 11, 22]                                                            |  | used linear model with 8 points | iterate failure | actual_k=1
      12|[9.944031575333561, -1.4285087824718081, 0.7132571209252735, -0.5528217008871661, -0.570273968350605, -0.7668822202681802, -0.0391465182697563]|4733.5503059888224016|      0.06250000|[92, 4, 12, 24]                                                            |  | used linear model with 8 points | iterate failure | actual_k=1
      13|[9.944031575333561, -1.4285087824718081, 0.7132571209252735, -0.5528217008871661, -0.570273968350605, -0.7668822202681802, -0.0391465182697563]|4733.5503059888224016|      0.03125000|[99, 5, 13, 26]                                                            |  | used linear model with 8 points | iterate failure | actual_k=1
      14|[9.944031575333561, -1.4285087824718081, 0.7132571209252735, -0.5528217008871661, -0.570273968350605, -0.7668822202681802, -0.0391465182697563]|4733.5503059888224016|      0.01562500|[107, 5, 14, 28]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      15|[9.943057096654048, -1.4377635861265592, 0.7148412588469796, -0.5558384750864533, -0.5719178386292443, -0.7599208377002535, -0.0294117327384423]|3277.3245775907716961|      0.03125000|[114, 6, 15, 30]                                                           |  | used linear model with 8 points | iterate success | actual_k=1
      16|[9.943057096654048, -1.4377635861265592, 0.7148412588469796, -0.5558384750864533, -0.5719178386292443, -0.7599208377002535, -0.0294117327384423]|3277.3245775907716961|      0.01562500|[121, 7, 16, 32]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      17|[9.943057096654048, -1.4377635861265592, 0.7148412588469796, -0.5558384750864533, -0.5719178386292443, -0.7599208377002535, -0.0294117327384423]|3277.3245775907716961|      0.00781250|[129, 7, 17, 34]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      18|[9.943057096654048, -1.4377635861265592, 0.7148412588469796, -0.5558384750864533, -0.5719178386292443, -0.7599208377002535, -0.0294117327384423]|3277.3245775907716961|      0.00390625|[137, 7, 18, 36]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      19|[9.942701047010955, -1.437322377006652, 0.7152602389159965, -0.5554063314883447, -0.5726501643066615, -0.760125423896793, -0.0331529763056838]|3114.1373044476863470|      0.00781250|[144, 8, 19, 38]                                                           |  | used linear model with 8 points | iterate success | actual_k=1
      20|[9.942701047010955, -1.437322377006652, 0.7152602389159965, -0.5554063314883447, -0.5726501643066615, -0.760125423896793, -0.0331529763056838]|3114.1373044476863470|      0.00390625|[152, 8, 20, 40]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      21|[9.942701047010955, -1.437322377006652, 0.7152602389159965, -0.5554063314883447, -0.5726501643066615, -0.760125423896793, -0.0331529763056838]|3114.1373044476863470|      0.00195312|[159, 9, 21, 42]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      22|[9.942831929009877, -1.437397194682197, 0.7153861585514415, -0.5554679301155672, -0.5726854588129102, -0.7601090607562873, -0.0312111200073434]|3030.5142450880489378|      0.00390625|[167, 9, 22, 44]                                                           |  | used linear model with 8 points | iterate success | actual_k=1
      23|[9.942831929009877, -1.437397194682197, 0.7153861585514415, -0.5554679301155672, -0.5726854588129102, -0.7601090607562873, -0.0312111200073434]|3030.5142450880489378|      0.00195312|[175, 9, 23, 46]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      24|[9.942831929009877, -1.437397194682197, 0.7153861585514415, -0.5554679301155672, -0.5726854588129102, -0.7601090607562873, -0.0312111200073434]|3030.5142450880489378|      0.00097656|[183, 9, 24, 48]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      25|[9.942831929009877, -1.437397194682197, 0.7153861585514415, -0.5554679301155672, -0.5726854588129102, -0.7601090607562873, -0.0312111200073434]|3030.5142450880489378|      0.00048828|[190, 10, 25, 50]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      26|[9.942830053087716, -1.4373225099987739, 0.7154149841750028, -0.555403563618601, -0.5726899650634543, -0.7601516000726579, -0.0316865497033479]|3022.0304252866608294|      0.00097656|[198, 10, 26, 52]                                                          |  | used linear model with 8 points | iterate success | actual_k=1
      27|[9.942830053087716, -1.4373225099987739, 0.7154149841750028, -0.555403563618601, -0.5726899650634543, -0.7601516000726579, -0.0316865497033479]|3022.0304252866608294|      0.00048828|[205, 11, 27, 54]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      28|[9.942830053087716, -1.4373225099987739, 0.7154149841750028, -0.555403563618601, -0.5726899650634543, -0.7601516000726579, -0.0316865497033479]|3022.0304252866608294|      0.00024414|[213, 11, 28, 56]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      29|[9.942840506982783, -1.4373770376784638, 0.7154551723048019, -0.5552830990388515, -0.5726569097286741, -0.7602743533631421, -0.0315308761128842]|3021.2668359865706407|      0.00048828|[220, 12, 29, 58]                                                          |  | used linear model with 8 points | iterate success | actual_k=1
      30|[9.94274244030455, -1.4375492531787741, 0.7155067381104656, -0.555156790427982, -0.5729707929663727, -0.7605565648905307, -0.0314822510516312]|3020.0286785140256143|      0.00097656|[227, 13, 30, 60]                                                          |  | used linear model with 8 points | iterate success | actual_k=1
      31|[9.94274244030455, -1.4375492531787741, 0.7155067381104656, -0.555156790427982, -0.5729707929663727, -0.7605565648905307, -0.0314822510516312]|3020.0286785140256143|      0.00048828|[235, 13, 31, 62]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      32|[9.94274244030455, -1.4375492531787741, 0.7155067381104656, -0.555156790427982, -0.5729707929663727, -0.7605565648905307, -0.0314822510516312]|3020.0286785140256143|      0.00024414|[242, 14, 32, 64]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      33|[9.942765739208937, -1.437496843639069, 0.7155288721904902, -0.5549935988005653, -0.5730405930064757, -0.7606034742315161, -0.0316309826533508]|3018.2892257811586205|      0.00048828|[250, 14, 33, 66]                                                          |  | used linear model with 8 points | iterate success | actual_k=1
      34|[9.942765739208937, -1.437496843639069, 0.7155288721904902, -0.5549935988005653, -0.5730405930064757, -0.7606034742315161, -0.0316309826533508]|3018.2892257811586205|      0.00024414|[257, 15, 34, 68]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      35|[9.942765739208937, -1.437496843639069, 0.7155288721904902, -0.5549935988005653, -0.5730405930064757, -0.7606034742315161, -0.0316309826533508]|3018.2892257811586205|      0.00012207|[265, 15, 35, 70]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
