k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.4922928002221159, -0.2680236464369466, -0.8281371406959783]                 |1539.7825638056913249|      2.00000000|[3, 1, 1, 2]                                                               |  | used linear model with 4 points | iterate success | actual_k=1
       2|[-2.2700646059932494, -0.604008987679789, -2.6398172638461554]                  |567.7693907310042505|      4.00000000|[6, 2, 2, 4]                                                               |  | used linear model with 4 points | iterate success | actual_k=1
       3|[-2.2700646059932494, -0.604008987679789, -2.6398172638461554]                  |567.7693907310042505|      2.00000000|[9, 3, 3, 6]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       4|[-0.9302531972486432, -1.0593860036480849, -4.053159813380982]                  | 49.7344589828942389|      4.00000000|[13, 3, 4, 8]                                                              |  | used linear model with 4 points | iterate success | actual_k=1
       5|[-0.9302531972486432, -1.0593860036480849, -4.053159813380982]                  | 49.7344589828942389|      2.00000000|[16, 4, 5, 10]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       6|[-0.9302531972486432, -1.0593860036480849, -4.053159813380982]                  | 49.7344589828942389|      1.00000000|[19, 5, 6, 12]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       7|[-0.9302531972486432, -1.0593860036480849, -4.053159813380982]                  | 49.7344589828942389|      0.50000000|[22, 6, 7, 14]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       8|[-0.9302531972486432, -1.0593860036480849, -4.053159813380982]                  | 49.7344589828942389|      0.25000000|[25, 7, 8, 16]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       9|[-0.8704633568486138, -0.8383425106617481, -3.9528355930085404]                 | 22.9632576108160436|      0.50000000|[28, 8, 9, 18]                                                             |  | used linear model with 4 points | iterate success | actual_k=1
      10|[-0.8704633568486138, -0.8383425106617481, -3.9528355930085404]                 | 22.9632576108160436|      0.25000000|[31, 9, 10, 20]                                                            |  | used linear model with 4 points | iterate failure | actual_k=1
      11|[-0.7531555058719885, -0.6426381329838096, -3.85066580952567]                   | 14.9004439658301848|      0.50000000|[34, 10, 11, 22]                                                           |  | used linear model with 4 points | iterate success | actual_k=1
      12|[-0.7531555058719885, -0.6426381329838096, -3.85066580952567]                   | 14.9004439658301848|      0.25000000|[37, 11, 12, 24]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
      13|[-0.7531555058719885, -0.6426381329838096, -3.85066580952567]                   | 14.9004439658301848|      0.12500000|[40, 12, 13, 26]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
      14|[-0.7531555058719885, -0.6426381329838096, -3.85066580952567]                   | 14.9004439658301848|      0.06250000|[43, 13, 14, 28]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
      15|[-0.7531555058719885, -0.6426381329838096, -3.85066580952567]                   | 14.9004439658301848|      0.03125000|[46, 14, 15, 30]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
