k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.50000000|[6, 0, 1, 3]                                                               |  | used linear model with 6 points | iterate failure | actual_k=0
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.25000000|[12, 0, 2, 6]                                                              |  | used linear model with 6 points | iterate failure | actual_k=0
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.12500000|[18, 0, 3, 9]                                                              |  | used linear model with 6 points | iterate failure | actual_k=0
       4|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.06250000|[24, 0, 4, 12]                                                             |  | used linear model with 6 points | iterate failure | actual_k=0
       5|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.03125000|[30, 0, 5, 15]                                                             |  | used linear model with 6 points | iterate failure | actual_k=0
       6|[0.2200247946700783, 0.3895988719540323, 0.4145802647326263, 0.3811845315481764]|  0.0036278169309461|      0.06250000|[36, 0, 6, 18]                                                             |  | used linear model with 6 points | iterate success | actual_k=0
       7|[0.2200247946700783, 0.3895988719540323, 0.4145802647326263, 0.3811845315481764]|  0.0036278169309461|      0.03125000|[42, 0, 7, 21]                                                             |  | used linear model with 6 points | iterate failure | actual_k=0
       8|[0.2200247946700783, 0.3895988719540323, 0.4145802647326263, 0.3811845315481764]|  0.0036278169309461|      0.01562500|[48, 0, 8, 24]                                                             |  | used linear model with 6 points | iterate failure | actual_k=0
       9|[0.2327844585221552, 0.3963947079132042, 0.4138314605378828, 0.3753034169194716]|  0.0034919074486043|      0.03125000|[54, 0, 9, 27]                                                             |  | used linear model with 6 points | iterate success | actual_k=0
      10|[0.2327844585221552, 0.3963947079132042, 0.4138314605378828, 0.3753034169194716]|  0.0034919074486043|      0.01562500|[60, 0, 10, 30]                                                            |  | used linear model with 6 points | iterate failure | actual_k=0
      11|[0.222316796648595, 0.400048974875682, 0.4207504244715167, 0.3667393670041084]  |  0.0030652402333510|      0.03125000|[66, 0, 11, 33]                                                            |  | used linear model with 6 points | iterate success | actual_k=0
      12|[0.222316796648595, 0.400048974875682, 0.4207504244715167, 0.3667393670041084]  |  0.0030652402333510|      0.01562500|[72, 0, 12, 36]                                                            |  | used linear model with 6 points | iterate failure | actual_k=0
      13|[0.2158036947058546, 0.4093572639220016, 0.4238739823833296, 0.3564768493264043]|  0.0028192384851798|      0.03125000|[78, 0, 13, 39]                                                            |  | used linear model with 6 points | iterate success | actual_k=0
      14|[0.2158036947058546, 0.4093572639220016, 0.4238739823833296, 0.3564768493264043]|  0.0028192384851798|      0.01562500|[84, 0, 14, 42]                                                            |  | used linear model with 6 points | iterate failure | actual_k=0
