k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9515013654027005, 2.0080419330366532, -7.883093730584976]                    | 41.2925186157226562|      2.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[2.6368435451957057, 0.1625940416175478, -7.530066569231423]                    |  7.9876036643981934|      4.00000000|[13, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[2.6368435451957057, 0.1625940416175478, -7.530066569231423]                    |  7.9876036643981934|      2.00000000|[19, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[2.6368435451957057, 0.1625940416175478, -7.530066569231423]                    |  7.9876036643981934|      1.00000000|[25, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.7756847111961538, -0.0509465896609041, -7.991375426091696]                   |  4.1547174453735352|      2.00000000|[31, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[0.548008068351513, -1.544220135107373, -7.47859459661048]                      |  2.0054478645324707|      4.00000000|[37, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[0.548008068351513, -1.544220135107373, -7.47859459661048]                      |  2.0054478645324707|      2.00000000|[43, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.548008068351513, -1.544220135107373, -7.47859459661048]                      |  2.0054478645324707|      1.00000000|[49, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[-0.4064285653120653, -1.414812155242466, -7.209700031644543]                   |  1.5081355571746826|      2.00000000|[55, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[-0.4064285653120653, -1.414812155242466, -7.209700031644543]                   |  1.5081355571746826|      1.00000000|[61, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[-0.4064285653120653, -1.414812155242466, -7.209700031644543]                   |  1.5081355571746826|      0.50000000|[67, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[-0.0023503327456037, -1.1982066196161463, -7.01019358086663]                   |  1.0546036958694458|      1.00000000|[73, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[-0.0023503327456037, -1.1982066196161463, -7.01019358086663]                   |  1.0546036958694458|      0.50000000|[79, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.0023503327456037, -1.1982066196161463, -7.01019358086663]                   |  1.0546036958694458|      0.25000000|[85, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[-0.1290810713120813, -0.9844673701011951, -7.037668171294524]                  |  1.0151401762248966|      0.50000000|[91, 30, 1, 31]                                                            |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
