k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.1499356099287015, 2.779848610330252, -7.036126212358803]                     |116.0260647489196373|      2.00000000|[3, 1, 1, 2]                                                               |  | used linear model with 4 points | iterate success | actual_k=1
       2|[1.5973624002473312, 0.8620654503260201, -7.165627560408198]                    |  6.1267604503862900|      4.00000000|[6, 2, 2, 4]                                                               |  | used linear model with 4 points | iterate success | actual_k=1
       3|[1.5973624002473312, 0.8620654503260201, -7.165627560408198]                    |  6.1267604503862900|      2.00000000|[10, 2, 3, 6]                                                              |  | used linear model with 4 points | iterate failure | actual_k=1
       4|[1.5973624002473312, 0.8620654503260201, -7.165627560408198]                    |  6.1267604503862900|      1.00000000|[13, 3, 4, 8]                                                              |  | used linear model with 4 points | iterate failure | actual_k=1
       5|[1.5973624002473312, 0.8620654503260201, -7.165627560408198]                    |  6.1267604503862900|      0.50000000|[16, 4, 5, 10]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       6|[1.631531254957498, 0.517138217335003, -7.525985290044952]                      |  4.2763670566756238|      1.00000000|[19, 5, 6, 12]                                                             |  | used linear model with 4 points | iterate success | actual_k=1
       7|[1.631531254957498, 0.517138217335003, -7.525985290044952]                      |  4.2763670566756238|      0.50000000|[22, 6, 7, 14]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       8|[1.631531254957498, 0.517138217335003, -7.525985290044952]                      |  4.2763670566756238|      0.25000000|[25, 7, 8, 16]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       9|[1.470902795126948, 0.3423887149724133, -7.604478024208648]                     |  3.3738082428084182|      0.50000000|[28, 8, 9, 18]                                                             |  | used linear model with 4 points | iterate success | actual_k=1
      10|[1.039925543401241, 0.0942253874043883, -7.55277143521535]                      |  2.0910264987991716|      1.00000000|[31, 9, 10, 20]                                                            |  | used linear model with 4 points | iterate success | actual_k=1
      11|[1.039925543401241, 0.0942253874043883, -7.55277143521535]                      |  2.0910264987991716|      0.50000000|[34, 10, 11, 22]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
      12|[0.5855620414420095, -0.1118628371121194, -7.519886000704355]                   |  1.3516691412599300|      1.00000000|[37, 11, 12, 24]                                                           |  | used linear model with 4 points | iterate success | actual_k=1
      13|[0.5256150913813578, -1.0211711253320623, -7.108103533674805]                   |  1.2751023987326893|      2.00000000|[40, 12, 13, 26]                                                           |  | used linear model with 4 points | iterate success | actual_k=1
      14|[0.5256150913813578, -1.0211711253320623, -7.108103533674805]                   |  1.2751023987326893|      1.00000000|[43, 13, 14, 28]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
      15|[0.5256150913813578, -1.0211711253320623, -7.108103533674805]                   |  1.2751023987326893|      0.50000000|[47, 13, 15, 30]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
