k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.072426996656924, -1.2874224479337288, 0.4318407111061485, 0.2389268981015082, -0.1622875808813068, 0.127601702756636, 0.8249917300804326]|53574.4376962605383596|      2.00000000|[6, 2, 1, 3]                                                               |  | used linear model with 8 points | iterate success | actual_k=1
       2|[9.376417960943128, -1.7122535775848828, 0.0533252194667884, 1.9780146186253889, 0.1765021023222121, 0.3517771254080944, 0.8735384789936438]|41542.7256771466782084|      4.00000000|[13, 3, 2, 6]                                                              |  | used linear model with 8 points | iterate success | actual_k=1
       3|[9.376417960943128, -1.7122535775848828, 0.0533252194667884, 1.9780146186253889, 0.1765021023222121, 0.3517771254080944, 0.8735384789936438]|41542.7256771466782084|      2.00000000|[19, 5, 3, 9]                                                              |  | used linear model with 8 points | iterate failure | actual_k=1
       4|[9.376417960943128, -1.7122535775848828, 0.0533252194667884, 1.9780146186253889, 0.1765021023222121, 0.3517771254080944, 0.8735384789936438]|41542.7256771466782084|      1.00000000|[25, 7, 4, 12]                                                             |  | used linear model with 8 points | iterate failure | actual_k=1
       5|[9.376417960943128, -1.7122535775848828, 0.0533252194667884, 1.9780146186253889, 0.1765021023222121, 0.3517771254080944, 0.8735384789936438]|41542.7256771466782084|      0.50000000|[31, 9, 5, 15]                                                             |  | used linear model with 8 points | iterate failure | actual_k=1
       6|[9.410895660764137, -1.7864530559456395, 0.0685418440908086, 2.163204530784813, 0.0449230521690054, 0.3910062699766169, 0.4377324393697276]|28152.6572433908295352|      1.00000000|[37, 11, 6, 18]                                                            |  | used linear model with 8 points | iterate success | actual_k=1
       7|[9.410895660764137, -1.7864530559456395, 0.0685418440908086, 2.163204530784813, 0.0449230521690054, 0.3910062699766169, 0.4377324393697276]|28152.6572433908295352|      0.50000000|[43, 13, 7, 21]                                                            |  | used linear model with 8 points | iterate failure | actual_k=1
       8|[9.410895660764137, -1.7864530559456395, 0.0685418440908086, 2.163204530784813, 0.0449230521690054, 0.3910062699766169, 0.4377324393697276]|28152.6572433908295352|      0.25000000|[49, 15, 8, 24]                                                            |  | used linear model with 8 points | iterate failure | actual_k=1
       9|[9.46265653979203, -1.7962761127660463, 0.1255141569009714, 2.241790054269737, 0.1798019523238821, 0.391937851103823, 0.2585409092176626]|15017.5279757652897388|      0.50000000|[55, 17, 9, 27]                                                            |  | used linear model with 8 points | iterate success | actual_k=1
      10|[9.521218824031907, -1.803570188891697, -0.046623766164914, 1.9656426947136498, 0.0657907924633335, 0.7189967948916517, 0.114796937912818]|6813.4804862864675670|      1.00000000|[61, 19, 10, 30]                                                           |  | used linear model with 8 points | iterate success | actual_k=1
      11|[9.521218824031907, -1.803570188891697, -0.046623766164914, 1.9656426947136498, 0.0657907924633335, 0.7189967948916517, 0.114796937912818]|6813.4804862864675670|      0.50000000|[67, 21, 11, 33]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
