k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.58174223681435, -1.561423581122869, 0.3361656774343827, -0.2900439035346169, 0.1914788700061645, -0.318811985280996, 0.1406308660033261]|70435.6267313985299552|      2.00000000|[9, 1, 1, 2]                                                               |  | used linear model with 10 points | iterate success | actual_k=2
       2|[10.58174223681435, -1.561423581122869, 0.3361656774343827, -0.2900439035346169, 0.1914788700061645, -0.318811985280996, 0.1406308660033261]|70435.6267313985299552|      1.00000000|[18, 2, 2, 4]                                                              |  | used linear model with 10 points | iterate failure | actual_k=2
       3|[10.58174223681435, -1.561423581122869, 0.3361656774343827, -0.2900439035346169, 0.1914788700061645, -0.318811985280996, 0.1406308660033261]|70435.6267313985299552|      0.50000000|[27, 3, 3, 6]                                                              |  | used linear model with 10 points | iterate failure | actual_k=2
       4|[10.857302553947854, -1.7076190885106373, 0.2914132270560739, -0.2981223777147795, -0.005604584717907, -0.4955631840270965, -0.1431691820883085]|42738.7227261673615430|      1.00000000|[37, 3, 4, 8]                                                              |  | used linear model with 10 points | iterate success | actual_k=2
       5|[10.857302553947854, -1.7076190885106373, 0.2914132270560739, -0.2981223777147795, -0.005604584717907, -0.4955631840270965, -0.1431691820883085]|42738.7227261673615430|      0.50000000|[45, 5, 5, 10]                                                             |  | used linear model with 10 points | iterate failure | actual_k=2
       6|[10.857302553947854, -1.7076190885106373, 0.2914132270560739, -0.2981223777147795, -0.005604584717907, -0.4955631840270965, -0.1431691820883085]|42738.7227261673615430|      0.25000000|[54, 6, 6, 12]                                                             |  | used linear model with 10 points | iterate failure | actual_k=2
       7|[10.857302553947854, -1.7076190885106373, 0.2914132270560739, -0.2981223777147795, -0.005604584717907, -0.4955631840270965, -0.1431691820883085]|42738.7227261673615430|      0.12500000|[63, 7, 7, 14]                                                             |  | used linear model with 10 points | iterate failure | actual_k=2
       8|[10.881150810576507, -1.7328411185849377, 0.2698971491357022, -0.348166317323021, 0.046198364047613, -0.5327367728993817, -0.0572194808458528]|23883.5715261266122980|      0.25000000|[72, 8, 8, 16]                                                             |  | used linear model with 10 points | iterate success | actual_k=2
       9|[10.881150810576507, -1.7328411185849377, 0.2698971491357022, -0.348166317323021, 0.046198364047613, -0.5327367728993817, -0.0572194808458528]|23883.5715261266122980|      0.12500000|[82, 8, 9, 18]                                                             |  | used linear model with 10 points | iterate failure | actual_k=2
      10|[10.881150810576507, -1.7328411185849377, 0.2698971491357022, -0.348166317323021, 0.046198364047613, -0.5327367728993817, -0.0572194808458528]|23883.5715261266122980|      0.06250000|[91, 9, 10, 20]                                                            |  | used linear model with 10 points | iterate failure | actual_k=2
      11|[10.881150810576507, -1.7328411185849377, 0.2698971491357022, -0.348166317323021, 0.046198364047613, -0.5327367728993817, -0.0572194808458528]|23883.5715261266122980|      0.03125000|[101, 9, 11, 22]                                                           |  | used linear model with 10 points | iterate failure | actual_k=2
      12|[10.886239270915846, -1.7357802153014847, 0.2880631185272119, -0.357864659195182, 0.0532026917056565, -0.5412744403633268, -0.037319251420114]|12754.3976350575867400|      0.06250000|[110, 10, 12, 24]                                                          |  | used linear model with 10 points | iterate success | actual_k=2
      13|[10.886239270915846, -1.7357802153014847, 0.2880631185272119, -0.357864659195182, 0.0532026917056565, -0.5412744403633268, -0.037319251420114]|12754.3976350575867400|      0.03125000|[119, 11, 13, 26]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      14|[10.886239270915846, -1.7357802153014847, 0.2880631185272119, -0.357864659195182, 0.0532026917056565, -0.5412744403633268, -0.037319251420114]|12754.3976350575867400|      0.01562500|[129, 11, 14, 28]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      15|[10.885958551004322, -1.7356234639345316, 0.2881667531690931, -0.3596671380126205, 0.0543126765423529, -0.5416485593411162, -0.0218465157548646]|3143.7543912238979829|      0.03125000|[137, 13, 15, 30]                                                          |  | used linear model with 10 points | iterate success | actual_k=2
      16|[10.885958551004322, -1.7356234639345316, 0.2881667531690931, -0.3596671380126205, 0.0543126765423529, -0.5416485593411162, -0.0218465157548646]|3143.7543912238979829|      0.01562500|[145, 15, 16, 32]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
