k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.740512182955543, -1.0653938607980393, 0.5148045660343173, -0.4601524776680115, 0.5631076864143837, 0.2848644700697937, 0.2100829330035001]|71152.0673014391941251|      2.00000000|[34, 2, 1, 4]                                                              |  | used quadratic model with 36 points | iterate success | actual_k=1
       2|[9.740512182955543, -1.0653938607980393, 0.5148045660343173, -0.4601524776680115, 0.5631076864143837, 0.2848644700697937, 0.2100829330035001]|71152.0673014391941251|      1.00000000|[68, 4, 2, 8]                                                              |  | used quadratic model with 36 points | iterate failure | actual_k=1
       3|[9.820801080919507, -1.0250650974038178, -0.0032863071490877, 0.1294715576402804, 0.9643944285311656, 0.1228530505105078, 0.6443338723822563]|54172.6613691129387007|      2.00000000|[102, 6, 3, 12]                                                            |  | used quadratic model with 36 points | iterate success | actual_k=1
       4|[9.820801080919507, -1.0250650974038178, -0.0032863071490877, 0.1294715576402804, 0.9643944285311656, 0.1228530505105078, 0.6443338723822563]|54172.6613691129387007|      1.00000000|[135, 9, 4, 16]                                                            |  | used quadratic model with 36 points | iterate failure | actual_k=1
       5|[10.008793300222713, -0.7730938810704955, 0.2837152811506876, 0.8211343714864009, 1.1498791991669821, 0.0932182034809639, 0.0919578703867419]|14328.6328088274676702|      2.00000000|[168, 12, 5, 20]                                                           |  | used quadratic model with 36 points | iterate success | actual_k=1
       6|[10.008793300222713, -0.7730938810704955, 0.2837152811506876, 0.8211343714864009, 1.1498791991669821, 0.0932182034809639, 0.0919578703867419]|14328.6328088274676702|      1.00000000|[202, 14, 6, 24]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=1
       7|[10.008793300222713, -0.7730938810704955, 0.2837152811506876, 0.8211343714864009, 1.1498791991669821, 0.0932182034809639, 0.0919578703867419]|14328.6328088274676702|      0.50000000|[236, 16, 7, 28]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=1
       8|[10.008793300222713, -0.7730938810704955, 0.2837152811506876, 0.8211343714864009, 1.1498791991669821, 0.0932182034809639, 0.0919578703867419]|14328.6328088274676702|      0.25000000|[270, 18, 8, 32]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=1
       9|[10.008793300222713, -0.7730938810704955, 0.2837152811506876, 0.8211343714864009, 1.1498791991669821, 0.0932182034809639, 0.0919578703867419]|14328.6328088274676702|      0.12500000|[303, 21, 9, 36]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=1
      10|[10.008793300222713, -0.7730938810704955, 0.2837152811506876, 0.8211343714864009, 1.1498791991669821, 0.0932182034809639, 0.0919578703867419]|14328.6328088274676702|      0.06250000|[336, 24, 10, 40]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=1
      11|[10.008793300222713, -0.7730938810704955, 0.2837152811506876, 0.8211343714864009, 1.1498791991669821, 0.0932182034809639, 0.0919578703867419]|14328.6328088274676702|      0.03125000|[370, 26, 11, 44]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=1
      12|[10.008748435738669, -0.7730316729034402, 0.2837989073542359, 0.8242112710050723, 1.1499556659908847, 0.0935618142881276, 0.0608619157017648]|7386.3150818804842856|      0.06250000|[404, 28, 12, 48]                                                          |  | used quadratic model with 36 points | iterate success | actual_k=1
      13|[10.008748435738669, -0.7730316729034402, 0.2837989073542359, 0.8242112710050723, 1.1499556659908847, 0.0935618142881276, 0.0608619157017648]|7386.3150818804842856|      0.03125000|[437, 31, 13, 52]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=1
      14|[10.008748435738669, -0.7730316729034402, 0.2837989073542359, 0.8242112710050723, 1.1499556659908847, 0.0935618142881276, 0.0608619157017648]|7386.3150818804842856|      0.01562500|[471, 33, 14, 56]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=1
      15|[10.008748435738669, -0.7730316729034402, 0.2837989073542359, 0.8242112710050723, 1.1499556659908847, 0.0935618142881276, 0.0608619157017648]|7386.3150818804842856|      0.00781250|[505, 35, 15, 60]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=1
      16|[10.008958090491124, -0.7729329090066825, 0.2839267321476509, 0.8248230034109738, 1.149765267329408, 0.0944364839537945, 0.0531295426870365]|7306.7021558658752838|      0.01562500|[539, 37, 16, 64]                                                          |  | used quadratic model with 36 points | iterate success | actual_k=1
      17|[10.008958090491124, -0.7729329090066825, 0.2839267321476509, 0.8248230034109738, 1.149765267329408, 0.0944364839537945, 0.0531295426870365]|7306.7021558658752838|      0.00781250|[573, 39, 17, 68]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=1
      18|[10.008958090491124, -0.7729329090066825, 0.2839267321476509, 0.8248230034109738, 1.149765267329408, 0.0944364839537945, 0.0531295426870365]|7306.7021558658752838|      0.00390625|[607, 41, 18, 72]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=1
