k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.50000000|[3, 1, 1, 2]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       2|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.25000000|[6, 2, 2, 4]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       3|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.12500000|[9, 3, 3, 6]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       4|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.06250000|[13, 3, 4, 8]                                                              |  | used linear model with 4 points | iterate failure | actual_k=1
       5|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.03125000|[16, 4, 5, 10]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       6|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.01562500|[19, 5, 6, 12]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       7|[0.111907655514901, -0.0001151265059695, 0.0201805018190482]                    |9483.6118863895408140|      0.03125000|[22, 6, 7, 14]                                                             |  | used linear model with 4 points | iterate success | actual_k=1
       8|[0.111907655514901, -0.0001151265059695, 0.0201805018190482]                    |9483.6118863895408140|      0.01562500|[25, 7, 8, 16]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       9|[0.111907655514901, -0.0001151265059695, 0.0201805018190482]                    |9483.6118863895408140|      0.00781250|[28, 8, 9, 18]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
      10|[0.111907655514901, -0.0001151265059695, 0.0201805018190482]                    |9483.6118863895408140|      0.00390625|[31, 9, 10, 20]                                                            |  | used linear model with 4 points | iterate failure | actual_k=1
      11|[0.111907655514901, -0.0001151265059695, 0.0201805018190482]                    |9483.6118863895408140|      0.00195312|[34, 10, 11, 22]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
      12|[0.111907655514901, -0.0001151265059695, 0.0201805018190482]                    |9483.6118863895408140|      0.00097656|[37, 11, 12, 24]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
      13|[0.1112592693724714, 0.0005522606197694, 0.0198840829412597]                    |7480.0197634175929124|      0.00195312|[40, 12, 13, 26]                                                           |  | used linear model with 4 points | iterate success | actual_k=1
      14|[0.1112592693724714, 0.0005522606197694, 0.0198840829412597]                    |7480.0197634175929124|      0.00097656|[43, 13, 14, 28]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
      15|[0.1112592693724714, 0.0005522606197694, 0.0198840829412597]                    |7480.0197634175929124|      0.00048828|[46, 14, 15, 30]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
