k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.50000000|[2, 1, 1, 2]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       2|[0.9956463572793094, 0.5000189545642149]                                        |  3.5109837839385158|      1.00000000|[5, 1, 2, 4]                                                               |  | used linear model with 3 points | iterate success | actual_k=1
       3|[1.8933606476036173, 0.0594408650641532]                                        |  1.1338270776133186|      2.00000000|[8, 1, 3, 6]                                                               |  | used linear model with 3 points | iterate success | actual_k=1
       4|[1.8933606476036173, 0.0594408650641532]                                        |  1.1338270776133186|      1.00000000|[10, 2, 4, 8]                                                              |  | used linear model with 3 points | iterate failure | actual_k=1
       5|[2.6519494455756734, -0.5921288054940391]                                       |  0.7404223642020250|      2.00000000|[13, 2, 5, 10]                                                             |  | used linear model with 3 points | iterate success | actual_k=1
       6|[2.6519494455756734, -0.5921288054940391]                                       |  0.7404223642020250|      1.00000000|[16, 2, 6, 12]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
       7|[2.3149982856277314, -1.5336509325891683]                                       |  0.6173903497146698|      2.00000000|[19, 2, 7, 14]                                                             |  | used linear model with 3 points | iterate success | actual_k=1
       8|[2.3149982856277314, -1.5336509325891683]                                       |  0.6173903497146698|      1.00000000|[22, 2, 7, 15]                                                             |  | used linear model with 3 points | actual_k=1
       9|[2.3149982856277314, -1.5336509325891683]                                       |  0.6173903497146698|      0.50000000|[23, 3, 8, 17]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
      10|[2.3149982856277314, -1.5336509325891683]                                       |  0.6173903497146698|      0.25000000|[25, 4, 8, 18]                                                             |  | used linear model with 3 points | actual_k=1
      11|[2.1657501345645995, -1.333089247803074]                                        |  0.1872447529493121|      0.50000000|[27, 4, 9, 20]                                                             |  | used linear model with 3 points | iterate success | actual_k=1
