k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0]                                                              |83210000.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.6944699325021, 10.111198075009753, 9.054332846098134]                        |34434368.7078255265951157|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[8.4504857794986, 11.468110948364277, 8.272481913246523]                        |12203244.2066107615828514|      4.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[8.4504857794986, 11.468110948364277, 8.272481913246523]                        |12203244.2066107615828514|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[8.368799235664078, 11.71609500368635, 6.289597343519281]                       |1534854.0416696479078382|      4.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[8.368799235664078, 11.71609500368635, 6.289597343519281]                       |1534854.0416696479078382|      2.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[8.368799235664078, 11.71609500368635, 6.289597343519281]                       |1534854.0416696479078382|      1.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[8.289848143436211, 10.724600325091263, 6.186132241414022]                      |1237132.3093061770778149|      2.00000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[8.289848143436211, 10.724600325091263, 6.186132241414022]                      |1237132.3093061770778149|      1.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[7.630598533113043, 10.135115426249108, 5.719337312857804]                      |784030.5663987491279840|      2.00000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      10|[6.032998931664631, 9.438040993816125, 4.7386422791699045]                      |430320.9618554551270790|      4.00000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[6.032998931664631, 9.438040993816125, 4.7386422791699045]                      |430320.9618554551270790|      2.00000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[6.032998931664631, 9.438040993816125, 4.7386422791699045]                      |430320.9618554551270790|      1.00000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[5.838736830896377, 8.57466080259774, 5.204299751585854]                        |276332.1042851579841226|      2.00000000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      14|[5.838736830896377, 8.57466080259774, 5.204299751585854]                        |276332.1042851579841226|      1.00000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[5.838736830896377, 8.57466080259774, 5.204299751585854]                        |276332.1042851579841226|      0.50000000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
