k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.203815292071229, -0.026400760886832, -0.0276349500157508, -0.1008326501737995, 0.913689894263614, -0.2650638881635447, 0.0933253252012999, -0.1598241887163754, 0.086544424594915]|78914.3781422795145772|      2.00000000|[51, 6, 1, 5]                                                              |  | used quadratic model with 57 points | iterate success | actual_k=2
       2|[-0.203815292071229, -0.026400760886832, -0.0276349500157508, -0.1008326501737995, 0.913689894263614, -0.2650638881635447, 0.0933253252012999, -0.1598241887163754, 0.086544424594915]|78914.3781422795145772|      1.00000000|[101, 13, 2, 10]                                                           |  | used quadratic model with 57 points | iterate failure | actual_k=2
       3|[-0.203815292071229, -0.026400760886832, -0.0276349500157508, -0.1008326501737995, 0.913689894263614, -0.2650638881635447, 0.0933253252012999, -0.1598241887163754, 0.086544424594915]|78914.3781422795145772|      0.50000000|[151, 20, 3, 15]                                                           |  | used quadratic model with 57 points | iterate failure | actual_k=2
       4|[-0.1683652135893437, 0.074391070287612, -0.0324938543987712, 0.1347526197545828, 1.116166104662811, 0.0897634237968247, 0.0433693025420386, -0.043075490938439, 0.0805971040485887]|21751.0255322567791154|      1.00000000|[201, 27, 4, 20]                                                           |  | used quadratic model with 57 points | iterate success | actual_k=2
       5|[-0.1683652135893437, 0.074391070287612, -0.0324938543987712, 0.1347526197545828, 1.116166104662811, 0.0897634237968247, 0.0433693025420386, -0.043075490938439, 0.0805971040485887]|21751.0255322567791154|      0.50000000|[252, 33, 5, 25]                                                           |  | used quadratic model with 57 points | iterate failure | actual_k=2
       6|[-0.1683652135893437, 0.074391070287612, -0.0324938543987712, 0.1347526197545828, 1.116166104662811, 0.0897634237968247, 0.0433693025420386, -0.043075490938439, 0.0805971040485887]|21751.0255322567791154|      0.25000000|[303, 39, 6, 30]                                                           |  | used quadratic model with 57 points | iterate failure | actual_k=2
       7|[-0.088710451060602, -0.0043638430295531, -0.0401084379197287, -0.0484208132742377, 1.1684569924135382, -0.0042803152961813, 0.0783772892482202, -0.058597295181951, 0.138018760595466]|2899.0528560793022734|      0.50000000|[352, 47, 7, 35]                                                           |  | used quadratic model with 57 points | iterate success | actual_k=2
       8|[-0.088710451060602, -0.0043638430295531, -0.0401084379197287, -0.0484208132742377, 1.1684569924135382, -0.0042803152961813, 0.0783772892482202, -0.058597295181951, 0.138018760595466]|2899.0528560793022734|      0.25000000|[402, 54, 8, 40]                                                           |  | used quadratic model with 57 points | iterate failure | actual_k=2
       9|[-0.088710451060602, -0.0043638430295531, -0.0401084379197287, -0.0484208132742377, 1.1684569924135382, -0.0042803152961813, 0.0783772892482202, -0.058597295181951, 0.138018760595466]|2899.0528560793022734|      0.12500000|[451, 62, 9, 45]                                                           |  | used quadratic model with 57 points | iterate failure | actual_k=2
      10|[-0.088710451060602, -0.0043638430295531, -0.0401084379197287, -0.0484208132742377, 1.1684569924135382, -0.0042803152961813, 0.0783772892482202, -0.058597295181951, 0.138018760595466]|2899.0528560793022734|      0.06250000|[500, 70, 10, 50]                                                          |  | used quadratic model with 57 points | iterate failure | actual_k=2
      11|[-0.0849992709682674, -0.005516181483137, -0.0424967875247789, 0.0117599737183826, 1.1543811841677838, 0.0028446972579681, 0.0765546619210546, -0.0618514638743025, 0.1370636922191073]|583.5716952906723236|      0.12500000|[550, 77, 11, 55]                                                          |  | used quadratic model with 57 points | iterate success | actual_k=2
      12|[-0.0849992709682674, -0.005516181483137, -0.0424967875247789, 0.0117599737183826, 1.1543811841677838, 0.0028446972579681, 0.0765546619210546, -0.0618514638743025, 0.1370636922191073]|583.5716952906723236|      0.06250000|[599, 85, 12, 60]                                                          |  | used quadratic model with 57 points | iterate failure | actual_k=2
      13|[-0.0849992709682674, -0.005516181483137, -0.0424967875247789, 0.0117599737183826, 1.1543811841677838, 0.0028446972579681, 0.0765546619210546, -0.0618514638743025, 0.1370636922191073]|583.5716952906723236|      0.03125000|[649, 92, 13, 65]                                                          |  | used quadratic model with 57 points | iterate failure | actual_k=2
